,timestamp,gpu_util,gpu_mem_used
48,1736121984.7068038,"[0, 0, 0, 0, 0, 0]","[4468572160, 4854448128, 4472766464, 4472766464, 4856545280, 4856545280]"
49,1736121985.7135332,"[0, 0, 0, 0, 1, 1]","[4470669312, 5234032640, 4852350976, 4852350976, 5236129792, 5236129792]"
50,1736121986.7158325,"[0, 0, 0, 0, 1, 1]","[4472766464, 5238226944, 4854448128, 4856545280, 5240324096, 5240324096]"
51,1736121987.7228363,"[0, 24, 0, 0, 1, 1]","[4852350976, 5617811456, 4856545280, 5236129792, 5619908608, 5619908608]"
52,1736121988.728534,"[0, 0, 0, 0, 1, 1]","[4854448128, 5622005760, 5236129792, 5240324096, 5622005760, 5622005760]"
53,1736121989.7335367,"[24, 47, 0, 0, 0, 1]","[5234032640, 6001590272, 5238226944, 5619908608, 6001590272, 6001590272]"
54,1736121990.7355406,"[0, 0, 20, 0, 0, 0]","[5236129792, 6003687424, 5617811456, 5622005760, 6005784576, 6005784576]"
55,1736121991.7395349,"[0, 1, 0, 0, 0, 0]","[5240324096, 6158876672, 5619908608, 6001590272, 6385369088, 6385369088]"
56,1736121992.741211,"[0, 0, 1, 0, 1, 1]","[5619908608, 6387466240, 5624102912, 6005784576, 6387466240, 6389563392]"
57,1736121993.7488327,"[0, 0, 0, 41, 29, 45]","[5622005760, 6389563392, 6003687424, 6385369088, 6769147904, 6769147904]"
58,1736121994.7525187,"[0, 0, 0, 0, 0, 0]","[6001590272, 6769147904, 6005784576, 6387466240, 6771245056, 6771245056]"
59,1736121995.754325,"[0, 0, 1, 2, 25, 14]","[6005784576, 6773342208, 6385369088, 6655901696, 7100497920, 7150829568]"
60,1736121996.7561693,"[36, 0, 0, 0, 0, 0]","[6385369088, 7152926720, 6389563392, 6771245056, 7155023872, 7155023872]"
61,1736121997.7589924,"[0, 0, 33, 0, 1, 0]","[6387466240, 7155023872, 6769147904, 6773342208, 7157121024, 7157121024]"
62,1736121998.7613497,"[0, 40, 0, 0, 1, 0]","[6389563392, 7534608384, 6771245056, 7152926720, 7536705536, 7536705536]"
63,1736121999.7645328,"[0, 0, 0, 0, 1, 0]","[6769147904, 7536705536, 6773342208, 7155023872, 7540899840, 7540899840]"
64,1736122000.7661695,"[0, 0, 0, 26, 1, 0]","[6773342208, 7540899840, 7152926720, 7534608384, 7920484352, 7920484352]"
65,1736122001.7725286,"[10, 0, 0, 0, 0, 0]","[7150829568, 7920484352, 7155023872, 7538802688, 7922581504, 7922581504]"
66,1736122002.7740686,"[0, 0, 0, 0, 1, 1]","[7155023872, 7922581504, 7534608384, 7540899840, 8302166016, 8302166016]"
67,1736122003.7805295,"[0, 0, 0, 0, 1, 1]","[7157121024, 8302166016, 7538802688, 7920484352, 8306360320, 8306360320]"
68,1736122004.782542,"[0, 0, 0, 0, 0, 0]","[7536705536, 8306360320, 7704477696, 7922581504, 8685944832, 8685944832]"
69,1736122005.7848775,"[0, 40, 0, 0, 0, 0]","[7538802688, 8685944832, 7920484352, 8302166016, 8688041984, 8690139136]"
70,1736122006.7870977,"[0, 0, 0, 0, 27, 33]","[7918387200, 8688041984, 7922581504, 8304263168, 9069723648, 9069723648]"
71,1736122007.7899735,"[0, 0, 0, 0, 1, 1]","[7922581504, 8690139136, 8302166016, 8308457472, 9071820800, 9071820800]"
72,1736122008.7925496,"[0, 0, 0, 0, 36, 28]","[7924678656, 9069723648, 8304263168, 8688041984, 9451405312, 9453502464]"
73,1736122009.7942793,"[0, 0, 0, 0, 1, 1]","[8302166016, 9073917952, 8306360320, 8690139136, 9455599616, 9455599616]"
74,1736122010.7967536,"[0, 22, 0, 27, 1, 42]","[8304263168, 9451405312, 8685944832, 9069723648, 9457696768, 9835184128]"
75,1736122011.799019,"[0, 0, 0, 0, 21, 17]","[8306360320, 9455599616, 8688041984, 9069723648, 11166875648, 11454185472]"
76,1736122012.8019545,"[0, 9, 0, 0, 18, 2]","[8685944832, 9696772096, 8692236288, 9073917952, 12706185216, 12706185216]"
77,1736122013.8043668,"[0, 8, 0, 0, 0, 0]","[8688041984, 11080892416, 9071820800, 9453502464, 12706185216, 12706185216]"
78,1736122014.8063526,"[0, 5, 0, 0, 0, 0]","[8692236288, 11200430080, 9073917952, 9455599616, 12706185216, 12706185216]"
79,1736122015.8085527,"[1, 8, 1, 28, 0, 0]","[9071820800, 11978473472, 9453502464, 11080892416, 12706185216, 12706185216]"
80,1736122016.8100626,"[1, 5, 1, 9, 0, 0]","[9073917952, 12706185216, 9457696768, 11080892416, 12706185216, 12706185216]"
81,1736122017.811594,"[1, 0, 20, 11, 0, 0]","[9453502464, 12706185216, 11080892416, 11657609216, 12706185216, 12706185216]"
82,1736122018.8131092,"[1, 0, 16, 11, 0, 0]","[9457696768, 12706185216, 12028805120, 12603424768, 12706185216, 12706185216]"
83,1736122019.8151784,"[16, 31, 0, 7, 37, 28]","[11080892416, 14075625472, 12706185216, 14075625472, 14075625472, 14075625472]"
84,1736122020.8168774,"[12, 0, 0, 0, 0, 0]","[12163022848, 14075625472, 14075625472, 14075625472, 14075625472, 14075625472]"
85,1736122021.818203,"[0, 0, 0, 0, 0, 0]","[12706185216, 14075625472, 14075625472, 14075625472, 14075625472, 14075625472]"
86,1736122022.8196936,"[0, 0, 2, 0, 7, 0]","[14203551744, 14203551744, 14203551744, 14203551744, 14203551744, 14203551744]"
87,1736122023.8228967,"[81, 79, 86, 88, 86, 94]","[17739350016, 17529634816, 17087135744, 17131175936, 17110204416, 17575772160]"
88,1736122024.8258142,"[97, 81, 89, 92, 95, 90]","[20478230528, 23693164544, 23395368960, 20945895424, 22118203392, 20390150144]"
89,1736122025.8274283,"[97, 77, 97, 97, 95, 95]","[23361814528, 26824212480, 28472573952, 26417364992, 26406879232, 25207308288]"
90,1736122026.8291981,"[88, 92, 95, 95, 94, 97]","[24391516160, 30240473088, 29544218624, 27134590976, 27258322944, 25811288064]"
91,1736122027.8310173,"[97, 94, 96, 97, 97, 97]","[24546705408, 30896881664, 31599427584, 27405123584, 27258322944, 25874202624]"
92,1736122028.8362064,"[97, 96, 97, 96, 97, 94]","[24989204480, 31481987072, 31932874752, 28713746432, 28516614144, 27356889088]"
93,1736122029.838002,"[93, 93, 92, 92, 94, 94]","[25700139008, 34126495744, 31932874752, 28713746432, 28516614144, 27356889088]"
94,1736122030.8482158,"[97, 97, 96, 96, 97, 97]","[25779830784, 19612106752, 32662683648, 28883615744, 28826992640, 27497398272]"
95,1736122031.8495073,"[96, 97, 94, 92, 97, 94]","[25779830784, 23336648704, 33618984960, 29030416384, 29934288896, 28143321088]"
96,1736122032.8507566,"[93, 89, 93, 92, 94, 95]","[25779830784, 27986034688, 33618984960, 29030416384, 29934288896, 28143321088]"
97,1736122033.8537247,"[97, 95, 96, 97, 97, 97]","[26023100416, 29544218624, 33618984960, 29030416384, 30999642112, 28143321088]"
98,1736122034.860513,"[95, 93, 96, 97, 95, 97]","[26023100416, 29544218624, 24735449088, 29886054400, 30999642112, 28143321088]"
99,1736122035.863526,"[96, 96, 94, 91, 93, 95]","[26023100416, 29548412928, 26002128896, 30041243648, 30999642112, 28143321088]"
100,1736122036.870284,"[96, 96, 97, 95, 97, 97]","[26190872576, 29548412928, 29099622400, 30041243648, 30999642112, 28143321088]"
101,1736122037.8807955,"[97, 94, 96, 96, 97, 94]","[26190872576, 30123032576, 29443555328, 30469062656, 30999642112, 28451602432]"
102,1736122038.8821716,"[96, 89, 97, 94, 94, 97]","[26190872576, 31008030720, 29443555328, 30469062656, 30999642112, 28451602432]"
103,1736122039.8932228,"[97, 97, 91, 96, 97, 95]","[26350256128, 31194677248, 29443555328, 30483742720, 30999642112, 28451602432]"
104,1736122040.9027016,"[96, 93, 95, 95, 97, 95]","[26350256128, 32788512768, 30490034176, 30483742720, 31637176320, 28451602432]"
105,1736122041.9059005,"[91, 92, 94, 95, 96, 94]","[26610302976, 32788512768, 30490034176, 30483742720, 31637176320, 28451602432]"
106,1736122042.9092624,"[97, 96, 97, 96, 95, 97]","[26610302976, 32943702016, 30886395904, 30483742720, 31901417472, 28451602432]"
107,1736122043.9110305,"[97, 96, 97, 96, 95, 92]","[26610302976, 32943702016, 31507152896, 30483742720, 32945799168, 28560654336]"
108,1736122044.912726,"[91, 92, 94, 93, 97, 97]","[26660634624, 32943702016, 31507152896, 30504714240, 32945799168, 28627763200]"
109,1736122045.9149036,"[97, 97, 97, 94, 95, 96]","[26660634624, 32943702016, 32228573184, 30852841472, 33214234624, 28627763200]"
110,1736122046.9164433,"[96, 94, 93, 94, 97, 98]","[26660634624, 22961258496, 32228573184, 30852841472, 33214234624, 28627763200]"
111,1736122047.9192688,"[96, 96, 94, 93, 97, 94]","[26660634624, 25387663360, 32228573184, 30852841472, 33214234624, 28852158464]"
