,system,num ranks,duration (s)
0,fastmoe,2,1301.2243783473969
1,fastmoe,4,666.6235971450806
2,fastmoe,8,409.658607006073
3,fastermoe,2,1319.721922159195
4,fastermoe,4,681.3906235694885
5,fastermoe,8,403.29638957977295
6,harmony,2,1768.658205986023
7,harmony,4,631.4651238918304
8,harmony,8,318.2946665287018
9,exflow,2,1444.3665070533752
10,exflow,4,710.0646066665649
11,exflow,8,408.68654441833496
