,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
27,deepspeed_policy,27.545787572860718,92.5,18266259456.0,12.1,76493930496
28,deepspeed_policy,28.560628652572632,90.25,18266259456.0,11.6,76493930496
29,deepspeed_policy,29.590211153030396,0.0,18266259456.0,12.0,76500537344
30,deepspeed_policy,30.593899726867676,76.625,18266259456.0,11.2,76498198528
31,deepspeed_policy,31.692989826202393,92.125,18266259456.0,12.2,76498685952
32,deepspeed_policy,32.70004320144653,89.625,18266259456.0,12.1,76498640896
33,deepspeed_policy,33.703707456588745,61.5,18266259456.0,11.7,76498382848
34,deepspeed_policy,34.71459102630615,0.0,18266259456.0,11.0,76498075648
35,deepspeed_policy,35.718302965164185,88.75,18266259456.0,11.5,76498583552
36,deepspeed_policy,36.72206735610962,92.5,18266259456.0,12.1,76498714624
37,deepspeed_policy,37.73301577568054,97.75,18266259456.0,11.8,76498714624
38,deepspeed_policy,38.74011492729187,62.0,18266259456.0,11.9,76498169856
39,deepspeed_policy,39.746673822402954,0.0,18266259456.0,11.0,76499972096
40,deepspeed_policy,40.75046467781067,71.25,18266259456.0,12.0,76500066304
41,deepspeed_policy,41.839821338653564,75.125,18266259456.0,12.2,76501590016
42,deepspeed_policy,42.84717774391174,94.75,18266259456.0,11.8,76501790720
43,deepspeed_policy,43.87263083457947,54.5,18266259456.0,12.2,76501266432
44,deepspeed_policy,44.88229823112488,54.25,18266259456.0,10.7,76502228992
45,deepspeed_policy,45.93493723869324,88.125,18266259456.0,12.8,76508000256
46,deepspeed_policy,47.002739667892456,82.25,18266259456.0,11.9,76507992064
47,deepspeed_policy,48.03254985809326,77.625,18266259456.0,11.8,76504879104
48,deepspeed_policy,49.05583953857422,0.0,18266259456.0,11.4,76504588288
49,deepspeed_policy,50.05948209762573,94.625,18266259456.0,11.0,76521734144
50,deepspeed_policy,51.073344707489014,83.125,18266259456.0,12.2,76499750912
51,deepspeed_policy,52.10713982582092,85.375,18266259456.0,12.0,76499734528
52,deepspeed_policy,53.11061978340149,79.5,18266259456.0,11.6,76499218432
53,deepspeed_policy,54.11418414115906,0.0,18266259456.0,11.3,76498952192
54,deepspeed_policy,55.11781883239746,82.25,18266259456.0,10.7,76498915328
55,deepspeed_policy,56.12642955780029,89.75,18266259456.0,12.2,76498767872
56,deepspeed_policy,57.13229751586914,91.25,18266259456.0,12.0,76498767872
57,deepspeed_policy,58.13581705093384,92.125,19466354688.0,11.5,76516257792
58,deepspeed_policy,59.16140174865723,0.0,19466354688.0,11.6,76515741696
59,deepspeed_policy,60.165055990219116,76.625,19466354688.0,10.6,76522450944
60,deepspeed_policy,61.167792320251465,90.0,19466354688.0,12.2,76526407680
61,deepspeed_policy,62.18097496032715,89.375,19466354688.0,12.1,76529389568
62,deepspeed_policy,63.1883020401001,85.5,19466354688.0,11.8,76527562752
63,deepspeed_policy,64.19195580482483,4.625,19466354688.0,11.6,76527476736
64,deepspeed_policy,65.1957528591156,86.875,19466354688.0,10.8,76527218688
65,deepspeed_policy,66.20062708854675,73.0,19466354688.0,11.9,76527476736
66,deepspeed_policy,67.224116563797,73.375,19466354688.0,12.1,76527124480
67,deepspeed_policy,68.25222158432007,64.125,19466354688.0,11.6,76527124480
68,deepspeed_policy,69.28018951416016,0.0,19466354688.0,11.0,76526850048
69,deepspeed_policy,70.28380703926086,88.0,19466354688.0,11.4,76526850048
70,deepspeed_policy,71.32890725135803,89.625,19466354688.0,12.5,76518526976
71,deepspeed_policy,72.35194158554077,99.75,19466354688.0,11.6,76519866368
72,deepspeed_policy,73.35538530349731,62.0,19466354688.0,11.9,76518572032
73,deepspeed_policy,74.36044883728027,0.0,19466354688.0,10.4,76518563840
74,deepspeed_policy,75.3641049861908,77.625,19466354688.0,12.3,76522115072
75,deepspeed_policy,76.4849443435669,82.625,19466354688.0,12.1,76522778624
76,deepspeed_policy,77.49464750289917,86.125,19466354688.0,11.8,76523036672
77,deepspeed_policy,78.504150390625,50.25,19466354688.0,12.0,76522668032
78,deepspeed_policy,79.50907921791077,54.875,19466354688.0,10.7,76521861120
79,deepspeed_policy,80.53439521789551,90.0,19466354688.0,12.1,76522094592
80,deepspeed_policy,81.56453204154968,88.875,19466354688.0,12.7,76535590912
81,deepspeed_policy,82.57136130332947,84.875,19466354688.0,11.8,76524056576
82,deepspeed_policy,83.57501268386841,2.5,19466354688.0,11.7,76521095168
83,deepspeed_policy,84.57893705368042,90.75,19466354688.0,10.7,76520566784
84,deepspeed_policy,85.58269953727722,70.5,19466354688.0,12.2,76520566784
85,deepspeed_policy,86.6005265712738,72.25,19466354688.0,12.0,76520685568
86,deepspeed_policy,87.60414600372314,74.875,19466354688.0,11.7,76520427520
87,deepspeed_policy,88.61396837234497,0.0,19466354688.0,11.0,76520685568
88,deepspeed_policy,89.61755967140198,79.75,19466354688.0,11.1,76520685568
89,deepspeed_policy,90.62469291687012,96.25,19466354688.0,12.1,76520427520
90,deepspeed_policy,91.62817788124084,98.75,19610796032.0,11.9,76520169472
91,deepspeed_policy,92.63290452957153,63.0,19610796032.0,12.2,76523814912
92,deepspeed_policy,93.6365897655487,0.0,19610796032.0,10.9,76522864640
93,deepspeed_policy,94.64041376113892,91.0,19610796032.0,11.6,76525256704
94,deepspeed_policy,95.65096187591553,91.375,19610796032.0,12.2,76527054848
95,deepspeed_policy,96.67454028129578,93.75,19610796032.0,11.7,76527226880
96,deepspeed_policy,97.69185066223145,59.125,19610796032.0,11.9,76526968832
97,deepspeed_policy,98.6953854560852,2.375,19610796032.0,10.4,76526886912
98,deepspeed_policy,99.69910883903503,74.5,19610796032.0,12.0,76527403008
99,deepspeed_policy,100.70427131652832,78.75,19610796032.0,12.1,76527403008
100,deepspeed_policy,101.70831537246704,90.75,20076363776.0,11.7,76527144960
101,deepspeed_policy,102.71730613708496,54.75,20076363776.0,12.0,76520411136
102,deepspeed_policy,103.72032737731934,56.625,20076363776.0,10.7,76519079936
103,deepspeed_policy,104.72902464866638,90.25,20076363776.0,12.2,76518797312
104,deepspeed_policy,105.7353835105896,92.5,20552941568.0,12.5,76522770432
105,deepspeed_policy,106.85100245475769,84.125,21019033600.0,11.5,76522999808
