num_experts,num_tokens,avg_time_non_fused,avg_time_bmm
1,1,7.656857478618622,1.1355135798454286
1,10,1.9979264438152313,0.7193599939346313
1,100,1.2838880002498627,0.7262208044528962
1,1000,1.6828416109085083,1.2605440139770507
1,10000,8.744345569610596,8.109974384307861
1,100000,72.81172561645508,71.33921127319336
2,1,2.266316795349121,0.7421951949596405
2,10,2.048204815387726,0.7832544028759003
2,100,2.167193603515625,0.8679423987865448
2,1000,2.612940788269043,2.0547584176063536
2,10000,13.140684890747071,15.089561557769775
2,100000,124.87393264770508,151.4714096069336
4,1,3.8164479732513428,0.7631871998310089
4,10,3.4461695909500123,0.7985152006149292
4,100,3.4035712003707888,0.9479167938232422
4,1000,4.030361604690552,3.767296004295349
4,10000,22.95152645111084,29.742490005493163
4,100000,225.93382263183594,303.22913513183596
8,1,7.698534440994263,0.7981055974960327
8,10,7.58026237487793,0.8306688010692597
8,100,7.450521564483642,1.335910403728485
8,1000,7.527014446258545,6.7964928150177
8,10000,42.988236618041995,59.8424575805664
8,100000,424.7709655761719,608.0143249511718
16,1,16.831078624725343,0.9424895942211151
16,10,17.36632308959961,0.9831423938274384
16,100,17.29484815597534,2.066636800765991
16,1000,16.813568019866942,12.831334495544434
16,10000,83.98325805664062,120.94965744018555
