iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,62.56947326660156,3.6536319255828857,0.14428800344467163,5.673408031463623,10.538432121276855,34.07743835449219,16384,24867,"[1, 144, 173, 0, 2014, 120, 44, 1602, 118, 6, 11, 568, 397, 1078, 71, 2326, 251, 7, 132, 72, 351, 247, 598, 79, 435, 164, 17, 30, 1, 225, 313, 29, 7, 480, 202, 80, 50, 66, 1140, 183, 10, 151, 9, 118, 466, 96, 47, 46, 289, 25, 32, 93, 455, 120, 0, 379, 29, 76, 5, 106]"
1,59.36537551879883,0.13926400244235992,0.26492801308631897,5.717919826507568,4.3969597816467285,37.65296173095703,16384,26995,"[5, 169, 105, 0, 2564, 74, 59, 1426, 228, 1, 4, 535, 80, 1021, 44, 1805, 305, 5, 82, 112, 336, 202, 601, 32, 375, 43, 0, 29, 29, 174, 184, 27, 2, 636, 177, 86, 5, 193, 1296, 325, 11, 171, 55, 107, 577, 145, 61, 86, 221, 14, 33, 57, 530, 33, 3, 568, 28, 134, 8, 166]"
2,59.32953643798828,0.10342399775981903,0.19859200716018677,6.6910400390625,6.62505578994751,35.77372741699219,16384,26671,"[18, 101, 89, 1, 1321, 30, 248, 1817, 184, 0, 2, 434, 164, 945, 93, 2238, 193, 6, 207, 130, 697, 225, 620, 24, 741, 69, 13, 31, 4, 90, 604, 75, 5, 696, 308, 39, 99, 62, 1199, 115, 104, 62, 17, 112, 434, 56, 40, 58, 152, 6, 0, 113, 513, 94, 0, 350, 16, 96, 3, 221]"
3,64.01126098632812,5.088255882263184,0.22668799757957458,6.163424015045166,5.552671909332275,38.13779067993164,16384,25873,"[6, 107, 26, 0, 2454, 126, 174, 1483, 82, 0, 2, 493, 87, 1478, 54, 1711, 307, 16, 241, 100, 295, 156, 395, 67, 522, 119, 6, 17, 20, 152, 240, 51, 3, 425, 348, 28, 67, 133, 1498, 484, 46, 51, 15, 70, 465, 141, 44, 72, 274, 1, 40, 16, 477, 37, 0, 264, 23, 212, 6, 157]"
4,59.807743072509766,0.23347200453281403,0.15731200575828552,6.969279766082764,10.824543952941895,32.77097702026367,16384,24080,"[7, 30, 11, 0, 1920, 99, 102, 1525, 129, 0, 10, 831, 190, 1034, 66, 2141, 331, 4, 22, 93, 513, 259, 1017, 76, 392, 73, 5, 20, 3, 82, 67, 31, 29, 407, 758, 69, 44, 71, 953, 171, 39, 34, 33, 39, 508, 59, 16, 86, 292, 36, 9, 135, 293, 23, 11, 562, 17, 203, 9, 395]"
5,61.14508819580078,0.6021119952201843,0.1302720010280609,6.136159896850586,8.766528129577637,36.08108901977539,16384,26876,"[44, 104, 55, 2, 2948, 81, 7, 1537, 92, 4, 3, 728, 178, 1778, 87, 1255, 356, 4, 209, 232, 447, 244, 218, 80, 797, 48, 5, 37, 22, 149, 119, 7, 9, 426, 338, 25, 69, 88, 931, 192, 27, 154, 17, 52, 242, 183, 40, 29, 167, 28, 90, 8, 486, 25, 2, 504, 8, 227, 15, 125]"
6,62.29811096191406,3.965951919555664,0.15462400019168854,6.011328220367432,5.650752067565918,36.39936065673828,16384,26493,"[0, 61, 35, 0, 2589, 70, 46, 1313, 130, 1, 6, 680, 137, 960, 53, 2287, 219, 7, 35, 105, 536, 409, 456, 54, 577, 94, 62, 45, 12, 82, 154, 50, 13, 497, 545, 23, 91, 195, 711, 598, 21, 262, 38, 128, 262, 49, 30, 59, 289, 7, 10, 47, 372, 1, 3, 536, 8, 192, 5, 127]"
7,63.48390579223633,2.1729280948638916,0.1414719969034195,5.333536148071289,4.547488212585449,38.15568161010742,16384,27888,"[0, 72, 58, 0, 3135, 173, 42, 1229, 93, 0, 29, 285, 68, 1660, 84, 2357, 416, 5, 139, 82, 537, 187, 453, 81, 370, 65, 3, 114, 3, 190, 171, 42, 9, 306, 506, 51, 12, 14, 636, 408, 57, 54, 94, 108, 378, 96, 35, 109, 252, 42, 71, 39, 364, 31, 3, 366, 51, 68, 5, 76]"
8,58.34239959716797,0.1085439994931221,0.2531520128250122,5.812160015106201,10.120767593383789,33.09052658081055,16384,24268,"[1, 40, 135, 0, 1599, 130, 62, 916, 172, 0, 6, 265, 134, 1212, 94, 2427, 215, 2, 249, 133, 429, 139, 803, 119, 614, 104, 33, 26, 23, 98, 295, 41, 28, 699, 690, 46, 22, 30, 1470, 136, 7, 288, 26, 178, 496, 62, 25, 92, 195, 17, 110, 35, 371, 19, 6, 617, 45, 129, 10, 19]"
9,61.883392333984375,1.3772799968719482,0.32601600885391235,5.983327865600586,12.02575969696045,32.73244857788086,16384,23812,"[14, 75, 2, 0, 2116, 132, 4, 1620, 135, 0, 1, 858, 40, 1539, 64, 2624, 285, 26, 282, 197, 429, 331, 474, 53, 357, 97, 82, 15, 13, 85, 378, 15, 9, 609, 286, 42, 21, 59, 578, 181, 23, 10, 28, 93, 369, 70, 29, 41, 262, 7, 41, 72, 392, 20, 3, 509, 4, 117, 2, 164]"
10,60.19276809692383,0.10547199845314026,0.19766399264335632,6.506720066070557,8.648703575134277,36.4699821472168,16384,26090,"[2, 84, 20, 3, 1893, 95, 132, 1410, 57, 0, 8, 826, 95, 862, 101, 3173, 210, 18, 59, 112, 347, 287, 675, 132, 248, 31, 122, 47, 19, 51, 267, 15, 5, 537, 330, 54, 69, 2, 766, 451, 106, 47, 46, 134, 401, 159, 69, 76, 240, 46, 42, 78, 515, 47, 2, 455, 30, 137, 4, 135]"
11,61.30278396606445,0.2519040107727051,0.27616000175476074,5.470592021942139,10.355648040771484,35.56425476074219,16384,26971,"[13, 16, 4, 0, 3461, 218, 30, 1222, 77, 5, 10, 519, 218, 1309, 45, 2260, 204, 3, 77, 122, 304, 219, 424, 49, 430, 62, 9, 15, 46, 158, 329, 18, 11, 471, 283, 26, 28, 163, 939, 290, 19, 41, 37, 118, 305, 141, 35, 93, 212, 26, 116, 20, 177, 36, 0, 508, 16, 300, 18, 79]"
12,59.033599853515625,1.8728959560394287,0.1268160045146942,5.513728141784668,10.103072166442871,33.2757453918457,16384,23992,"[1, 109, 65, 1, 2083, 135, 80, 1333, 113, 2, 14, 613, 226, 1238, 40, 1773, 456, 7, 195, 39, 255, 238, 741, 75, 322, 313, 102, 51, 12, 170, 109, 46, 12, 471, 748, 41, 19, 24, 907, 217, 79, 124, 55, 79, 438, 107, 42, 143, 394, 46, 49, 24, 468, 33, 22, 610, 24, 181, 20, 50]"
13,55.33388900756836,0.17919999361038208,0.23625600337982178,5.248640060424805,7.293504238128662,33.793216705322266,16384,24957,"[11, 2, 0, 0, 2551, 104, 99, 1229, 73, 0, 6, 546, 142, 1539, 63, 1633, 180, 41, 229, 60, 395, 161, 370, 117, 653, 89, 56, 12, 10, 87, 422, 112, 11, 388, 521, 152, 29, 106, 1366, 112, 89, 82, 20, 98, 350, 56, 23, 53, 162, 9, 2, 70, 388, 20, 0, 858, 41, 253, 4, 129]"
14,67.91986846923828,1.5667200088500977,0.1393280029296875,5.600639820098877,19.707839965820312,32.675743103027344,16384,24461,"[2, 60, 70, 0, 2561, 80, 14, 1268, 55, 0, 1, 468, 92, 1432, 27, 3160, 180, 14, 98, 70, 439, 245, 391, 71, 576, 46, 3, 18, 14, 76, 411, 70, 21, 506, 204, 23, 127, 25, 825, 329, 15, 93, 87, 46, 289, 107, 22, 15, 174, 24, 54, 88, 384, 27, 5, 505, 13, 126, 1, 237]"
15,60.440574645996094,0.11059200018644333,0.2202879935503006,5.141983985900879,15.656864166259766,31.19638442993164,16384,22879,"[2, 83, 100, 0, 2306, 72, 109, 1140, 76, 2, 3, 602, 156, 1091, 81, 2504, 132, 8, 158, 112, 576, 370, 804, 25, 246, 100, 12, 19, 44, 76, 216, 37, 6, 510, 312, 45, 58, 79, 1160, 381, 24, 44, 70, 84, 686, 89, 35, 34, 154, 0, 117, 52, 369, 45, 0, 444, 54, 148, 2, 120]"
