,system_name,router_skew,MTTFT (ms),std div,num samples
0,deepspeed-inference,0.0,11.384862959384918,0.00958347026416014,50
1,exflow,0.0,4.8247068375349045,0.02200089010682448,25
2,fastermoe,0.0,4.445953946560621,0.007602238721215347,25
3,fastmoe,0.0,4.401104971766472,0.01080853043509085,25
4,harmony,0.0,4.720656890422106,0.0216242137091648,25
5,deepspeed-inference,0.5,39.175591468811035,0.020611328592516607,200
6,exflow,0.5,7.395876739174128,0.006991435578006207,50
7,fastermoe,0.5,6.61591487005353,0.013701486778463747,50
8,fastmoe,0.5,6.6958980448544025,0.005908792318116687,50
9,harmony,0.5,4.842862579971552,0.014821915672958465,25
10,deepspeed-inference,0.9,74.23754010349512,0.07635185494601648,800
11,exflow,0.9,9.402818708086432,0.234237010843021,89
12,fastermoe,0.9,8.159357979893684,0.009410935996694677,50
13,fastmoe,0.9,8.213739320635796,0.011856739550277606,50
14,harmony,0.9,4.8805030807852745,0.021727237586919777,25
