,dataset,system_name,MTTFT (ms),std div,num samples
0,bookcorpus,deepspeed-inference,35.607970114797354,0.7344646528552012,160
1,bookcorpus,exflow,6.127709491799275,0.2070012511895399,30
2,bookcorpus,fastermoe,4.855966414598858,0.5518809536746011,34
3,bookcorpus,fastmoe,4.846852637973487,0.550483435153044,34
4,bookcorpus,harmony,4.841371687750022,0.21205570673974505,30
5,random,deepspeed-inference,36.39117423444986,0.06690989238918246,160
6,random,exflow,7.076113453755776,0.2986816889513702,30
7,random,fastermoe,5.255299784681377,0.5981946047354433,34
8,random,fastmoe,5.247917884559023,0.5979878652291596,34
9,random,harmony,4.963319236412644,0.2982537116086159,30
10,wikitext,deepspeed-inference,36.399955563247204,0.06264373892639243,160
11,wikitext,exflow,5.984013124058644,0.28369744557263654,30
12,wikitext,fastermoe,5.226551208133792,0.5953625520276944,34
13,wikitext,fastmoe,5.225712141277744,0.5945991715008918,34
14,wikitext,harmony,4.96971399212877,0.3993395046396233,30
15,wmt19,deepspeed-inference,32.81798832118511,0.8026338397444674,160
16,wmt19,exflow,5.696318407232563,0.24785863266342273,30
17,wmt19,fastermoe,4.91648885037969,0.5585475897983788,34
18,wmt19,fastmoe,4.897471060793773,0.5546123662050869,34
19,wmt19,harmony,4.90398049975435,0.0835087721704439,30
