,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.03502511459238389
1,deepspeed_policy,random,0.031387663027819465
2,deepspeed_policy,wikitext,0.034791890901677745
3,deepspeed_policy,wmt19,0.029977148140178007
4,harmony,bookcorpus,0.01623936519493051
5,harmony,random,0.01589613015311105
6,harmony,wikitext,0.018551292575135523
7,harmony,wmt19,0.015115640186128163
8,drop,bookcorpus,0.016680096269464817
9,drop,random,0.017923977469100433
10,drop,wikitext,0.014141920621703273
11,drop,wmt19,0.014370084593896151
12,even_split,bookcorpus,0.04229548416656702
13,even_split,random,0.041345818240626324
14,even_split,wikitext,0.03979618586326132
15,even_split,wmt19,0.03776854015531994
