,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.03475890437294455
1,deepspeed_policy,random,0.0307319717687719
2,deepspeed_policy,wikitext,0.03451731583651375
3,deepspeed_policy,wmt19,0.030434093166800107
4,harmony,bookcorpus,0.016234593501707324
5,harmony,random,0.015905367014359455
6,harmony,wikitext,0.018447116254949245
7,harmony,wmt19,0.015048752765266264
8,drop,bookcorpus,0.014223826661401866
9,drop,random,0.012730179845070352
10,drop,wikitext,0.014424307842643893
11,drop,wmt19,0.01638626410036671
12,even_split,bookcorpus,0.042628513777337104
13,even_split,random,0.039995141269398383
14,even_split,wikitext,0.04002446098068134
15,even_split,wmt19,0.038121555354319464
