,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.03513003655040966
1,deepspeed_policy,random,0.03173427952037138
2,deepspeed_policy,wikitext,0.034661692170535816
3,deepspeed_policy,wmt19,0.03306172227859497
4,harmony,bookcorpus,0.016324566328606637
5,harmony,random,0.015550296757496944
6,harmony,wikitext,0.018439613861291587
7,harmony,wmt19,0.014749354563602783
8,drop,bookcorpus,0.012228294528260521
9,drop,random,0.01650639940119114
10,drop,wikitext,0.01196046629406157
11,drop,wmt19,0.012336831488576876
12,even_split,bookcorpus,0.04279493827560321
13,even_split,random,0.040186280750093006
14,even_split,wikitext,0.03981095387984295
15,even_split,wmt19,0.03839577863005554
