,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.034401204642127536
1,deepspeed_policy,random,0.02999633326249964
2,deepspeed_policy,wikitext,0.03475800101897295
3,deepspeed_policy,wmt19,0.030130349159240722
4,harmony,bookcorpus,0.018667951882291003
5,harmony,random,0.017173887239832458
6,harmony,wikitext,0.020146022874481823
7,harmony,wmt19,0.019907305451477467
8,drop,bookcorpus,0.015418500368286962
9,drop,random,0.0170500109925562
10,drop,wikitext,0.017479129557706873
11,drop,wmt19,0.017726700867114423
12,even_split,bookcorpus,0.04758052208310082
13,even_split,random,0.04320871085861103
14,even_split,wikitext,0.04462461043377312
15,even_split,wmt19,0.0428500324690423
