,policy,dataset,latency (ms)
0,deepspeed_policy,bookcorpus,0.03539526768291698
1,deepspeed_policy,random,0.02998366117477417
2,deepspeed_policy,wikitext,0.03267239161098705
3,deepspeed_policy,wmt19,0.03113684326059678
4,harmony,bookcorpus,0.02023416345297885
5,harmony,random,0.019422702503853105
6,harmony,wikitext,0.021093863662408324
7,harmony,wmt19,0.01725536128452846
8,drop,bookcorpus,0.015722551670204213
9,drop,random,0.01660116468157087
10,drop,wikitext,0.01577219141746054
11,drop,wmt19,0.015097047974463224
12,even_split,bookcorpus,0.0521067141578311
13,even_split,random,0.05168144693180007
14,even_split,wikitext,0.044913190465395145
15,even_split,wmt19,0.04350929332914807
