,gpu_util
193,"[71, 75, 53, 55, 66, 68, 75, 67]"
194,"[0, 0, 0, 0, 0, 0, 0, 0]"
195,"[85, 91, 92, 100, 87, 92, 93, 93]"
196,"[69, 100, 76, 93, 71, 100, 80, 85]"
197,"[90, 92, 88, 91, 90, 91, 92, 90]"
198,"[55, 69, 42, 62, 66, 61, 52, 60]"
199,"[0, 0, 0, 0, 0, 0, 17, 0]"
200,"[87, 77, 79, 88, 88, 70, 88, 83]"
201,"[91, 85, 86, 93, 88, 89, 99, 96]"
202,"[69, 98, 61, 73, 69, 74, 74, 98]"
203,"[16, 0, 5, 24, 12, 10, 34, 0]"
204,"[100, 100, 81, 94, 98, 93, 86, 85]"
205,"[93, 75, 79, 96, 85, 71, 74, 72]"
206,"[99, 72, 92, 71, 78, 80, 73, 70]"
207,"[73, 65, 57, 75, 64, 88, 69, 63]"
208,"[0, 0, 0, 0, 0, 0, 0, 0]"
209,"[87, 78, 84, 90, 88, 88, 96, 93]"
210,"[90, 99, 87, 89, 90, 90, 89, 91]"
211,"[100, 100, 100, 100, 100, 100, 100, 100]"
212,"[63, 55, 59, 60, 74, 73, 58, 74]"
213,"[0, 0, 0, 0, 0, 0, 0, 0]"
214,"[93, 70, 82, 98, 71, 80, 100, 86]"
215,"[82, 71, 67, 90, 71, 71, 80, 73]"
216,"[90, 97, 88, 93, 96, 91, 97, 91]"
217,"[54, 74, 40, 58, 72, 51, 52, 55]"
218,"[57, 79, 28, 77, 10, 100, 100, 76]"
219,"[89, 89, 95, 90, 88, 99, 91, 97]"
220,"[90, 91, 87, 89, 88, 90, 90, 90]"
221,"[98, 74, 98, 94, 69, 98, 87, 98]"
222,"[0, 14, 0, 0, 11, 0, 0, 0]"
223,"[90, 94, 81, 93, 97, 80, 98, 84]"
224,"[68, 81, 60, 72, 76, 69, 74, 70]"
225,"[70, 79, 61, 72, 76, 71, 74, 71]"
226,"[90, 100, 88, 90, 100, 91, 92, 90]"
227,"[55, 75, 40, 54, 73, 53, 58, 55]"
228,"[50, 64, 18, 60, 0, 0, 94, 0]"
229,"[70, 98, 60, 72, 93, 70, 71, 71]"
230,"[70, 93, 61, 72, 83, 71, 74, 72]"
231,"[100, 92, 100, 91, 89, 99, 100, 100]"
232,"[73, 71, 60, 68, 57, 71, 65, 73]"
233,"[10, 70, 0, 15, 0, 40, 45, 18]"
234,"[88, 88, 84, 88, 91, 88, 88, 87]"
235,"[90, 91, 86, 89, 89, 88, 90, 91]"
236,"[69, 80, 62, 73, 94, 69, 77, 72]"
237,"[11, 6, 5, 31, 0, 14, 13, 15]"
238,"[98, 93, 78, 95, 93, 93, 93, 100]"
239,"[82, 73, 83, 72, 71, 76, 82, 77]"
240,"[77, 76, 65, 70, 71, 71, 79, 73]"
241,"[65, 85, 62, 67, 67, 72, 69, 73]"
242,"[0, 0, 0, 0, 0, 0, 0, 0]"
243,"[77, 80, 70, 77, 78, 78, 73, 79]"
244,"[98, 100, 80, 89, 98, 93, 92, 80]"
245,"[98, 98, 68, 100, 100, 91, 84, 75]"
246,"[71, 67, 41, 52, 69, 64, 54, 60]"
