iteration,deepspeed,fastmoe,fastermoe,exflow,harmony,harmony number expert swaps
0,25.509143915211656,260.08495616794767,261.927467836433,268.6564850633913,398.685880577196,84
1,25.512307670971772,367.25875917390806,365.33231900136497,335.45959632435233,404.1764260072322,78
2,25.502697806239876,364.2496709702155,364.4015086901375,333.4998061086471,403.4636799153869,80
3,25.5268611180746,240.5580358397465,236.70786142159915,220.37105505162452,399.1695590879829,84
4,25.51165127066368,338.81584447848155,338.42592196628476,312.6128658224048,399.63493127063225,82
5,25.51906916298166,325.9461700914697,325.44851648055345,301.6415041283919,372.3392677105685,84
6,25.526534869464122,387.51189752688504,391.0658466502705,358.0683060123285,401.6384435085434,62
7,25.496950861076733,365.52981248651366,364.29355102971044,334.9175419153579,406.50032387799797,80
8,25.516108628935857,347.3231022598628,347.170964506618,320.71134339715894,400.91506772029527,83
9,25.511146967130593,405.50801231169993,405.46559718124195,368.98014997243405,405.75859148473313,42
10,25.500441817547532,371.53609117617907,370.4455021778214,340.46244989217035,402.0634155098803,75
11,25.517381558865164,332.67904850535695,331.78312037680996,307.89538804816766,397.7791383017462,84
12,25.505140305805995,295.247791310278,294.0196228802189,273.81572023101484,394.27017495190046,84
13,25.51425068969864,306.5197894827923,305.7305972452419,284.2673171583353,394.33132178138493,84
14,25.520617235341508,382.0786230571107,380.91034607020106,349.64797235963846,398.1788615119994,68
15,25.504588182441516,309.75032049154123,309.628558292616,288.0938560161266,392.6277013757973,84
16,25.51208731532905,238.81442753657598,230.12119715798426,222.5108653188529,395.6796349490697,84
17,25.491999744976923,302.5502255401111,303.31224933265656,281.38330188294447,392.3766719657066,84
18,25.51468216691914,312.3641511780577,311.67490903081335,290.52432237550494,393.4711266785384,84
19,25.509654345516786,406.76630070051056,404.1341643594919,369.53370499585867,404.8241347110744,42
20,25.50222331773984,406.1758660510879,403.7086528206111,367.73057069682085,405.4402307450825,42
21,25.504521495001477,382.51861587909934,381.7164692893863,350.1570165912639,399.3632436563452,71
22,25.503561544681446,328.5981236949865,328.3001281639647,304.6789970148126,366.0022674090663,84
23,25.523277501407208,346.7066945830468,346.5989407104251,319.8269003272307,399.0368857270494,83
24,25.501959720646706,282.0239758141289,281.8729956478846,263.0419594892063,392.72376984497055,84
25,25.51971507605711,382.8972889933772,383.2424972515263,350.3372106241874,400.4645739806872,69
26,25.505662983937764,315.4485561678471,316.798635130392,293.6209555402308,394.65513461431703,84
27,25.511958517666788,365.69706713725463,366.69596349812383,335.2203094576906,401.31256630410564,79
28,25.514772189186413,376.4281851939106,375.7347078816154,344.3751173594435,401.4065245174236,73
29,25.50188839531118,277.93260430679493,277.5955586870854,259.40051530005775,394.53323798499144,84
30,25.503508819293796,293.209326568523,294.68907462182375,273.73241026368623,395.56784864411355,84
31,25.50983276822262,423.77489787553014,424.11195986901413,382.85933203100006,406.0809595100211,38
32,25.51707107643999,421.3454995646211,420.6814224139747,381.893896186291,406.4749538673705,41
33,25.509120643800134,351.51037098333813,353.07761782311684,323.61908612396627,399.41207451936805,82
34,25.516057403926293,375.8665969234044,374.7936728976439,313.93048253620674,399.6818176325922,72
35,25.509176495259126,288.6981688749489,289.55345588136817,268.73575207880293,378.18172585229524,84
36,25.536030560163525,417.70228211841965,415.92341693310345,376.7654773454062,395.53160517347266,42
37,25.516962409376177,345.19852867528516,345.83344601926234,317.07085861312646,381.72095072024814,82
38,25.513912347266746,315.9578644905673,315.81507438585044,293.0759706302424,396.5943243050146,84
39,25.52304763750017,393.90322572465567,394.0338171875728,357.4610886551744,400.13368113629883,63
40,25.503327383596297,326.3150597955847,325.71573057231734,277.07747129707917,393.9008951814968,84
41,25.519618808092627,326.1831506184238,325.65207800890533,301.3721209605932,394.0000897285666,84
42,25.523050743741585,354.2274368874364,353.1546150232738,325.36959625211324,398.91059838339737,82
43,25.510596135284917,293.88775296495766,293.4704274058283,271.9269281440763,393.9316605719067,84
44,25.505998005519576,335.3297357954698,336.1384514356816,310.26944807923917,396.35701539435837,84
45,25.52402303446102,292.53916682319,291.4118184981957,273.53518471188704,391.8305313221795,84
46,25.51884248008622,366.9034716665028,367.097205878556,337.75409644121237,401.2102393982091,76
47,25.504341595739756,332.92513140620116,334.02551932465155,308.60214317998594,395.3212288475587,83
48,25.51433294861838,300.8753014632355,302.4633471857371,279.91266343489076,391.7549060056251,84
49,25.512649074555284,402.1789731640264,402.7825126314158,366.2015092101211,403.088018585989,42
50,25.510495281326186,386.47491135862714,386.45098232884243,352.88648891866137,388.3692344821254,67
51,25.50874830699019,359.8072760042498,360.69851075163126,329.51094817798526,384.0035390951174,80
52,25.510960767788983,290.8145927868093,291.82815837425227,271.5922707359818,388.3934592096231,84
53,25.49166818963381,402.5973228162647,401.7078529438244,365.2753997794921,403.01337607643086,42
54,25.509851386387908,332.58526895190266,331.9198613286468,307.2564028538344,393.9606693817738,84
55,25.514187055803827,386.50849533675455,386.8060555383357,351.96474230143417,399.02891355251325,67
56,25.5131705085719,324.419006048808,324.1578978160498,299.4993995450852,395.6982995187699,84
57,25.530779860097322,299.68388285567323,299.84462682915915,280.1916708808163,391.16677019306644,84
58,25.510459594731795,377.8320032400755,377.474352233822,344.2920087276706,398.7438406907743,69
59,25.49633554733364,393.7657708471847,394.22525360785363,358.8092843599576,404.10626997213586,45
60,25.508771577722374,362.6025959565047,361.9597361492692,332.9376578541159,401.2750629010953,78
61,25.50824722085774,287.90247224677864,287.55890536713724,268.41817416427466,396.2762482808016,84
62,25.515691073489112,319.1140077319813,318.95549570144703,295.00538764302576,390.26073594229933,83
63,25.512067142115335,355.1063023498307,354.416188125417,325.4104906320923,400.0153051510264,82
64,25.513629884769966,353.181170492631,352.58734878154763,324.4075891333036,400.55164780199414,82
65,25.504992967176527,395.2359893861292,394.8107145028861,359.04588374827347,384.5216765030096,50
66,25.504330739831023,390.238202034767,389.95408284129286,356.1731569014163,400.39050231829725,62
67,25.519528751622083,338.26188895491265,337.73244800271584,311.6481148921857,380.5859139192666,84
68,25.513940283457945,354.11845628038947,354.617732628309,325.15983346883263,399.6275139360232,82
69,25.517190611279194,399.22563075029086,399.52993385372605,361.0363764697781,405.1934265193923,42
70,25.505055004286714,321.2342835225496,320.76998795555465,296.6323704159158,391.8197405590244,84
