iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,70.3109130859375,3.5491840839385986,0.1552640050649643,6.658751964569092,44.70105743408203,6.704927921295166,16384,4153,"[32, 38, 206, 159, 1, 10, 132, 0, 118, 0, 21, 0, 1, 702, 16, 18, 0, 0, 15, 77, 133, 37, 618, 82, 0, 174, 58, 3599, 0, 429, 1, 4430, 217, 107, 20, 44, 56, 0, 4, 0, 6, 171, 25, 334, 0, 0, 11, 5, 64, 5, 2, 3031, 980, 0, 2, 60, 0, 0, 59, 74]"
1,76.35558319091797,2.9521920680999756,0.14319999516010284,7.934207916259766,47.76211166381836,8.945535659790039,16384,5415,"[12, 55, 239, 397, 0, 278, 955, 0, 50, 0, 47, 1, 10, 235, 0, 17, 82, 2, 5, 223, 297, 3, 221, 61, 0, 1, 173, 1012, 8, 581, 0, 8042, 146, 17, 9, 19, 48, 26, 0, 77, 13, 12, 7, 0, 1, 0, 37, 0, 12, 5, 0, 2131, 445, 0, 0, 346, 0, 4, 21, 1]"
2,68.17279815673828,2.9429759979248047,0.14028799533843994,6.339935779571533,42.26736068725586,6.888415813446045,16384,4254,"[110, 74, 166, 548, 0, 4, 476, 0, 216, 3, 74, 1, 13, 88, 172, 47, 62, 8, 5, 87, 581, 2, 495, 15, 0, 8, 145, 1743, 0, 896, 0, 6151, 77, 93, 2, 46, 2, 0, 2, 46, 5, 63, 35, 59, 10, 0, 5, 4, 17, 3, 8, 2148, 1066, 0, 0, 478, 0, 4, 19, 2]"
3,62.271488189697266,1.070080041885376,0.13939200341701508,4.650112152099609,37.739070892333984,7.9231038093566895,16384,4785,"[60, 33, 350, 307, 0, 22, 1142, 1, 56, 0, 84, 0, 50, 476, 8, 17, 7, 4, 8, 229, 123, 63, 410, 44, 1, 16, 138, 1835, 0, 214, 0, 4693, 47, 63, 28, 18, 12, 0, 0, 4, 1, 81, 21, 25, 0, 1, 17, 6, 23, 0, 0, 3610, 1841, 0, 0, 150, 0, 10, 28, 7]"
4,66.22003173828125,1.2369920015335083,0.14182400703430176,4.789279937744141,45.75852966308594,6.331552028656006,16384,3667,"[96, 89, 724, 608, 0, 9, 554, 6, 550, 0, 11, 52, 0, 545, 0, 18, 78, 9, 42, 154, 149, 165, 445, 24, 0, 95, 129, 2156, 0, 325, 0, 4194, 82, 44, 69, 59, 39, 11, 0, 131, 0, 310, 47, 99, 5, 0, 17, 2, 63, 8, 7, 2918, 653, 0, 0, 570, 0, 4, 10, 9]"
5,63.924224853515625,2.801664113998413,0.15600000321865082,4.864960193634033,41.81024169921875,6.323008060455322,16384,3778,"[58, 36, 51, 1054, 0, 36, 278, 1, 104, 0, 24, 11, 6, 376, 1, 38, 15, 0, 22, 213, 261, 48, 234, 83, 2, 75, 45, 3272, 1, 626, 0, 4283, 9, 321, 27, 18, 136, 0, 2, 34, 0, 108, 40, 107, 8, 0, 46, 0, 22, 26, 34, 3271, 880, 0, 0, 18, 0, 0, 12, 11]"
6,66.03775787353516,4.035583972930908,0.147039994597435,5.535103797912598,37.88569641113281,8.36899185180664,16384,5350,"[39, 46, 481, 660, 0, 42, 317, 3, 72, 0, 9, 5, 5, 209, 34, 21, 39, 2, 1, 126, 146, 13, 411, 8, 0, 606, 67, 2854, 2, 292, 0, 6036, 3, 110, 1, 51, 2, 0, 0, 156, 9, 9, 24, 0, 0, 0, 10, 0, 3, 3, 0, 1828, 1007, 0, 0, 572, 0, 3, 11, 36]"
7,63.86790466308594,0.28569599986076355,0.5173439979553223,4.547391891479492,39.966880798339844,6.921792030334473,16384,4101,"[76, 18, 155, 375, 0, 8, 303, 1, 236, 0, 22, 1, 61, 133, 0, 19, 19, 6, 22, 179, 92, 6, 437, 52, 2, 185, 73, 2498, 0, 352, 0, 4286, 84, 474, 22, 74, 9, 0, 11, 51, 0, 456, 74, 251, 2, 0, 34, 0, 43, 14, 0, 3207, 1475, 1, 5, 443, 0, 1, 7, 29]"
8,64.63385772705078,2.0602879524230957,0.15014399588108063,5.728288173675537,39.57561492919922,7.91871976852417,16384,4993,"[4, 44, 450, 334, 0, 7, 428, 1, 178, 0, 30, 1, 5, 431, 0, 23, 75, 30, 1, 163, 379, 6, 244, 218, 13, 932, 124, 1895, 0, 712, 0, 5880, 148, 26, 7, 16, 41, 0, 0, 1, 4, 1, 16, 57, 0, 0, 19, 0, 9, 15, 0, 2835, 392, 0, 0, 180, 0, 0, 8, 1]"
9,61.48505783081055,0.822272002696991,0.1363839954137802,5.17574405670166,37.85715103149414,8.84540843963623,16384,5715,"[113, 40, 145, 299, 0, 8, 271, 0, 99, 0, 30, 0, 7, 242, 279, 39, 12, 0, 13, 198, 130, 5, 471, 57, 1, 2, 9, 3253, 0, 898, 0, 4960, 93, 147, 12, 17, 12, 0, 4, 52, 9, 480, 87, 45, 1, 0, 19, 10, 72, 1, 8, 2953, 621, 0, 4, 124, 0, 4, 10, 18]"
10,61.33964920043945,1.4796799421310425,0.13843199610710144,3.9406399726867676,38.88787078857422,9.00550365447998,16384,5624,"[102, 31, 101, 717, 0, 29, 125, 2, 109, 0, 4, 4, 25, 280, 1358, 19, 63, 40, 4, 233, 224, 30, 241, 33, 0, 232, 52, 2951, 0, 310, 1, 3217, 224, 186, 28, 42, 0, 0, 0, 49, 0, 511, 20, 146, 9, 0, 40, 0, 8, 15, 5, 3265, 1124, 0, 0, 143, 0, 1, 10, 21]"
11,63.722496032714844,2.5589759349823,0.14371199905872345,5.151519775390625,39.37753677368164,8.430944442749023,16384,5341,"[78, 84, 347, 143, 0, 18, 354, 3, 155, 0, 17, 32, 3, 150, 0, 17, 2, 9, 29, 181, 187, 21, 811, 50, 0, 20, 29, 3924, 0, 625, 0, 3803, 59, 238, 103, 95, 374, 0, 2, 63, 2, 85, 54, 74, 2, 0, 18, 65, 1, 5, 6, 2809, 1156, 0, 10, 42, 0, 0, 21, 8]"
12,65.01171112060547,1.7827839851379395,0.13305599987506866,5.7076802253723145,44.06099319458008,5.341792106628418,16384,3071,"[72, 79, 117, 96, 0, 94, 365, 4, 251, 0, 30, 4, 2, 225, 0, 17, 15, 5, 3, 119, 153, 2, 735, 70, 3, 21, 42, 2960, 1, 672, 0, 5218, 206, 187, 28, 120, 24, 0, 2, 75, 2, 12, 65, 45, 2, 0, 1, 0, 5, 0, 0, 3793, 83, 0, 12, 154, 0, 2, 149, 42]"
13,65.8370590209961,2.3756799697875977,0.14079999923706055,4.993247985839844,42.633056640625,7.591807842254639,16384,4862,"[69, 100, 179, 515, 0, 51, 332, 1, 257, 0, 68, 5, 1, 370, 1, 21, 312, 11, 11, 135, 59, 75, 365, 1, 1, 120, 38, 2149, 0, 480, 0, 4615, 157, 261, 40, 20, 28, 0, 0, 5, 1, 359, 42, 125, 14, 0, 18, 15, 42, 2, 41, 3981, 807, 1, 1, 7, 0, 4, 59, 12]"
14,64.23551940917969,2.959359884262085,0.1416960060596466,4.613056182861328,40.97417449951172,7.640672206878662,16384,4733,"[36, 21, 129, 884, 0, 1, 444, 2, 285, 0, 12, 0, 4, 683, 97, 25, 270, 2, 1, 314, 212, 1, 497, 258, 0, 25, 23, 2672, 0, 81, 0, 4412, 110, 305, 12, 35, 20, 1, 0, 17, 2, 67, 5, 158, 2, 0, 20, 37, 38, 0, 0, 2564, 1001, 0, 0, 533, 0, 0, 61, 5]"
15,60.42931365966797,3.8686718940734863,0.14032000303268433,4.9015679359436035,34.99311828613281,8.43449592590332,16384,5430,"[127, 32, 154, 768, 0, 17, 1133, 3, 183, 0, 31, 0, 6, 791, 11, 16, 27, 11, 4, 237, 182, 40, 522, 70, 3, 66, 35, 1355, 0, 552, 0, 3305, 161, 158, 6, 45, 37, 0, 0, 44, 7, 236, 61, 147, 12, 0, 78, 27, 22, 3, 16, 4524, 1010, 2, 0, 68, 0, 1, 9, 29]"
16,59.90195083618164,2.555903911590576,0.13235199451446533,4.934624195098877,34.6940803527832,9.402688026428223,16384,6175,"[177, 78, 67, 435, 0, 6, 501, 2, 299, 0, 10, 23, 2, 453, 8, 18, 162, 7, 8, 103, 93, 85, 224, 37, 6, 515, 117, 3758, 0, 644, 0, 3563, 64, 348, 11, 198, 30, 8, 0, 3, 2, 275, 79, 34, 9, 5, 39, 78, 18, 8, 0, 1962, 1396, 11, 3, 359, 0, 31, 5, 7]"
17,65.20217895507812,2.4033279418945312,0.14508800208568573,5.071968078613281,43.84966278076172,5.771967887878418,16384,3319,"[74, 40, 75, 270, 0, 45, 36, 1, 221, 0, 4, 0, 4, 58, 0, 27, 136, 16, 0, 148, 1139, 2, 161, 6, 0, 5, 2, 4386, 0, 506, 0, 4768, 158, 86, 14, 77, 17, 1, 3, 42, 5, 16, 35, 131, 3, 0, 20, 80, 15, 0, 3, 2386, 1040, 0, 1, 72, 0, 2, 4, 43]"
