iteration,total number of tokens sent,total number of tokens recv,latency (ms),comp latency (ms),expert distribution
0,85,0,18.65011215209961,0.07782399654388428,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 75, 5, 0, 0]"
1,85,0,12.001279830932617,0.05939200147986412,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 78, 1, 0, 0]"
