iteration,min (ms),idle (ms)
0,0.0757760033011436,2.4320000186562534
1,0.0819199979305267,1.174528032541275
2,0.0808959975838661,1.8001920208334923
3,0.0819199979305267,1.1673599779605865
4,0.0696320012211799,1.2328960224986076
5,0.0798719972372055,1.1837439686059954
6,0.0808959975838661,1.1724800094962118
7,0.0798719972372055,1.230847969651222
8,0.0798719972372055,1.1857919842004776
9,0.0819199979305267,1.1018239557743073
10,0.0798719972372055,1.1755520254373548
11,0.0798719972372055,1.1960320621728897
12,0.0819199979305267,1.1796479523181918
