iteration,type,latency (ms)
0,moe,61.47071838378906
1,moe,55.65951919555664
2,moe,60.75596618652344
3,moe,56.7828483581543
4,moe,55.71481704711914
5,moe,56.66099166870117
6,moe,55.84486389160156
7,moe,60.34534454345703
8,moe,56.80947113037109
9,moe,55.81516647338867
10,moe,55.41785430908203
11,moe,55.976959228515625
12,moe,56.59135818481445
0,dense,11.15443229675293
1,dense,11.096063613891602
2,dense,10.873855590820312
3,dense,10.983424186706545
4,dense,11.003904342651367
5,dense,11.033599853515623
6,dense,11.125760078430176
7,dense,10.988544464111328
8,dense,10.926079750061035
9,dense,11.03974437713623
10,dense,11.132927894592283
11,dense,11.103232383728027
12,dense,11.04691219329834
0,dense_param_matched,399.7870178222656
1,dense_param_matched,401.2503051757813
2,dense_param_matched,399.2545166015625
3,dense_param_matched,400.8427429199219
4,dense_param_matched,398.9770202636719
5,dense_param_matched,403.4754638671875
6,dense_param_matched,403.420166015625
7,dense_param_matched,404.1113586425781
8,dense_param_matched,403.0730285644531
9,dense_param_matched,403.3372192382813
10,dense_param_matched,401.9056701660156
11,dense_param_matched,404.1994323730469
12,dense_param_matched,403.8031311035156
