iteration,min (ms),idle (ms)
0,0.0839679986238479,1.6271360367536545
1,0.0706560015678405,1.5534079670906067
2,0.0706560015678405,1.5288320183753967
3,0.0716800019145011,1.6179199889302254
4,0.074752002954483,1.6189440190792084
5,0.0788479968905448,1.459200032055378
6,0.074752002954483,1.4755840003490448
7,0.0819199979305267,1.4725120365619662
8,0.0716800019145011,1.5759360268712044
9,0.0716800019145011,1.6701440289616585
10,0.0706560015678405,1.525759994983673
11,0.0737280026078224,1.5738880261778831
12,0.074752002954483,1.5738880336284637
