iteration,min (ms),idle (ms)
0,5.045248031616211,15.332351684570312
1,4.592639923095703,14.908416748046871
2,4.35814380645752,14.978047370910645
3,4.352000236511231,14.979071617126461
4,4.419583797454834,15.070208072662354
5,4.175871849060059,15.304703712463382
6,4.314112186431885,15.181823253631595
7,4.343808174133301,15.114239692687988
8,4.56601619720459,14.992383003234863
9,4.597760200500488,14.763007164001468
10,4.338687896728516,15.174655914306644
11,4.70630407333374,14.827520847320557
12,4.368383884429932,14.993407726287842
