iteration,min (ms),idle (ms)
0,3.39353609085083,24.33638334274292
1,3.2665600776672363,24.46131277084351
2,3.410943984985352,26.706943511962887
3,3.2389121055603027,24.487936496734616
4,3.300352096557617,24.30361557006836
5,3.3269760608673096,24.42751955986023
6,3.361792087554932,24.101888179779053
7,3.3075199127197266,24.259584426879883
8,3.3413119316101074,24.576000690460205
9,3.2819199562072754,24.084479808807373
10,3.4887681007385254,23.867391109466556
11,3.4365439414978027,24.27392053604126
12,3.358720064163208,24.57702326774597
