iteration,min (ms),idle (ms)
0,0.0808959975838661,2.039807938039303
1,0.0716800019145011,1.475583977997303
2,0.0706560015678405,1.5994879603385925
3,0.0706560015678405,1.5011840462684631
4,0.0727040022611618,1.4581759721040726
5,0.0716800019145011,1.4663680270314217
6,0.0706560015678405,1.5882239937782285
7,0.0737280026078224,1.6332800015807152
8,0.0706560015678405,1.461247980594635
9,0.0696320012211799,1.4868480488657951
10,0.0706560015678405,1.496064007282257
11,0.0819199979305267,1.5851520597934723
12,0.0737280026078224,1.5953919515013695
