iteration,type,latency (ms)
0,moe,52.55475234985352
1,moe,46.30630493164063
2,moe,45.83935928344727
3,moe,45.662208557128906
4,moe,46.59097671508789
5,moe,45.86598587036133
6,moe,45.663230895996094
7,moe,51.33209609985352
8,moe,46.41075134277344
9,moe,46.251007080078125
10,moe,45.90079879760742
11,moe,46.48345565795898
12,moe,45.90694427490234
0,dense,11.0315523147583
1,dense,11.057151794433594
2,dense,10.908672332763672
3,dense,10.981375694274902
4,dense,10.990592002868652
5,dense,11.149312019348145
6,dense,11.035648345947266
7,dense,10.92198371887207
8,dense,10.975232124328612
9,dense,11.04691219329834
10,dense,11.03667163848877
11,dense,11.143168449401855
12,dense,10.978303909301758
0,dense_param_matched,414.0492858886719
1,dense_param_matched,413.9458618164063
2,dense_param_matched,414.2377014160156
3,dense_param_matched,416.2611083984375
4,dense_param_matched,415.7921142578125
5,dense_param_matched,417.7356872558594
6,dense_param_matched,415.9856567382813
7,dense_param_matched,415.9303588867188
8,dense_param_matched,416.4853820800781
9,dense_param_matched,416.9523315429688
10,dense_param_matched,418.3275451660156
11,dense_param_matched,417.512451171875
12,dense_param_matched,416.3799133300781
