iteration,type,latency (ms)
0,moe,20.959232330322266
1,moe,16.536575317382812
2,moe,16.78438377380371
3,moe,18.715648651123047
4,moe,16.36147117614746
5,moe,16.17305564880371
6,moe,16.546815872192383
7,moe,16.318464279174805
8,moe,16.39833641052246
9,moe,16.80588722229004
10,moe,16.736255645751953
11,moe,16.547840118408203
12,moe,16.308223724365234
0,dense,0.2672640085220337
1,dense,0.291839987039566
2,dense,0.2682879865169525
3,dense,0.2856959998607635
4,dense,0.26009601354599
5,dense,0.2856959998607635
6,dense,0.2856959998607635
7,dense,0.2703360021114349
8,dense,0.2723839879035949
9,dense,0.2693119943141937
10,dense,0.2887679934501648
11,dense,0.2856959998607635
12,dense,0.279552012681961
0,dense_param_matched,6.501376152038574
1,dense_param_matched,6.533120155334473
2,dense_param_matched,6.5228800773620605
3,dense_param_matched,6.432767868041992
4,dense_param_matched,6.460415840148926
5,dense_param_matched,6.563839912414551
6,dense_param_matched,6.4634881019592285
7,dense_param_matched,6.511616230010986
8,dense_param_matched,6.464511871337891
9,dense_param_matched,6.552576065063477
10,dense_param_matched,6.523903846740723
11,dense_param_matched,6.524928092956543
12,dense_param_matched,6.6017279624938965
