iteration,type,latency (ms)
0,moe,18.530303955078125
1,moe,22.153215408325195
2,moe,17.20217514038086
3,moe,17.42643165588379
4,moe,19.819520950317383
5,moe,16.1843204498291
6,moe,16.706560134887695
7,moe,16.985088348388672
8,moe,16.475135803222656
9,moe,16.186368942260742
10,moe,16.659456253051758
11,moe,16.564224243164062
12,moe,16.325632095336914
0,dense,0.2723839879035949
1,dense,0.2856959998607635
2,dense,0.2805759906768799
3,dense,0.2805759906768799
4,dense,0.2867200076580047
5,dense,0.2979840040206909
6,dense,0.2785280048847198
7,dense,0.2846719920635223
8,dense,0.2723839879035949
9,dense,0.2764799892902374
10,dense,0.26009601354599
11,dense,0.2908160090446472
12,dense,0.279552012681961
0,dense_param_matched,6.48908805847168
1,dense_param_matched,6.488063812255859
2,dense_param_matched,6.497280120849609
3,dense_param_matched,6.495232105255127
4,dense_param_matched,6.562816143035889
5,dense_param_matched,6.488063812255859
6,dense_param_matched,6.554624080657959
7,dense_param_matched,6.529024124145508
8,dense_param_matched,6.58022403717041
9,dense_param_matched,6.569983959197998
10,dense_param_matched,6.605823993682861
11,dense_param_matched,6.581247806549072
12,dense_param_matched,6.622208118438721
