iteration,type,latency (ms)
0,moe,21.59513664245605
1,moe,15.836159706115724
2,moe,16.20684814453125
3,moe,15.831040382385254
4,moe,16.267263412475586
5,moe,16.669696807861328
6,moe,17.17964744567871
7,moe,18.465791702270508
8,moe,16.079872131347656
9,moe,16.522239685058594
10,moe,16.22528076171875
11,moe,15.997952461242676
12,moe,16.39628791809082
0,dense,0.2815999984741211
1,dense,0.2785280048847198
2,dense,0.2723839879035949
3,dense,0.2969599962234497
4,dense,0.279552012681961
5,dense,0.2867200076580047
6,dense,0.2611199915409088
7,dense,0.2764799892902374
8,dense,0.2693119943141937
9,dense,0.2877439856529236
10,dense,0.26009601354599
11,dense,0.2846719920635223
12,dense,0.2959359884262085
0,dense_param_matched,6.450175762176514
1,dense_param_matched,6.552576065063477
2,dense_param_matched,6.510591983795166
3,dense_param_matched,6.508543968200684
4,dense_param_matched,6.558720111846924
5,dense_param_matched,6.569983959197998
6,dense_param_matched,6.57919979095459
7,dense_param_matched,6.410240173339844
8,dense_param_matched,6.419456005096436
9,dense_param_matched,6.58022403717041
10,dense_param_matched,6.57919979095459
11,dense_param_matched,6.470655918121338
12,dense_param_matched,6.461440086364746
