iteration,min (ms),idle (ms)
0,0.0757760033011436,2.3562239184975624
1,0.0706560015678405,2.0193279385566716
2,0.0716800019145011,1.6046080067753792
3,0.0675840005278587,1.4929919615387917
4,0.0716800019145011,1.6025599911808968
5,0.0727040022611618,1.623040035367012
6,0.0716800019145011,1.6066560223698616
7,0.0716800019145011,1.564671941101551
8,0.0706560015678405,1.6353279948234558
9,0.0737280026078224,1.611775957047939
10,0.0768000036478042,1.59436796605587
11,0.0696320012211799,1.557503990828991
12,0.074752002954483,1.5943679511547089
