iteration,min (ms),idle (ms)
0,5.381120204925537,11.6541428565979
1,4.897791862487793,10.031104087829592
2,4.934656143188477,9.944064140319824
3,4.808703899383545,10.083327770233154
4,4.784128189086914,10.271743774414062
5,4.826111793518066,10.1396484375
6,4.655104160308838,10.311679363250732
7,4.899839878082275,10.13964796066284
8,4.734975814819336,9.982975959777832
9,4.974592208862305,10.02086353302002
10,4.774911880493164,10.281984329223633
11,5.000192165374756,9.718783855438232
12,4.616191864013672,10.366975784301758
