iteration,min (ms),idle (ms)
0,0.0737280026078224,2.285568080842495
1,0.0706560015678405,6.389759838581085
2,0.0778239965438842,1.4407680034637451
3,0.0706560015678405,1.0495999455451965
4,0.0768000036478042,3.7888001054525375
5,0.0798719972372055,1.18783999979496
6,0.0798719972372055,1.0547200590372086
7,0.0706560015678405,1.210367977619171
8,0.0727040022611618,1.2083199769258497
9,0.0716800019145011,1.0926080420613289
10,0.0706560015678405,1.056768000125885
11,0.0706560015678405,1.2032000422477722
12,0.0716800019145011,1.2011520341038704
