iteration,type,latency (ms)
0,moe,66.1391372680664
1,moe,44.276737213134766
2,moe,41.2938232421875
3,moe,44.2163200378418
4,moe,42.12326431274414
5,moe,41.71980667114258
6,moe,41.57030487060547
7,moe,46.94937515258789
8,moe,40.99788665771485
9,moe,41.43308639526367
10,moe,41.457664489746094
11,moe,41.18732833862305
12,moe,41.72083282470703
0,dense,10.375167846679688
1,dense,10.531840324401855
2,dense,10.790911674499512
3,dense,10.812416076660156
4,dense,10.93017578125
5,dense,10.457088470458984
6,dense,10.534912109375
7,dense,10.84108829498291
8,dense,10.773504257202148
9,dense,11.034624099731444
10,dense,10.440704345703123
11,dense,10.523648262023926
12,dense,10.679295539855955
0,dense_param_matched,413.9704284667969
1,dense_param_matched,414.74560546875
2,dense_param_matched,416.1443786621094
3,dense_param_matched,417.0321960449219
4,dense_param_matched,419.1436767578125
5,dense_param_matched,418.6480712890625
6,dense_param_matched,419.04638671875
7,dense_param_matched,420.0478820800781
8,dense_param_matched,417.5790100097656
9,dense_param_matched,419.1795349121094
10,dense_param_matched,419.2440185546875
11,dense_param_matched,419.9424133300781
12,dense_param_matched,419.5686340332031
