iteration,type,latency (ms)
0,moe,20.64896011352539
1,moe,16.79360008239746
2,moe,15.185919761657717
3,moe,15.219712257385254
4,moe,15.233023643493652
5,moe,15.61190414428711
6,moe,15.226880073547363
7,moe,17.714176177978516
8,moe,15.76959991455078
9,moe,16.22528076171875
10,moe,15.38969612121582
11,moe,14.930944442749023
12,moe,15.029248237609863
0,dense,0.2815999984741211
1,dense,0.26419198513031
2,dense,0.2867200076580047
3,dense,0.2723839879035949
4,dense,0.2744320034980774
5,dense,0.2877439856529236
6,dense,0.2764799892902374
7,dense,0.2734079957008362
8,dense,0.2877439856529236
9,dense,0.279552012681961
10,dense,0.2826240062713623
11,dense,0.2887679934501648
12,dense,0.2652159929275512
0,dense_param_matched,6.43891191482544
1,dense_param_matched,6.552576065063477
2,dense_param_matched,6.454271793365479
3,dense_param_matched,6.443007946014404
4,dense_param_matched,6.473728179931641
5,dense_param_matched,6.568960189819336
6,dense_param_matched,6.462463855743408
7,dense_param_matched,6.459392070770264
8,dense_param_matched,6.4040961265563965
9,dense_param_matched,6.556672096252441
10,dense_param_matched,6.445055961608887
11,dense_param_matched,6.476799964904785
12,dense_param_matched,6.540287971496582
