iteration,type,latency (ms)
0,moe,1523.9833984375
1,moe,41.10335922241211
2,moe,43.99513626098633
3,moe,43.059200286865234
4,moe,48.97075271606445
5,moe,46.699520111083984
6,moe,47.24121475219727
7,moe,67.7754898071289
8,moe,43.29062271118164
9,moe,45.929473876953125
10,moe,47.05484771728516
11,moe,43.07865524291992
12,moe,48.14540863037109
0,dense,10.446847915649414
1,dense,10.494976043701172
2,dense,10.790911674499512
3,dense,10.887167930603027
4,dense,11.080703735351562
5,dense,10.475520133972168
6,dense,10.559488296508787
7,dense,10.844160079956056
8,dense,10.81651210784912
9,dense,11.0131196975708
10,dense,10.479616165161133
11,dense,10.536959648132324
12,dense,10.697728157043455
0,dense_param_matched,415.056884765625
1,dense_param_matched,402.8477478027344
2,dense_param_matched,402.8651428222656
3,dense_param_matched,403.9004211425781
4,dense_param_matched,403.31878662109375
5,dense_param_matched,404.2977294921875
6,dense_param_matched,405.9555969238281
7,dense_param_matched,404.88037109375
8,dense_param_matched,403.2593994140625
9,dense_param_matched,404.0232849121094
10,dense_param_matched,402.4524841308594
11,dense_param_matched,404.843505859375
12,dense_param_matched,404.8670654296875
