iteration,type,latency (ms)
0,moe,21.68934440612793
1,moe,16.84480094909668
2,moe,16.61440086364746
3,moe,16.558080673217773
4,moe,20.359167098999023
5,moe,16.62566375732422
6,moe,16.81920051574707
7,moe,17.21548843383789
8,moe,16.589824676513672
9,moe,16.318464279174805
10,moe,16.5611515045166
11,moe,16.41574478149414
12,moe,16.526336669921875
0,dense,0.3031040132045746
1,dense,0.2856959998607635
2,dense,0.2867200076580047
3,dense,0.2846719920635223
4,dense,0.2887679934501648
5,dense,0.2631680071353912
6,dense,0.2744320034980774
7,dense,0.2887679934501648
8,dense,0.2734079957008362
9,dense,0.2877439856529236
10,dense,0.2938880026340484
11,dense,0.2785280048847198
12,dense,0.2734079957008362
0,dense_param_matched,6.562816143035889
1,dense_param_matched,6.494207859039307
2,dense_param_matched,6.494207859039307
3,dense_param_matched,6.427648067474365
4,dense_param_matched,6.505472183227539
5,dense_param_matched,6.492159843444824
6,dense_param_matched,6.558720111846924
7,dense_param_matched,6.523903846740723
8,dense_param_matched,6.519807815551758
9,dense_param_matched,6.547455787658691
10,dense_param_matched,6.57919979095459
11,dense_param_matched,6.498303890228272
12,dense_param_matched,6.614016056060791
