iteration,type,latency (ms)
0,moe,55.78547286987305
1,moe,47.35283279418945
2,moe,46.19468688964844
3,moe,49.25747299194336
4,moe,46.31961441040039
5,moe,46.79167938232422
6,moe,46.66265487670898
7,moe,51.55942535400391
8,moe,46.57459259033203
9,moe,47.04665756225586
10,moe,46.6800651550293
11,moe,46.99033737182617
12,moe,46.59097671508789
0,dense,11.024383544921877
1,dense,11.107328414916992
2,dense,10.928128242492676
3,dense,11.006976127624512
4,dense,11.000831604003906
5,dense,11.095040321350098
6,dense,11.02233600616455
7,dense,10.980352401733398
8,dense,10.925056457519531
9,dense,11.086848258972168
10,dense,10.93120002746582
11,dense,11.121664047241213
12,dense,10.96294403076172
0,dense_param_matched,401.1100158691406
1,dense_param_matched,402.4831848144531
2,dense_param_matched,403.0648193359375
3,dense_param_matched,403.5389404296875
4,dense_param_matched,405.8900451660156
5,dense_param_matched,405.0575256347656
6,dense_param_matched,403.5184631347656
7,dense_param_matched,404.5014953613281
8,dense_param_matched,406.2740478515625
9,dense_param_matched,405.6432495117188
10,dense_param_matched,407.8274536132813
11,dense_param_matched,408.2872314453125
12,dense_param_matched,407.2591247558594
