iteration,min (ms),idle (ms)
0,0.0819199979305267,3.0853120386600494
1,0.0798719972372055,1.545215979218483
2,0.0716800019145011,1.5452160313725471
3,0.0706560015678405,1.5063039660453796
4,0.0716800019145011,1.5452160313725471
5,0.0829439982771873,1.5267839804291727
6,0.0808959975838661,1.548288010060787
7,0.0819199979305267,1.3926400244235992
8,0.0716800019145011,1.4899199679493904
9,0.0716800019145011,1.5861759856343267
10,0.0450560003519058,1.5912959426641464
11,0.0706560015678405,1.4929919838905334
12,0.0737280026078224,1.527808032929897
