iteration,min (ms),idle (ms)
0,3.6331520080566406,26.661888122558594
1,3.5983359813690186,18.981887102127075
2,3.6413440704345694,20.07244873046875
3,3.834880113601685,18.942976713180542
4,3.87174391746521,31.10604691505432
5,3.732480049133301,18.918400764465336
6,3.9536640644073486,18.431999921798703
7,3.943423986434937,29.441025018692017
8,3.755007982254028,18.692095518112183
9,3.743743896484375,19.08633613586426
10,3.744767904281616,18.759680032730103
11,3.69868803024292,19.097599506378174
12,3.605504035949707,18.802687644958496
