iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.75,75.75,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,17.2,0.0,0.0,1.6,0.0,0.0,0.0
1,0.0,0.0,0.0,1.35,0.0,0.0,0.0,3.8,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.400000000000002,0.0,0.0,1.8499999999999999,0.0,0.0,0.0
2,0.0,0.0,0.0,1.25,0.0,0.0,0.0,3.6999999999999997,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.599999999999998,0.0,0.0,1.2,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0999999999999999,0.05,0.0,0.0,4.05,77.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,1.3,0.0,0.0,0.0
4,0.0,0.0,0.0,0.8500000000000001,0.0,0.05,0.0,4.55,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,1.35,0.0,0.0,0.0
5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,3.95,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,1.7000000000000002,0.0,0.0,0.0
6,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,3.85,77.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,0.0,0.0,1.35,0.0,0.0,0.0
7,0.0,0.0,0.0,0.8,0.0,0.05,0.0,3.8,75.85,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.349999999999998,0.0,0.0,1.9,0.0,0.0,0.0
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.0,0.0,1.2,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0999999999999999,0.0,0.05,0.0,4.45,77.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,0.0,0.0,1.05,0.0,0.0,0.0
10,0.0,0.0,0.0,0.95,0.0,0.0,0.0,3.65,77.64999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,16.0,0.0,0.0,1.5,0.0,0.0,0.0
11,0.0,0.0,0.0,1.05,0.0,0.05,0.0,4.75,75.14999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,1.4500000000000002,0.0,0.0,0.0
12,0.0,0.0,0.0,0.65,0.0,0.0,0.0,3.55,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.299999999999997,0.0,0.0,1.5,0.0,0.0,0.0
