iteration,throughput (toks/s),scheduling_policy
86,13.769839457902481,deepspeed
87,13.492408255700242,deepspeed
88,11.461038243159837,deepspeed
89,11.653601384401588,deepspeed
90,15.101677347460575,deepspeed
91,11.670432941958829,deepspeed
92,17.843638054380367,deepspeed
93,12.218453849354526,deepspeed
94,12.676593611362168,deepspeed
95,11.276584523332895,deepspeed
96,12.175168645842882,deepspeed
97,14.191644939094658,deepspeed
98,12.292989525167378,deepspeed
99,12.527046072160442,deepspeed
100,11.766862439525264,deepspeed
101,11.248326215362749,deepspeed
102,12.525624490688774,deepspeed
103,16.977628414620387,deepspeed
104,13.922914172733364,deepspeed
105,13.263157811521493,deepspeed
106,17.871090560641388,deepspeed
107,13.05559639528966,deepspeed
108,14.941571699161466,deepspeed
109,12.378598588325218,deepspeed
110,16.229311731073665,deepspeed
111,12.45809897812528,deepspeed
112,16.93801991506701,deepspeed
113,16.93921132429804,deepspeed
114,16.283845339916972,deepspeed
115,14.790021338013798,deepspeed
116,16.863628040685143,deepspeed
117,16.91719734946818,deepspeed
118,13.010323908459743,deepspeed
119,14.241729958420773,deepspeed
120,14.857287920856612,deepspeed
121,16.855467507905452,deepspeed
122,17.496110779813286,deepspeed
123,16.12630200886517,deepspeed
124,12.04425094295285,deepspeed
125,12.82075952552771,deepspeed
126,11.57507991959573,deepspeed
127,13.45715075218411,deepspeed
128,13.648403632422804,deepspeed
129,15.952695609840205,deepspeed
130,12.420967426690806,deepspeed
131,15.129443132681143,deepspeed
132,11.897134404379175,deepspeed
133,14.318999392749783,deepspeed
134,12.560113823396309,deepspeed
135,15.436049678346935,deepspeed
136,11.498601102646157,deepspeed
137,13.357551473522168,deepspeed
138,12.393813392168981,deepspeed
139,18.409948288869078,deepspeed
140,16.336331096371136,deepspeed
141,12.12875384448184,deepspeed
142,13.598309682514316,deepspeed
143,18.201241715822214,deepspeed
144,15.556067308927107,deepspeed
145,11.058487110956628,deepspeed
146,12.257631239789703,deepspeed
147,11.886052081307566,deepspeed
148,13.401552537531373,deepspeed
149,13.077063158743933,deepspeed
150,14.437018596554333,deepspeed
151,15.581371691620914,deepspeed
152,15.552791392076031,deepspeed
153,14.920691546814176,deepspeed
154,14.48245839810494,deepspeed
155,13.54206607009626,deepspeed
156,15.712286946351618,deepspeed
157,14.375137681063181,deepspeed
158,15.953218947036445,deepspeed
159,14.245444394913923,deepspeed
160,12.94369650661507,deepspeed
161,14.60996629484025,deepspeed
162,16.227930310205124,deepspeed
163,11.716271140042217,deepspeed
164,11.854253277742089,deepspeed
165,17.334046234204468,deepspeed
166,15.007445482759222,deepspeed
167,15.316622845457202,deepspeed
168,16.792570006509283,deepspeed
169,16.172574647098052,deepspeed
170,13.743480184150597,deepspeed
171,12.936590293248482,deepspeed
172,12.358962956615025,deepspeed
173,12.268527905294844,deepspeed
174,12.604768668871824,deepspeed
175,11.017787134697505,deepspeed
176,11.941909129151801,deepspeed
177,14.223062195954205,deepspeed
178,11.411207760727528,deepspeed
179,12.90761929796442,deepspeed
0,18.582310550942346,even_split
1,18.83986484814085,even_split
2,18.41440381432391,even_split
3,17.483517697628457,even_split
4,18.2962029828732,even_split
5,17.45653222367344,even_split
6,17.42998755323025,even_split
7,17.792999039411015,even_split
8,18.68772608767368,even_split
9,18.567746329653858,even_split
10,18.160134861556845,even_split
11,18.226904631401055,even_split
12,16.94402355791888,even_split
13,17.532337807182778,even_split
14,17.904919691856392,even_split
15,18.265751449295283,even_split
16,17.995822222347364,even_split
17,17.050119863321495,even_split
18,17.069179333997386,even_split
19,18.30738416465394,even_split
20,18.180524885866916,even_split
21,18.036693911124125,even_split
22,17.5795346059669,even_split
23,17.19017558815423,even_split
24,18.337034859103895,even_split
25,17.7318152952641,even_split
26,18.807002931725375,even_split
27,17.652520262589736,even_split
28,18.653634875114054,even_split
29,17.85538555787218,even_split
30,18.088350053637946,even_split
31,17.21558136962602,even_split
32,17.99739112524887,even_split
33,17.249561460196283,even_split
34,17.73672555456728,even_split
35,18.07011787556512,even_split
36,17.170513040126487,even_split
37,18.060941841177016,even_split
38,18.521169301421885,even_split
39,18.64358575201444,even_split
40,17.915088358305695,even_split
41,18.151501334574473,even_split
42,18.065273379173853,even_split
43,17.233859418787176,even_split
44,17.297103880283423,even_split
45,16.856879505432737,even_split
46,17.98666803774933,even_split
47,17.12018174758576,even_split
48,17.90076258468341,even_split
49,17.40165442981833,even_split
50,17.718730263783225,even_split
51,17.248206301394827,even_split
52,17.035002793417988,even_split
53,18.24835545729716,even_split
54,17.44887594527991,even_split
55,17.05908034129923,even_split
56,17.632070575718128,even_split
57,18.43821955109415,even_split
58,17.249076711540184,even_split
59,17.699237108033017,even_split
60,17.5440178716205,even_split
61,18.398418730899767,even_split
62,18.520791476648753,even_split
63,18.61597650091944,even_split
64,17.707114720923084,even_split
65,17.04242993967053,even_split
66,17.275376309230094,even_split
67,18.18057578080644,even_split
68,18.08553205483055,even_split
69,18.47734966277899,even_split
70,18.644456794238227,even_split
71,17.093836588205026,even_split
72,17.683984793694002,even_split
73,18.277536327422645,even_split
74,18.34504550323504,even_split
75,17.537822215190403,even_split
76,17.086490012470726,even_split
77,17.549269418555436,even_split
78,17.85003390327016,even_split
79,17.599273673469334,even_split
80,16.98626884167935,even_split
81,17.489221898877958,even_split
82,18.409372561971864,even_split
83,18.412659486998052,even_split
84,27.146276349469897,even_split
85,18.587229573297087,even_split
86,17.702179982155958,even_split
87,17.513376553821434,even_split
88,17.127350424732814,even_split
89,17.126134589469622,even_split
90,17.89671598636349,even_split
91,17.125289288676655,even_split
92,18.593291755924763,even_split
93,17.40288224719072,even_split
94,28.748059503478924,even_split
95,17.05418773354687,even_split
96,17.341462013874136,even_split
97,17.82066296723575,even_split
98,17.51083841222636,even_split
99,17.442935065012705,even_split
100,17.18940063789611,even_split
101,16.995238711677814,even_split
102,17.54603156155984,even_split
103,18.463708861826927,even_split
104,17.756275579980464,even_split
105,17.59763689620785,even_split
106,18.53798553519107,even_split
107,29.005424292011032,even_split
108,18.04526787599555,even_split
109,17.320309085816454,even_split
110,18.31812941372896,even_split
111,17.299178713323773,even_split
112,18.522811974773294,even_split
113,18.302214466348644,even_split
114,18.25884562427946,even_split
115,18.06727799079458,even_split
116,18.501751541201177,even_split
117,18.315241870154036,even_split
118,28.95999409656645,even_split
119,17.788237140220122,even_split
120,18.051809111866085,even_split
121,18.32672202007535,even_split
122,18.520928633352334,even_split
123,18.303376717879804,even_split
124,17.10295605044408,even_split
125,17.591309171225216,even_split
126,17.24957587006265,even_split
127,17.576466639560465,even_split
128,17.834540445862196,even_split
129,18.20982134074691,even_split
130,17.386188627190883,even_split
131,18.19394515354005,even_split
132,17.429297207077312,even_split
133,17.812893632694045,even_split
134,17.393419935306408,even_split
135,18.23835977542422,even_split
136,17.09487365453497,even_split
137,17.591170066998608,even_split
138,17.479033042273812,even_split
139,18.65299368800471,even_split
140,18.356540462516886,even_split
141,17.389964815021838,even_split
142,17.71398231237768,even_split
143,18.61788567964155,even_split
144,18.193177348121267,even_split
145,16.92857545114465,even_split
146,17.27624761067073,even_split
147,17.21873779845692,even_split
148,17.787535804780678,even_split
149,28.71556496830045,even_split
150,17.915010642473295,even_split
151,18.137225664243893,even_split
152,18.344878761083297,even_split
153,18.131889506269378,even_split
154,17.864724794792988,even_split
155,17.848403556815388,even_split
156,18.330850687012227,even_split
157,17.900580742884006,even_split
158,18.267472195405468,even_split
159,17.92233443492615,even_split
160,17.48683200715954,even_split
161,18.1343156456585,even_split
162,18.400552620000454,even_split
163,17.269127455338815,even_split
164,17.334898463028978,even_split
165,18.597472269478267,even_split
166,17.968469768528536,even_split
167,18.024932629185457,even_split
168,18.490520256396483,even_split
169,18.519986041472944,even_split
170,17.838494169208776,even_split
171,28.577810004595907,even_split
172,17.264612927887764,even_split
173,17.35491558310827,even_split
174,17.46083345733759,even_split
175,17.027091044190946,even_split
176,17.26132348227482,even_split
177,17.93576237122401,even_split
178,17.11335109427146,even_split
179,17.545310203773234,even_split
0,17.180221034926795,exflow
1,18.13139880440435,exflow
2,17.620072151360322,exflow
3,13.127207025812128,exflow
4,16.16172109469036,exflow
5,12.451660602051353,exflow
6,12.463477609933411,exflow
7,13.286042588911679,exflow
8,17.958976518149285,exflow
9,17.172615471224958,exflow
10,16.061061306857862,exflow
11,15.205814213269896,exflow
12,11.156777403976278,exflow
13,12.558308703461332,exflow
14,14.0928656678597,exflow
15,17.47205941902531,exflow
16,14.673432220029557,exflow
17,11.234263896338348,exflow
18,11.474903886862474,exflow
19,15.003566844842473,exflow
20,15.572383299513831,exflow
21,15.225729399881477,exflow
22,12.99961632629131,exflow
23,11.699277285875134,exflow
24,16.756845261776768,exflow
25,13.307588368760685,exflow
26,19.24023183089487,exflow
27,13.337965914172614,exflow
28,18.393075250356713,exflow
29,13.235729619701525,exflow
30,16.171571770366057,exflow
31,12.193361534050537,exflow
32,14.68939084509971,exflow
33,12.388474886653967,exflow
34,13.548423462527708,exflow
35,15.278205092790884,exflow
36,11.732982109128546,exflow
37,15.001628277605386,exflow
38,17.987077817384424,exflow
39,18.7370279274205,exflow
40,14.492975686547329,exflow
41,15.897325527590416,exflow
42,15.49874517546912,exflow
43,11.617656135562736,exflow
44,12.26089940118929,exflow
45,11.370819587171207,exflow
46,14.85946354162669,exflow
47,11.766609359022494,exflow
48,14.710350466350775,exflow
49,13.030752916224815,exflow
