iteration,throughput (toks/s),system_name
0,13.950166028702366,deepspeed-inference
1,14.047184351117314,deepspeed-inference
2,14.067342858035238,deepspeed-inference
3,14.010508372312962,deepspeed-inference
4,14.010189553077618,deepspeed-inference
5,14.010701425875537,deepspeed-inference
6,14.016606754109551,deepspeed-inference
7,14.017359177567501,deepspeed-inference
8,14.05993644323469,deepspeed-inference
9,14.040486494041009,deepspeed-inference
10,14.003392504980354,deepspeed-inference
11,14.05109904444209,deepspeed-inference
12,14.030746483472877,deepspeed-inference
13,14.044226984165185,deepspeed-inference
14,14.057933660344853,deepspeed-inference
15,13.990582308691549,deepspeed-inference
16,13.981258005348424,deepspeed-inference
17,13.964758935797022,deepspeed-inference
18,14.00274091966034,deepspeed-inference
19,13.976395299386494,deepspeed-inference
20,14.037170789723973,deepspeed-inference
21,14.014265096914324,deepspeed-inference
22,14.031309732344736,deepspeed-inference
23,14.0348604144568,deepspeed-inference
24,14.008314955501817,deepspeed-inference
25,14.010133980567526,deepspeed-inference
26,14.012444999021762,deepspeed-inference
27,13.844766410225041,deepspeed-inference
28,13.824437181794117,deepspeed-inference
29,13.815139557710424,deepspeed-inference
30,13.873195482442283,deepspeed-inference
31,13.828610521543817,deepspeed-inference
32,13.776060000673317,deepspeed-inference
33,13.81896296101055,deepspeed-inference
34,13.817819131960244,deepspeed-inference
35,13.837800744255752,deepspeed-inference
36,13.831523381255671,deepspeed-inference
37,13.835016440054567,deepspeed-inference
38,13.864430800836796,deepspeed-inference
39,13.869614324778505,deepspeed-inference
40,13.793799858462652,deepspeed-inference
41,13.792668695352999,deepspeed-inference
42,13.84628894192837,deepspeed-inference
43,13.812102825858771,deepspeed-inference
44,13.85699324380131,deepspeed-inference
45,13.801694813469332,deepspeed-inference
46,13.781743675764773,deepspeed-inference
47,13.84590613509261,deepspeed-inference
48,13.837438378953046,deepspeed-inference
49,13.843115712955218,deepspeed-inference
50,13.830805027894966,deepspeed-inference
51,13.87108211774146,deepspeed-inference
52,13.78868417029796,deepspeed-inference
53,13.833248304104922,deepspeed-inference
54,13.828382560818302,deepspeed-inference
55,13.74790049555557,deepspeed-inference
56,13.856426736439323,deepspeed-inference
57,13.885147957642443,deepspeed-inference
58,13.834046761147667,deepspeed-inference
59,13.798661151495251,deepspeed-inference
60,13.80930043628333,deepspeed-inference
61,13.808004786691418,deepspeed-inference
62,13.82852503539099,deepspeed-inference
63,13.862606457881936,deepspeed-inference
64,13.859442919854676,deepspeed-inference
65,13.81368073616576,deepspeed-inference
66,13.855162275993065,deepspeed-inference
67,13.758114677907878,deepspeed-inference
68,13.842775912378345,deepspeed-inference
69,13.851936372898537,deepspeed-inference
70,13.726189485164074,deepspeed-inference
71,13.771392653860618,deepspeed-inference
72,13.856458207855347,deepspeed-inference
73,13.85257113934837,deepspeed-inference
74,13.851541817668435,deepspeed-inference
75,13.839310328329843,deepspeed-inference
76,13.878359732511852,deepspeed-inference
77,13.820710368941572,deepspeed-inference
78,13.88945865172074,deepspeed-inference
79,13.838451337461224,deepspeed-inference
80,13.843095724224199,deepspeed-inference
81,13.75532005385798,deepspeed-inference
82,13.840312143403818,deepspeed-inference
83,13.835672476400513,deepspeed-inference
84,13.830964655526689,deepspeed-inference
85,13.828884084335572,deepspeed-inference
86,13.86338539644975,deepspeed-inference
87,13.715986190173705,deepspeed-inference
88,13.816046855535147,deepspeed-inference
89,13.814801129164504,deepspeed-inference
90,13.861581370677687,deepspeed-inference
91,13.767697206470332,deepspeed-inference
92,13.804562268043018,deepspeed-inference
93,13.851270216623004,deepspeed-inference
94,13.822073881687553,deepspeed-inference
95,13.80192473371048,deepspeed-inference
96,13.84893488723586,deepspeed-inference
97,13.80881169779035,deepspeed-inference
98,13.829029418971047,deepspeed-inference
99,13.830306215293556,deepspeed-inference
100,13.8692416924192,deepspeed-inference
101,13.843915309533608,deepspeed-inference
102,13.716314187601721,deepspeed-inference
103,13.85075849201468,deepspeed-inference
104,13.84387818336198,deepspeed-inference
105,13.769985437752805,deepspeed-inference
106,13.77287082302044,deepspeed-inference
107,13.84464645010118,deepspeed-inference
108,13.844003841977232,deepspeed-inference
109,13.851679051720827,deepspeed-inference
110,13.805025147129582,deepspeed-inference
111,13.803375394814898,deepspeed-inference
112,13.842150608695723,deepspeed-inference
113,13.789712671441949,deepspeed-inference
114,13.806129934936664,deepspeed-inference
115,13.78393465593702,deepspeed-inference
116,13.816635667411829,deepspeed-inference
117,13.81146607767481,deepspeed-inference
118,13.836690882144696,deepspeed-inference
119,13.84259888003208,deepspeed-inference
120,13.797049795014434,deepspeed-inference
121,13.8741247637989,deepspeed-inference
122,13.805329017149262,deepspeed-inference
123,13.793839551765593,deepspeed-inference
124,13.85191064035055,deepspeed-inference
125,13.82882994084062,deepspeed-inference
126,13.783507161958434,deepspeed-inference
127,13.847894675806034,deepspeed-inference
128,13.79340010293327,deepspeed-inference
129,13.779932538583335,deepspeed-inference
130,13.79224349404484,deepspeed-inference
131,13.821661098913774,deepspeed-inference
132,13.787463201478085,deepspeed-inference
133,13.795452994348517,deepspeed-inference
134,13.851198744433937,deepspeed-inference
135,13.818123565478032,deepspeed-inference
136,13.840977246046455,deepspeed-inference
137,13.840540497620298,deepspeed-inference
138,13.798343389441241,deepspeed-inference
139,13.784342357016607,deepspeed-inference
140,13.848414761987305,deepspeed-inference
141,13.807155358947881,deepspeed-inference
142,13.876850226322004,deepspeed-inference
143,13.802858686034464,deepspeed-inference
144,13.769264986614186,deepspeed-inference
145,13.846006119910383,deepspeed-inference
146,13.83044302888326,deepspeed-inference
147,13.852233733722166,deepspeed-inference
148,13.817082287666599,deepspeed-inference
149,13.8624804613386,deepspeed-inference
150,13.83210496006121,deepspeed-inference
151,13.802279563930254,deepspeed-inference
152,13.85888766036291,deepspeed-inference
153,13.829260250847367,deepspeed-inference
154,13.800480053434326,deepspeed-inference
155,13.843178535057087,deepspeed-inference
156,13.80999098044776,deepspeed-inference
157,13.782374855725195,deepspeed-inference
158,13.788029749446443,deepspeed-inference
159,13.83526458561743,deepspeed-inference
160,13.787899439290817,deepspeed-inference
161,13.835022144450301,deepspeed-inference
162,13.83951296298244,deepspeed-inference
163,13.764706702793395,deepspeed-inference
164,13.82615179191897,deepspeed-inference
165,13.834785415980342,deepspeed-inference
166,13.869066848752485,deepspeed-inference
167,13.86033028253577,deepspeed-inference
168,13.847180335391771,deepspeed-inference
169,13.805817509142317,deepspeed-inference
170,13.829821688931936,deepspeed-inference
171,13.79775613559244,deepspeed-inference
172,13.814764158983431,deepspeed-inference
173,13.870804015925135,deepspeed-inference
174,13.8054426168535,deepspeed-inference
175,13.866487700334984,deepspeed-inference
176,13.861555602282497,deepspeed-inference
177,13.82563622489258,deepspeed-inference
178,13.84829188095839,deepspeed-inference
179,13.814735720517257,deepspeed-inference
0,126.2211154516746,exflow
1,93.64583602406158,exflow
2,123.00189579965009,exflow
3,98.30344000319009,exflow
4,112.91853253340464,exflow
5,98.450826973887,exflow
6,97.01919052444163,exflow
7,103.4759091793743,exflow
8,125.81737704480915,exflow
9,120.51219718051875,exflow
10,117.24841675365147,exflow
11,109.65914762213242,exflow
12,84.6934081502186,exflow
13,96.98586672700118,exflow
14,103.8889795558907,exflow
15,119.34342635779923,exflow
16,106.74155131771909,exflow
17,88.06325019388416,exflow
18,91.01319705408746,exflow
19,114.33095148495133,exflow
20,110.31283795853048,exflow
21,110.09930159341263,exflow
22,95.2908156930296,exflow
23,90.90944032829643,exflow
24,116.98518615794227,exflow
25,108.62939750212365,exflow
26,121.37554771545082,exflow
27,101.46070953648375,exflow
28,120.58127230279212,exflow
29,100.31087047506428,exflow
30,110.74293320914063,exflow
31,97.24786977365767,exflow
32,114.61865173588549,exflow
33,99.391449876892,exflow
34,105.65982589686591,exflow
35,112.82822877473969,exflow
36,94.81457964259673,exflow
37,113.06914877983256,exflow
38,123.67468128643176,exflow
