,timestamp,gpu_util,gpu_mem_used
40,1771302993.3110945,"[0, 0, 0, 0, 0, 0, 0, 0]","[985202688, 985202688, 985202688, 985202688, 985202688, 985202688, 985202688, 985202688]"
41,1771302994.3154936,"[0, 0, 0, 0, 0, 0, 0, 0]","[1322844160, 1322844160, 1322844160, 1322844160, 1322844160, 1322844160, 1322844160, 1322844160]"
42,1771302995.3185048,"[1, 0, 0, 0, 0, 0, 0, 0]","[1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312]"
43,1771302996.3222835,"[0, 0, 0, 0, 0, 0, 0, 0]","[1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312, 1324941312]"
44,1771302997.3246813,"[0, 0, 0, 0, 0, 0, 0, 0]","[1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464]"
45,1771302998.326923,"[0, 0, 0, 0, 0, 0, 0, 0]","[1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464]"
46,1771302999.3292813,"[0, 0, 0, 0, 0, 0, 0, 0]","[1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464]"
47,1771303000.3316078,"[0, 0, 0, 0, 0, 0, 0, 0]","[1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464, 1327038464]"
48,1771303001.3338926,"[0, 0, 0, 0, 0, 0, 0, 0]","[1329135616, 1329135616, 1329135616, 1329135616, 1329135616, 1329135616, 1329135616, 1329135616]"
49,1771303002.338884,"[0, 0, 0, 0, 0, 0, 0, 0]","[1666777088, 1666777088, 1666777088, 1666777088, 1666777088, 1666777088, 1666777088, 1666777088]"
50,1771303003.3415077,"[0, 0, 0, 0, 0, 0, 0, 0]","[1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240]"
51,1771303004.346722,"[0, 0, 0, 0, 0, 0, 0, 0]","[1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240, 1668874240]"
52,1771303005.348438,"[0, 0, 0, 0, 0, 0, 0, 0]","[1670971392, 1670971392, 1670971392, 1670971392, 1670971392, 1670971392, 1670971392, 1670971392]"
53,1771303006.3505936,"[0, 0, 0, 0, 0, 0, 0, 0]","[1673068544, 1673068544, 1673068544, 1673068544, 1673068544, 1673068544, 1673068544, 1673068544]"
54,1771303007.3527312,"[0, 0, 0, 0, 0, 0, 0, 0]","[2010710016, 2010710016, 2010710016, 2010710016, 2010710016, 2010710016, 2010710016, 2010710016]"
55,1771303008.35439,"[0, 0, 0, 0, 0, 0, 0, 0]","[2012807168, 2012807168, 2012807168, 2012807168, 2012807168, 2012807168, 2012807168, 2012807168]"
56,1771303009.3584168,"[0, 0, 0, 0, 0, 0, 0, 0]","[2014904320, 2014904320, 2014904320, 2014904320, 2014904320, 2014904320, 2014904320, 2014904320]"
57,1771303010.362023,"[0, 0, 0, 0, 0, 0, 0, 0]","[2017001472, 2017001472, 2017001472, 2017001472, 2017001472, 2017001472, 2017001472, 2017001472]"
58,1771303011.3659613,"[0, 0, 0, 25, 0, 0, 0, 0]","[2354642944, 2354642944, 2354642944, 2352545792, 2354642944, 2352545792, 2352545792, 2354642944]"
59,1771303012.3694172,"[0, 0, 0, 0, 0, 0, 0, 0]","[2356740096, 2356740096, 2356740096, 2354642944, 2356740096, 2354642944, 2354642944, 2356740096]"
60,1771303013.3716283,"[0, 0, 0, 0, 0, 0, 0, 0]","[2358837248, 2358837248, 2358837248, 2356740096, 2358837248, 2356740096, 2358837248, 2358837248]"
61,1771303014.3743443,"[0, 0, 0, 0, 0, 0, 0, 0]","[2360934400, 2360934400, 2360934400, 2358837248, 2360934400, 2358837248, 2360934400, 2360934400]"
62,1771303015.3766124,"[0, 20, 0, 0, 0, 7, 25, 33]","[2696478720, 2696478720, 2698575872, 2360934400, 2696478720, 2675507200, 2696478720, 2696478720]"
63,1771303016.3791573,"[0, 0, 0, 0, 0, 0, 0, 0]","[2698575872, 2698575872, 2700673024, 2698575872, 2700673024, 2698575872, 2698575872, 2698575872]"
64,1771303017.3848767,"[0, 0, 0, 0, 0, 0, 0, 0]","[2700673024, 2700673024, 2702770176, 2700673024, 2702770176, 2700673024, 2700673024, 2700673024]"
65,1771303018.3892515,"[0, 0, 0, 0, 0, 0, 0, 0]","[2702770176, 2702770176, 2704867328, 2702770176, 2704867328, 2702770176, 2702770176, 2702770176]"
66,1771303019.3913925,"[2, 0, 12, 0, 22, 0, 0, 0]","[2998468608, 2704867328, 3040411648, 2704867328, 3040411648, 2704867328, 2704867328, 2746810368]"
67,1771303020.3968987,"[0, 0, 0, 0, 0, 0, 0, 0]","[3042508800, 3042508800, 3042508800, 3040411648, 3042508800, 3042508800, 3042508800, 3042508800]"
68,1771303021.3991878,"[0, 0, 0, 0, 0, 0, 0, 0]","[3044605952, 3044605952, 3044605952, 3042508800, 3044605952, 3044605952, 3044605952, 3044605952]"
69,1771303022.403619,"[0, 0, 0, 0, 0, 0, 0, 0]","[3046703104, 3046703104, 3046703104, 3044605952, 3046703104, 3046703104, 3046703104, 3046703104]"
70,1771303023.4069338,"[0, 0, 0, 0, 0, 0, 0, 0]","[3048800256, 3048800256, 3048800256, 3046703104, 3090743296, 3046703104, 3048800256, 3048800256]"
71,1771303024.4096498,"[22, 2, 0, 0, 0, 2, 14, 13]","[3384344576, 3090743296, 3386441728, 3048800256, 3386441728, 3090743296, 3384344576, 3384344576]"
72,1771303025.4135742,"[0, 0, 0, 0, 0, 0, 0, 0]","[3386441728, 3386441728, 3388538880, 3384344576, 3388538880, 3386441728, 3386441728, 3386441728]"
73,1771303026.4176326,"[0, 0, 0, 0, 0, 0, 0, 0]","[3388538880, 3388538880, 3390636032, 3386441728, 3390636032, 3388538880, 3388538880, 3388538880]"
74,1771303027.4256408,"[0, 0, 0, 0, 0, 0, 0, 0]","[3390636032, 3390636032, 3392733184, 3388538880, 3392733184, 3390636032, 3390636032, 3390636032]"
75,1771303028.4331229,"[0, 0, 29, 0, 27, 0, 0, 0]","[3392733184, 3392733184, 3728277504, 3390636032, 3728277504, 3390636032, 3392733184, 3392733184]"
76,1771303029.43691,"[0, 26, 0, 0, 0, 4, 0, 0]","[3730374656, 3728277504, 3730374656, 3392733184, 3730374656, 3644391424, 3730374656, 3730374656]"
77,1771303030.4452634,"[0, 0, 0, 0, 0, 0, 0, 0]","[3732471808, 3730374656, 3732471808, 3730374656, 3732471808, 3730374656, 3732471808, 3732471808]"
78,1771303031.448677,"[0, 0, 0, 0, 0, 0, 0, 0]","[3734568960, 3732471808, 3734568960, 3732471808, 3734568960, 3732471808, 3734568960, 3734568960]"
79,1771303032.453537,"[0, 0, 0, 0, 0, 0, 0, 0]","[3734568960, 3734568960, 3736666112, 3732471808, 3736666112, 3734568960, 3734568960, 3734568960]"
80,1771303033.4578633,"[0, 0, 0, 0, 0, 0, 0, 0]","[3778609152, 3736666112, 4074307584, 3734568960, 4072210432, 3736666112, 3799580672, 3736666112]"
81,1771303034.4645936,"[0, 0, 0, 0, 0, 12, 0, 0]","[4074307584, 4074307584, 4076404736, 3778609152, 4074307584, 4072210432, 4074307584, 4074307584]"
82,1771303035.4670484,"[0, 0, 0, 0, 0, 0, 0, 0]","[4076404736, 4076404736, 4078501888, 4074307584, 4078501888, 4074307584, 4076404736, 4076404736]"
83,1771303036.4690235,"[0, 0, 0, 0, 0, 0, 0, 0]","[4078501888, 4078501888, 4080599040, 4076404736, 4080599040, 4076404736, 4078501888, 4078501888]"
84,1771303037.4727073,"[0, 0, 25, 0, 0, 0, 0, 0]","[4080599040, 4080599040, 4416143360, 4078501888, 4416143360, 4078501888, 4080599040, 4080599040]"
85,1771303038.4747434,"[0, 21, 0, 0, 0, 0, 21, 0]","[4269342720, 4416143360, 4418240512, 4080599040, 4418240512, 4080599040, 4416143360, 4418240512]"
86,1771303039.476828,"[0, 0, 0, 20, 0, 0, 0, 0]","[4418240512, 4418240512, 4420337664, 4416143360, 4420337664, 4418240512, 4418240512, 4418240512]"
87,1771303040.4797106,"[0, 0, 0, 0, 0, 0, 0, 0]","[4420337664, 4420337664, 4422434816, 4418240512, 4422434816, 4418240512, 4420337664, 4420337664]"
88,1771303041.4872465,"[0, 0, 0, 0, 2, 0, 0, 0]","[4422434816, 4422434816, 4424531968, 4420337664, 4466475008, 4420337664, 4422434816, 4422434816]"
89,1771303042.4924,"[0, 0, 9, 0, 7, 0, 0, 0]","[4424531968, 4613275648, 5454233600, 4422434816, 5496176640, 4422434816, 4424531968, 4424531968]"
90,1771303043.4944336,"[24, 0, 0, 0, 0, 0, 4, 10]","[4760076288, 5496176640, 5496176640, 4424531968, 5496176640, 4424531968, 5496176640, 5454233600]"
91,1771303044.497936,"[0, 1, 1, 19, 7, 10, 7, 6]","[5496176640, 5882052608, 5882052608, 5284364288, 5882052608, 5368250368, 5882052608, 5722669056]"
92,1771303045.4999766,"[1, 0, 0, 6, 0, 6, 0, 0]","[5886246912, 5882052608, 5882052608, 5590548480, 5882052608, 5722669056, 5882052608, 5882052608]"
93,1771303046.5019453,"[0, 0, 0, 0, 0, 0, 0, 0]","[6186139648, 6186139648, 6186139648, 6186139648, 6186139648, 6186139648, 6186139648, 6186139648]"
94,1771303047.5078213,"[23, 22, 5, 27, 53, 11, 23, 46]","[6762856448, 6727204864, 6731399168, 6628638720, 6825771008, 6781730816, 6746079232, 6825771008]"
95,1771303048.5144355,"[49, 62, 52, 55, 54, 52, 53, 53]","[7129858048, 7454916608, 7354253312, 7595425792, 7748517888, 7184384000, 7282950144, 7241007104]"
96,1771303049.553174,"[9, 6, 6, 3, 5, 9, 3, 4]","[6437797888, 6710427648, 6710427648, 6947405824, 7025000448, 6444089344, 6595084288, 6576209920]"
97,1771303050.5549707,"[0, 0, 0, 0, 0, 0, 0, 0]","[6437797888, 6710427648, 6710427648, 6947405824, 7025000448, 6444089344, 6595084288, 6576209920]"
98,1771303051.5570073,"[0, 0, 0, 0, 0, 0, 0, 0]","[6437797888, 6710427648, 6710427648, 6947405824, 7025000448, 6444089344, 6595084288, 6576209920]"
99,1771303052.559111,"[0, 0, 0, 0, 2, 0, 0, 0]","[6437797888, 6699941888, 6672678912, 6941114368, 7014514688, 6435700736, 6586695680, 6563627008]"
100,1771303053.5612173,"[20, 0, 0, 0, 0, 0, 0, 0]","[6337134592, 6609764352, 6609764352, 6846742528, 6924337152, 6343426048, 6494420992, 6475546624]"
101,1771303054.563326,"[0, 0, 0, 0, 0, 0, 0, 0]","[6337134592, 6609764352, 6609764352, 6846742528, 6924337152, 6343426048, 6494420992, 6475546624]"
102,1771303055.5654337,"[0, 0, 0, 0, 0, 0, 0, 0]","[291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376, 291045376]"
