iteration,policy,imbalance
0,deepspeed_policy,193.37333333333333
1,deepspeed_policy,193.28
2,deepspeed_policy,190.12
3,deepspeed_policy,190.22
4,deepspeed_policy,189.84666666666666
5,deepspeed_policy,190.41333333333333
6,deepspeed_policy,191.64000000000001
7,deepspeed_policy,190.23333333333335
8,deepspeed_policy,191.96
9,deepspeed_policy,191.98666666666665
10,deepspeed_policy,193.48666666666668
11,deepspeed_policy,194.28
12,deepspeed_policy,192.82666666666665
13,deepspeed_policy,190.63333333333335
14,deepspeed_policy,189.2266666666667
15,deepspeed_policy,190.35333333333332
16,deepspeed_policy,190.08666666666667
17,deepspeed_policy,191.46666666666667
18,deepspeed_policy,190.51333333333332
19,deepspeed_policy,192.68
20,deepspeed_policy,191.56
21,deepspeed_policy,190.6
22,deepspeed_policy,192.28666666666666
23,deepspeed_policy,191.87333333333333
24,deepspeed_policy,188.42666666666668
25,deepspeed_policy,194.04
26,deepspeed_policy,187.82666666666668
27,deepspeed_policy,191.03333333333333
28,deepspeed_policy,189.58666666666664
29,deepspeed_policy,194.86
30,deepspeed_policy,190.84666666666666
31,deepspeed_policy,189.15333333333334
32,deepspeed_policy,190.74666666666667
33,deepspeed_policy,189.95333333333332
34,deepspeed_policy,190.82
35,deepspeed_policy,193.28
36,deepspeed_policy,193.46666666666667
37,deepspeed_policy,191.55333333333334
38,deepspeed_policy,191.35333333333332
39,deepspeed_policy,191.11333333333334
40,deepspeed_policy,191.95333333333332
41,deepspeed_policy,191.86666666666667
42,deepspeed_policy,190.89333333333335
43,deepspeed_policy,192.84666666666666
44,deepspeed_policy,190.36666666666667
45,deepspeed_policy,192.35333333333332
46,deepspeed_policy,191.14666666666668
47,deepspeed_policy,189.84
48,deepspeed_policy,190.63333333333335
49,deepspeed_policy,192.21333333333334
50,deepspeed_policy,192.88
51,deepspeed_policy,190.41333333333333
52,deepspeed_policy,189.09333333333333
53,deepspeed_policy,194.01999999999998
54,deepspeed_policy,192.32
55,deepspeed_policy,187.67333333333335
56,deepspeed_policy,192.03333333333333
57,deepspeed_policy,191.83333333333331
58,deepspeed_policy,192.49333333333334
59,deepspeed_policy,184.84666666666666
60,deepspeed_policy,190.68
61,deepspeed_policy,191.59333333333333
62,deepspeed_policy,191.44
63,deepspeed_policy,190.62666666666667
64,deepspeed_policy,192.90666666666667
65,deepspeed_policy,187.60666666666668
66,deepspeed_policy,192.24666666666667
67,deepspeed_policy,192.13333333333333
0,harmony,0.0
1,harmony,0.0
2,harmony,0.0
3,harmony,0.0
4,harmony,0.0
5,harmony,0.0
6,harmony,0.0
7,harmony,0.0
8,harmony,0.0
9,harmony,0.0
10,harmony,0.0
11,harmony,0.0
12,harmony,0.0
13,harmony,0.0
14,harmony,0.0
15,harmony,0.0
16,harmony,0.0
17,harmony,0.0
18,harmony,0.0
19,harmony,0.0
20,harmony,0.0
21,harmony,0.0
22,harmony,0.0
23,harmony,0.0
24,harmony,0.0
25,harmony,0.0
26,harmony,0.0
27,harmony,0.0
0,drop,73.18921058708393
1,drop,72.28648781688408
2,drop,73.03128845139743
3,drop,73.46101532514304
4,drop,73.69822827807157
5,drop,72.89832480734187
6,drop,72.63111744396339
7,drop,73.70301746956062
8,drop,73.20254250335408
9,drop,73.1606491050618
10,drop,72.80063195659687
11,drop,73.36363986593211
12,drop,73.31499312242092
13,drop,73.57571482887639
14,drop,73.27685791297651
15,drop,73.32071485165947
16,drop,73.31785393981744
17,drop,73.22254422674006
18,drop,72.81864466292134
19,drop,73.2196865548529
20,drop,73.2606555303151
21,drop,73.09309111290615
22,drop,72.76367026819503
23,drop,72.91825632524002
24,drop,72.94104083055622
25,drop,73.07597211004335
26,drop,73.20159015555151
27,drop,73.77704405248066
0,even_split,0.11936507936507937
1,even_split,0.12698412698412698
2,even_split,0.1142857142857143
3,even_split,0.1295238095238095
4,even_split,0.13206349206349208
5,even_split,0.11682539682539683
6,even_split,0.1295238095238095
7,even_split,0.13206349206349208
8,even_split,0.1295238095238095
9,even_split,0.1346031746031746
10,even_split,0.13714285714285715
11,even_split,0.11936507936507937
12,even_split,0.12190476190476189
13,even_split,0.12190476190476189
14,even_split,0.1142857142857143
15,even_split,0.13206349206349208
16,even_split,0.1346031746031746
17,even_split,0.12190476190476189
18,even_split,0.13714285714285715
19,even_split,0.12444444444444445
20,even_split,0.13714285714285715
21,even_split,0.13206349206349208
22,even_split,0.12190476190476189
23,even_split,0.1346031746031746
24,even_split,0.13968253968253969
25,even_split,0.1295238095238095
26,even_split,0.11936507936507937
27,even_split,0.16
