Expert,Node
0,4
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,4
9,6
10,4
11,4
12,7
13,7
14,7
15,7
16,7
17,7
18,6
19,6
20,7
21,7
22,7
23,7
24,6
25,6
26,7
27,7
28,7
29,7
30,6
31,6
32,6
33,7
34,7
35,4
36,6
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,3
47,1
48,3
49,3
50,3
51,3
52,2
53,2
54,1
55,1
56,2
57,2
58,2
59,2
60,1
61,2
62,2
63,0
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,3
73,3
74,3
75,1
76,3
77,3
78,1
79,3
80,3
81,3
82,1
83,3
84,3
85,3
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,5
102,5
103,5
104,4
105,4
106,5
107,5
108,5
109,4
110,5
111,4
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,4
121,5
122,4
123,4
124,4
125,4
126,4
127,4
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,6
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,2
168,3
169,3
170,3
171,2
172,2
173,2
174,2
175,2
176,2
177,4
178,2
179,2
180,2
181,2
182,1
183,4
184,2
185,6
186,4
187,2
188,2
189,2
190,2
191,3
192,3
193,1
194,3
195,3
196,3
197,4
198,3
199,3
200,4
201,3
202,1
203,3
204,3
205,3
206,3
207,3
208,5
209,0
210,0
211,6
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,5
228,0
229,0
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,4
244,4
245,4
246,5
247,4
248,4
249,4
250,6
251,4
252,4
253,4
254,4
255,4
256,6
