,dataset,top-1 skew,top-2 skew,top-3 skew,top-4 skew,top-5 skew
0,bookcorpus,0.1792170849111217,0.2569394189180996,0.3209516295243231,0.37368120639941604,0.4148436908574427
1,wmt19,0.1387949559751075,0.19277292833651036,0.23925300136331853,0.27915270981861795,0.3165871436409138
2,random,0.31264011723291674,0.44928108683243434,0.518171694230447,0.5775474567686009,0.63140357767945
3,wikitext,0.19089350500055982,0.3174838318466254,0.4209370241954827,0.4775691182935991,0.5194582728372983
