,eq_tokens,duration (s)
0,1024,56.26048755645752
1,32,97.17381167411804
2,8192,63.2344012260437
3,64,83.38709545135498
4,128,85.25734400749207
5,16384,65.21707487106323
6,4096,53.2709903717041
7,8,102.21289587020874
8,1,116.02869176864624
9,2048,63.41444945335388
10,512,63.58471918106079
11,16,98.07600378990173
12,256,74.48455619812012
13,4,106.04977631568909
