iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,57.851905822753906,2.6019840240478516,0.13811199367046356,6.4515838623046875,5.013055801391602,35.53900909423828,16384,26415,"[467, 60, 559, 23, 1, 15, 32, 72, 27, 1325, 5, 506, 5, 136, 411, 81, 599, 32, 853, 163, 437, 439, 881, 0, 11, 5, 5, 144, 337, 1155, 16, 7, 379, 951, 6, 229, 34, 55, 51, 175, 303, 18, 358, 18, 845, 177, 96, 117, 0, 152, 157, 271, 226, 98, 451, 91, 0, 245, 134, 1938]"
1,51.88608169555664,3.043328046798706,0.13420799374580383,5.479775905609131,4.280320167541504,30.839519500732422,16384,22411,"[413, 93, 411, 3, 1, 33, 181, 101, 40, 1235, 0, 274, 0, 105, 276, 40, 626, 43, 741, 201, 482, 252, 788, 16, 5, 10, 5, 306, 395, 1129, 0, 30, 338, 817, 0, 232, 18, 5, 30, 321, 220, 37, 557, 4, 723, 76, 94, 97, 52, 346, 309, 154, 296, 206, 319, 239, 0, 51, 248, 2360]"
2,52.13081741333008,3.408895969390869,0.1403840035200119,5.855711936950684,4.393375873565674,30.101760864257812,16384,22413,"[502, 17, 618, 4, 3, 8, 152, 90, 42, 1572, 3, 492, 5, 195, 223, 112, 706, 16, 694, 64, 646, 460, 620, 9, 70, 6, 1, 236, 302, 644, 73, 73, 315, 665, 49, 313, 69, 1, 5, 201, 433, 143, 485, 39, 835, 80, 92, 105, 75, 282, 73, 249, 148, 99, 581, 167, 0, 24, 214, 1984]"
3,50.93376159667969,2.910207986831665,0.15331199765205383,5.086175918579102,4.009823799133301,30.213727951049805,16384,22240,"[400, 23, 361, 0, 1, 64, 103, 32, 92, 1038, 3, 425, 8, 113, 391, 99, 610, 27, 794, 220, 531, 516, 673, 40, 52, 16, 3, 174, 275, 558, 0, 22, 406, 1052, 59, 330, 42, 12, 79, 223, 258, 55, 408, 45, 768, 162, 147, 110, 16, 278, 766, 218, 171, 115, 357, 137, 0, 38, 81, 2387]"
4,49.55955123901367,1.9159040451049805,0.14659200608730316,5.087552070617676,4.646399974822998,29.600736618041992,16384,22082,"[557, 26, 568, 15, 2, 29, 139, 104, 22, 1052, 5, 187, 4, 210, 278, 82, 932, 2, 768, 142, 480, 221, 747, 6, 6, 8, 14, 254, 360, 1038, 3, 74, 295, 1131, 9, 107, 35, 13, 50, 291, 102, 76, 164, 67, 1147, 138, 23, 114, 18, 274, 152, 361, 78, 194, 503, 277, 0, 10, 89, 2331]"
5,51.67820739746094,2.5139200687408447,0.24435199797153473,5.485407829284668,4.426559925079346,30.22902488708496,16384,21905,"[419, 36, 457, 7, 0, 41, 298, 17, 3, 1178, 7, 457, 5, 100, 129, 72, 776, 9, 922, 178, 952, 273, 783, 7, 16, 2, 0, 195, 290, 830, 0, 26, 301, 775, 34, 299, 23, 3, 23, 136, 440, 43, 367, 29, 805, 161, 38, 102, 5, 332, 182, 64, 32, 64, 632, 218, 0, 27, 242, 2522]"
6,51.966976165771484,2.8989439010620117,0.13519999384880066,6.1214399337768555,5.703519821166992,28.85318374633789,16384,21329,"[376, 62, 575, 35, 9, 20, 61, 66, 5, 1663, 8, 398, 5, 149, 508, 69, 853, 75, 802, 165, 583, 260, 916, 0, 3, 13, 0, 227, 452, 841, 3, 14, 304, 699, 9, 287, 29, 3, 69, 355, 197, 78, 278, 56, 898, 120, 3, 172, 2, 191, 142, 35, 157, 94, 400, 162, 0, 63, 254, 2111]"
7,47.324161529541016,2.0602879524230957,0.1361279934644699,5.210432052612305,4.781375885009766,26.908031463623047,16384,19998,"[497, 126, 558, 90, 1, 21, 77, 73, 3, 1227, 1, 437, 4, 163, 325, 227, 900, 15, 863, 158, 552, 251, 1293, 5, 69, 1, 9, 237, 155, 810, 0, 21, 291, 522, 27, 126, 21, 4, 9, 260, 376, 52, 655, 41, 630, 59, 25, 95, 72, 227, 185, 182, 1, 80, 441, 113, 0, 1, 236, 2484]"
8,55.49875259399414,2.2067201137542725,0.14351999759674072,6.749120235443115,5.195104122161865,32.794593811035156,16384,23975,"[549, 28, 423, 1, 3, 35, 113, 119, 4, 900, 25, 486, 7, 105, 382, 53, 964, 9, 768, 103, 654, 422, 921, 12, 7, 5, 21, 359, 344, 1157, 0, 30, 309, 521, 34, 264, 42, 10, 58, 102, 402, 86, 509, 28, 662, 74, 100, 83, 28, 226, 281, 82, 171, 178, 709, 241, 0, 47, 374, 1754]"
9,48.34815979003906,1.465343952178955,0.15119999647140503,5.005792140960693,4.273024082183838,29.245983123779297,16384,21662,"[455, 53, 529, 13, 1, 35, 120, 102, 1, 894, 11, 320, 23, 93, 387, 100, 831, 48, 796, 178, 871, 518, 853, 7, 2, 3, 2, 129, 271, 774, 9, 28, 328, 692, 26, 258, 30, 6, 17, 300, 269, 67, 397, 44, 885, 179, 106, 92, 40, 684, 124, 192, 68, 105, 496, 52, 0, 32, 355, 2083]"
10,49.38956832885742,1.5902719497680664,0.13446399569511414,4.982944011688232,4.194591999053955,30.270912170410156,16384,22246,"[481, 161, 445, 5, 0, 14, 83, 41, 8, 1041, 13, 581, 24, 92, 307, 86, 446, 11, 788, 110, 400, 550, 703, 3, 13, 5, 1, 183, 330, 906, 37, 65, 293, 941, 4, 139, 61, 1, 59, 182, 232, 40, 588, 44, 893, 136, 123, 70, 1, 134, 312, 307, 190, 107, 561, 96, 0, 26, 337, 2574]"
11,46.892032623291016,0.48025599122047424,0.14761599898338318,4.349408149719238,6.441152095794678,27.049152374267578,16384,19479,"[601, 167, 498, 0, 1, 5, 95, 41, 106, 1099, 13, 673, 19, 185, 313, 82, 503, 8, 779, 97, 837, 402, 990, 6, 5, 10, 2, 143, 133, 740, 0, 29, 315, 1152, 73, 285, 18, 16, 87, 283, 358, 55, 478, 16, 767, 40, 96, 78, 44, 134, 397, 160, 277, 56, 421, 73, 0, 15, 338, 1770]"
12,51.43961715698242,2.726912021636963,0.13276800513267517,5.189216136932373,4.593120098114014,30.59209632873535,16384,22872,"[533, 123, 620, 1, 5, 76, 81, 83, 54, 1555, 6, 484, 10, 141, 221, 123, 720, 9, 945, 225, 811, 288, 449, 4, 13, 5, 1, 202, 306, 956, 8, 73, 384, 730, 6, 355, 50, 1, 65, 197, 359, 38, 605, 67, 902, 139, 104, 64, 15, 337, 226, 54, 189, 106, 453, 127, 1, 42, 175, 1462]"
