iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,70.30989074707031,2.861056089401245,0.13779200613498688,5.519552230834961,31.28006362915039,22.507423400878906,16384,16613,"[156, 77, 4, 45, 90, 449, 0, 123, 244, 201, 49, 177, 9, 34, 196, 24, 3378, 582, 20, 733, 0, 95, 0, 126, 21, 71, 68, 1121, 137, 1794, 20, 0, 40, 6, 32, 1317, 49, 5, 37, 67, 26, 24, 74, 113, 0, 605, 1709, 1, 145, 0, 39, 9, 329, 162, 0, 145, 62, 880, 371, 93]"
1,66.8375015258789,2.6552319526672363,0.1592320054769516,5.936063766479492,26.743839263916016,23.280927658081055,16384,16887,"[132, 109, 2, 248, 31, 298, 2, 136, 361, 86, 90, 104, 3, 26, 386, 13, 2750, 776, 20, 1178, 0, 197, 2, 346, 12, 20, 166, 588, 426, 1379, 64, 0, 32, 19, 23, 751, 164, 4, 103, 19, 17, 31, 141, 81, 0, 777, 1744, 0, 69, 0, 23, 27, 393, 101, 2, 169, 35, 1020, 529, 159]"
2,69.29920196533203,3.5092480182647705,0.1600320041179657,5.475647926330566,31.911104202270508,20.12201690673828,16384,14396,"[220, 156, 4, 112, 90, 380, 10, 246, 347, 258, 117, 141, 24, 11, 44, 31, 2736, 870, 2, 1655, 0, 89, 1, 297, 12, 85, 80, 269, 275, 1407, 43, 0, 117, 0, 14, 492, 58, 16, 132, 54, 101, 312, 144, 49, 0, 616, 1337, 2, 49, 0, 66, 5, 436, 203, 4, 160, 86, 1374, 459, 86]"
3,67.99359893798828,3.759104013442993,0.18400000035762787,4.9364800453186035,28.54640007019043,21.714111328125,16384,15673,"[262, 156, 3, 135, 6, 500, 1, 208, 194, 72, 30, 57, 20, 158, 136, 40, 3210, 608, 8, 781, 0, 88, 20, 313, 17, 99, 100, 520, 145, 2067, 141, 0, 78, 11, 10, 340, 116, 3, 89, 24, 74, 189, 100, 119, 0, 735, 1375, 0, 70, 0, 105, 0, 604, 222, 0, 144, 19, 1178, 267, 417]"
4,67.44064331054688,3.117055892944336,0.1475200057029724,4.642879962921143,30.604991912841797,21.027040481567383,16384,15572,"[265, 284, 5, 98, 18, 355, 2, 227, 195, 302, 127, 80, 1, 37, 42, 97, 3742, 483, 1, 476, 0, 64, 13, 251, 2, 56, 98, 600, 355, 1358, 23, 0, 37, 0, 2, 735, 7, 4, 79, 36, 103, 312, 105, 149, 0, 717, 1470, 0, 96, 0, 114, 16, 540, 212, 9, 117, 44, 1371, 282, 170]"
5,69.97913360595703,3.4017279148101807,0.16828800737857819,5.604896068572998,31.19923210144043,21.710079193115234,16384,15772,"[147, 75, 15, 113, 10, 347, 0, 203, 243, 288, 15, 92, 18, 70, 21, 53, 4055, 988, 15, 263, 0, 119, 2, 338, 15, 14, 107, 720, 130, 1223, 56, 0, 8, 3, 119, 782, 86, 8, 93, 75, 65, 124, 81, 222, 0, 441, 1971, 0, 60, 0, 178, 3, 235, 165, 0, 118, 78, 1073, 421, 220]"
6,66.72077178955078,2.93887996673584,0.13600000739097595,5.002560138702393,30.18275260925293,20.591520309448242,16384,14936,"[325, 237, 23, 28, 39, 418, 0, 222, 236, 151, 35, 150, 34, 20, 137, 34, 3410, 745, 32, 638, 0, 94, 10, 182, 26, 63, 62, 947, 398, 1240, 17, 0, 0, 0, 41, 1009, 90, 3, 49, 35, 20, 79, 96, 22, 0, 937, 1311, 0, 31, 0, 79, 2, 450, 224, 0, 131, 44, 1127, 417, 234]"
7,67.60345458984375,3.7744638919830322,0.1427839994430542,4.961696147918701,28.36684799194336,22.31497573852539,16384,15756,"[376, 169, 10, 35, 21, 352, 0, 161, 189, 57, 37, 202, 4, 49, 18, 24, 3342, 957, 9, 539, 0, 41, 3, 213, 202, 32, 83, 1043, 34, 1965, 49, 1, 3, 0, 53, 673, 22, 2, 37, 47, 8, 78, 114, 122, 0, 760, 1728, 4, 65, 0, 35, 12, 305, 88, 13, 92, 66, 1307, 392, 141]"
8,69.83168029785156,3.7007360458374023,0.21439999341964722,6.051392078399658,28.528703689575195,22.666336059570312,16384,16853,"[109, 64, 12, 55, 100, 213, 0, 273, 509, 139, 48, 220, 2, 22, 191, 205, 3681, 410, 2, 353, 24, 29, 3, 278, 1, 58, 119, 1188, 298, 1051, 52, 0, 13, 2, 44, 503, 76, 5, 119, 54, 58, 78, 163, 58, 0, 752, 1809, 0, 81, 0, 46, 0, 289, 59, 4, 230, 27, 1375, 699, 131]"
9,65.54930877685547,3.0494720935821533,0.16288000345230103,4.630559921264648,26.855648040771484,22.835712432861328,16384,16524,"[183, 238, 13, 101, 40, 441, 1, 61, 209, 118, 136, 117, 1, 30, 32, 48, 2330, 1018, 16, 891, 1, 111, 7, 603, 1, 199, 53, 326, 149, 2673, 32, 0, 27, 0, 7, 667, 135, 79, 78, 31, 22, 79, 94, 61, 0, 637, 1200, 0, 42, 0, 61, 28, 361, 174, 4, 142, 88, 842, 593, 753]"
10,64.68710327148438,1.5421439409255981,0.13247999548912048,5.156864166259766,27.278240203857422,22.47750473022461,16384,16040,"[112, 137, 10, 154, 27, 331, 0, 189, 179, 81, 51, 296, 8, 76, 145, 95, 3520, 798, 18, 769, 0, 186, 23, 221, 27, 108, 67, 400, 208, 1538, 73, 0, 19, 21, 25, 1103, 71, 96, 77, 33, 19, 116, 106, 119, 0, 570, 1184, 4, 41, 0, 104, 3, 379, 96, 1, 82, 29, 1291, 816, 132]"
11,68.86809539794922,3.46726393699646,0.1483840048313141,5.0298237800598145,31.030303955078125,21.074079513549805,16384,15553,"[380, 158, 4, 126, 35, 360, 1, 403, 269, 169, 22, 327, 0, 3, 145, 38, 2736, 776, 28, 788, 0, 70, 10, 212, 25, 180, 95, 550, 177, 1401, 39, 0, 126, 14, 28, 350, 164, 156, 128, 56, 51, 221, 92, 67, 0, 758, 1792, 3, 136, 0, 115, 2, 327, 314, 2, 50, 60, 1212, 490, 143]"
12,70.8884506225586,2.4299519062042236,0.13411200046539307,4.746399879455566,33.647552490234375,21.918912887573242,16384,15756,"[248, 140, 32, 163, 28, 309, 8, 155, 215, 146, 199, 65, 31, 28, 72, 27, 3001, 945, 2, 1027, 0, 136, 42, 285, 15, 113, 153, 265, 177, 1556, 59, 0, 20, 16, 64, 809, 150, 67, 72, 61, 228, 94, 201, 84, 0, 353, 1372, 4, 33, 0, 77, 11, 277, 341, 6, 190, 36, 1211, 672, 293]"
13,67.54303741455078,1.8903039693832397,0.13385599851608276,5.352384090423584,29.166303634643555,23.052223205566406,16384,16530,"[89, 78, 13, 78, 47, 370, 0, 345, 89, 53, 73, 76, 0, 43, 40, 5, 3710, 723, 23, 1546, 3, 51, 85, 22, 7, 5, 104, 389, 420, 1722, 133, 0, 95, 0, 52, 824, 26, 3, 102, 45, 6, 61, 138, 119, 0, 258, 1536, 0, 76, 0, 26, 30, 226, 416, 0, 50, 117, 1098, 475, 263]"
14,66.16985321044922,4.150271892547607,0.14140799641609192,4.350048065185547,28.209184646606445,21.299072265625,16384,15130,"[84, 249, 7, 118, 19, 384, 3, 258, 347, 71, 15, 151, 11, 22, 138, 66, 3195, 791, 1, 591, 0, 63, 19, 488, 4, 58, 120, 268, 150, 1751, 71, 0, 49, 1, 98, 344, 107, 39, 100, 107, 26, 87, 183, 216, 0, 520, 1457, 4, 57, 0, 228, 4, 376, 136, 1, 222, 41, 1514, 779, 175]"
15,65.60358428955078,2.2814719676971436,0.15491199493408203,5.266111850738525,27.15577507019043,22.615999221801758,16384,15983,"[703, 89, 0, 169, 42, 398, 0, 146, 277, 123, 91, 102, 3, 23, 190, 111, 3709, 910, 28, 585, 0, 14, 0, 192, 0, 2, 77, 815, 276, 1655, 57, 0, 145, 10, 7, 799, 76, 3, 98, 38, 58, 75, 84, 71, 0, 711, 1477, 2, 34, 0, 143, 18, 346, 177, 3, 41, 23, 829, 212, 117]"
