,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
4,2,4,8356.881378173828,4.3161599934101105,449.9220485687256,420.1656799316406,2045.1850280761719,3247.266799926758,2190.025661677122
5,2,5,8618.43148803711,284.8348135948181,466.78937339782715,492.1159477233887,928.2160606384277,4364.235767364502,2082.2395253181458
6,2,6,8706.414581298828,335.24531078338623,537.563138961792,340.1041946411133,4545.232879638672,747.2189483642578,2201.050108909607
7,2,7,8707.715057373047,328.2872304916382,584.0312328338623,289.17657566070557,5292.45182800293,0.0,2213.768190383911
0,3,0,6595.231719970703,109.59155178070068,478.878719329834,310.31503677368164,1176.64359664917,2447.53609085083,2072.266724586487
1,3,1,6731.811798095703,227.9352331161499,463.7276153564453,330.57795333862305,1117.0355186462402,2507.1441688537598,2085.391308784485
2,3,2,6718.172180175781,5.686272010207176,166.5966076850891,256.42195892333984,466.8620834350586,3157.3176040649414,2665.287654057145
3,3,3,6671.762359619141,168.81664085388184,483.81951904296875,319.75016021728516,990.2069625854492,2633.972724914551,2075.196352005005
4,3,4,6633.507873535156,90.32294392585754,568.1766414642334,189.46864128112793,3306.1641693115234,318.01551818847656,2161.3599593639374
5,3,5,6743.6943359375,223.63033771514893,578.4893436431885,200.2524175643921,3624.1796875,0.0,2117.1425495147705
6,3,6,6648.142791748047,119.74451208114624,543.8064632415771,213.31253051757812,3303.131134033203,321.0485534667969,2147.0995984077454
7,3,7,6631.138275146484,112.90214389562607,542.0390434265137,208.29186630249023,2455.5468826293945,1168.6328048706055,2143.7255340218544
0,4,0,10828.512237548828,152.3824646472931,455.70457458496094,716.1866359710693,463.5432949066162,6958.1578159332275,2082.537451505661
1,4,1,10813.095031738281,207.51872062683105,487.75372886657715,523.4503631591797,3605.4046783447266,3816.296432495117,2172.6711082458496
2,4,2,10823.888885498047,5.75795204937458,217.97785472869873,473.1842441558838,659.4416599273682,6762.259450912476,2705.267723724246
3,4,3,10902.013916015625,215.50899267196655,451.5358667373657,726.4737396240234,427.57017517089844,6994.130935668945,2086.7942061424255
4,4,4,10748.209075927734,47.56684795022011,615.9472675323486,372.3540496826172,7421.701110839844,0.0,2290.6397999227047
5,4,5,10856.750122070312,180.94694232940674,483.3064956665039,691.5184707641602,719.0824966430664,6702.618614196777,2079.277102470398
6,4,6,10766.942199707031,151.075838804245,450.7320308685303,620.8399887084961,940.2224655151367,6481.478645324707,2122.593230485916
7,4,7,10814.77017211914,152.177663564682,496.01740741729736,581.1640319824219,2253.2362060546875,5168.464904785156,2163.7099583148956
0,5,0,13782.631439208984,127.79724705219269,433.00966358184814,813.5598545074463,568.2247714996338,9821.08571434021,2018.9541882276535
1,5,1,13839.102996826172,241.30969715118408,438.64575958251953,741.3769512176514,444.293119430542,9945.017366409302,2028.4601030349731
2,5,2,13929.927825927734,32.666624426841736,161.65683269500732,717.9109916687012,1028.7892570495605,9360.521228790283,2628.3828912973404
3,5,3,13903.73275756836,180.3366403579712,572.2726440429688,532.9295349121094,10389.310485839844,0.0,2228.8834524154663
4,5,4,13731.944549560547,14.733311921358109,397.1246089935303,874.6291646957397,126.362624168396,10262.947861671448,2056.146978110075
5,5,5,13802.163146972656,197.4333438873291,450.1749744415283,767.2974538803101,194.06848049163818,10195.242005348206,1997.946888923645
6,5,6,13839.0537109375,230.47372961044312,479.4470405578613,628.4175033569336,3202.4412155151367,7186.869270324707,2111.404951572418
7,5,7,13896.04672241211,173.64889669418335,448.84582328796387,808.708984375,786.6337280273438,9602.6767578125,2075.5325322151184
0,6,0,1683.599365234375,234.56972694396973,183.45267271995544,155.47187361866236,3.3064960017800322,102.91404738277197,1003.8845485672355
1,6,1,1739.712516784668,292.48307037353516,48.72191955149174,258.8999693915248,4.657151989638805,101.5633913949132,1033.3870140835643
2,6,2,1550.1291427612305,4.174847975373267,5.2776959985494605,5.214208021759986,106.220543384552,0.0,1429.2418473809958
3,6,3,1553.3004760742188,93.0293755531311,318.0001287460327,46.53363227844238,43.92140793800354,62.29913544654846,989.5167961120605
4,6,4,1634.7484130859375,171.66745615005493,4.439039975404738,308.5178874582052,5.271551951766013,100.94899143278599,1043.9034861177206
5,6,5,1737.6983184814453,282.54719829559326,3.961856022477149,323.0740475356579,5.358592003583906,100.8619513809681,1021.894673243165
6,6,6,1737.533447265625,279.6318702697754,4.689919963479042,300.0238099992275,5.183487981557844,101.03705540299416,1046.967303648591
7,6,7,1635.7488594055176,173.9601926803589,4.041727989912032,310.9314556270838,5.043200030922889,101.17734335362911,1040.5949397236109
0,7,0,1518.1926536560059,93.13484787940979,3.8983680456876746,283.01516853272915,5.279744014143943,136.83302368223667,996.0315015017986
1,7,1,1534.13529586792,111.59039950370789,3.878912031650543,262.11328023672104,5.106687963008879,137.00607973337173,1014.4399363994598
2,7,2,1526.088710784912,4.1471999883651725,5.779456004500389,-22.53823894262314,5.378048002719877,136.73471969366074,1396.587526038289
3,7,3,1519.1469993591309,88.09983974695206,3.912704020738601,301.2454356700182,4.920319989323614,137.192447707057,983.7762522250414
4,7,4,1517.683708190918,79.53612780570984,288.82841777801514,7.29804790019989,142.11276769638062,0.0,999.9083470106125
5,7,5,1536.7280654907227,105.60716819763184,5.539839982986448,284.01459266245365,5.3186559826135635,136.79411171376705,999.4536969512701
6,7,6,1531.5384407043457,99.81644892692566,5.662719920277594,261.3903334289789,5.129215970635414,136.9835517257452,1022.5561707317829
7,7,7,1527.6247024536133,97.52780842781067,4.074495986104011,271.5105309486389,4.918272018432617,137.194495677948,1012.3990993946791
0,8,0,1519.9109115600586,93.9632637500763,3.844096049666404,284.57267032563686,5.277695998549461,134.21363128721714,998.0395541489124
1,8,1,1533.8045501708984,109.10822439193726,3.899391993880271,263.15571504831314,5.1517439484596235,134.33958333730698,1018.1498914510012
2,8,2,1523.5471420288086,4.057088002562522,4.196352005004882,-24.812543258070946,5.369856014847755,134.12147127091885,1400.6149179935455
3,8,3,1526.8270072937012,94.60428774356842,5.4620160162448865,296.7900178730488,4.847615987062453,134.64371129870415,990.4793583750725
4,8,4,1512.4684753417969,73.94406390190125,5.6279039531946164,267.486205175519,5.1558399945497495,134.33548729121685,1025.9189750254154
5,8,5,1534.5643577575684,103.3502721786499,298.0485143661499,7.7854719161987305,139.4913272857666,0.0,985.8887720108032
6,8,6,1532.5910987854004,98.35724902153015,3.996671944856643,262.45632061362267,5.1804159581661215,134.31091132760048,1028.2895299196243
7,8,7,1527.733253479004,95.506432056427,5.661696016788482,269.24646766483784,4.997119978070259,134.49420730769634,1017.827330455184
0,9,0,1525.410816192627,91.8548481464386,301.276159286499,13.931519985198975,7.107583999633789,130.27737665176392,980.9633281230927
1,9,1,1538.4043464660645,104.25548791885376,5.499903991818428,262.0395496636629,5.218303993344305,132.1666566580534,1029.2244442403316
2,9,2,1536.976894378662,4.066303983330726,4.248575985431669,-23.68512064218521,5.464064061641693,131.920896589756,1414.9621744006872
3,9,3,1542.8075485229492,100.28236865997314,316.9914855957031,8.011775970458984,137.3849606513977,0.0,980.1369576454163
4,9,4,1521.016830444336,73.4545921087265,4.211711958050726,268.05861635506153,5.194751933217048,132.19020871818066,1037.9069493710995
5,9,5,1545.651195526123,103.2755196094513,3.9669760018587104,281.47302140295506,5.305344000458716,132.079616650939,1019.5507178604603
6,9,6,1538.1514167785645,93.97555112838745,4.046847999095916,262.2689270526171,5.231615975499153,132.15334467589855,1040.4751299470663
