,layer,rank,latency (ms),metadata latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),wait latency (ms),other latency (ms)
1,3,1,3859.661834716797,68.111359000206,241.0311679840088,171.20051956176758,2049.228775024414,20.217849731445312,1309.8721634149551
2,3,2,3881.112548828125,150.15116786956787,203.6039695739746,178.31939888000488,2057.5160369873047,11.930587768554688,1279.5913877487183
3,3,3,3942.29248046875,160.3624973297119,215.34822463989258,178.94711303710938,2040.3271789550781,29.11944580078125,1318.1880207061768
4,3,4,3840.8356018066406,69.74771191179752,196.32332801818848,189.9428310394287,2044.2388610839844,25.207763671875,1315.3751060813665
5,3,5,3943.805908203125,211.86969566345215,199.71788597106934,193.3680820465088,2007.6195678710938,61.827056884765625,1269.4036197662354
6,3,6,3971.6280517578125,212.1400318145752,242.11046600341797,195.03619384765625,2026.6178588867188,42.828765869140625,1252.8947353363037
7,3,7,3961.6133422851562,173.70112133026123,230.1788158416748,174.83061981201172,2035.8307800292969,33.6158447265625,1313.4561605453491
0,4,0,3964.6546020507812,18.79551988840103,208.4853744506836,359.68718338012695,2038.5208282470703,1.007598876953125,1338.1580972075462
1,4,1,3965.7144470214844,75.89888024330139,287.28422355651855,259.26452445983887,2018.1125030517578,21.415924072265625,1303.7383916378021
2,4,2,3925.7384643554688,145.67117023468018,184.2247714996338,297.7874183654785,2021.5183410644531,18.010086059570312,1258.5266771316528
3,4,3,4158.781402587891,108.02585458755493,394.1304359436035,318.2059860229492,2002.5999450683594,36.92848205566406,1298.8906989097595
4,4,4,4069.6494140625,16.055296063423157,382.5356788635254,325.65042877197266,2039.5284271240234,0.0,1305.8795832395554
5,4,5,4132.641784667969,166.72870254516602,374.78296661376953,265.09619903564453,2020.0325012207031,19.495925903320312,1286.5054893493652
6,4,6,4005.2469787597656,114.44224071502686,285.1840000152588,270.8470230102539,2022.5587463378906,16.969680786132812,1295.2452878952026
7,4,7,3918.3729248046875,66.14425528049469,248.94464111328125,212.88653945922852,2021.1619720458984,18.366455078125,1350.8690618276596
0,5,0,3787.8958435058594,132.50048160552979,274.2609920501709,185.0859260559082,1895.8243713378906,11.526168823242188,1288.6979036331177
1,5,1,3823.413299560547,254.6554889678955,184.1162223815918,200.6118106842041,1893.5408477783203,13.8096923828125,1276.6792373657227
2,5,2,3969.265655517578,357.2305908203125,262.32217597961426,210.96957778930664,1875.863540649414,31.48699951171875,1231.392770767212
3,5,3,3768.6199951171875,112.58982563018799,268.11289405822754,184.71831130981445,1866.8349304199219,40.51560974121094,1295.8484239578247
4,5,4,3641.0511169433594,1.6732160001993175,198.29043197631836,242.33778953552246,1907.3505401611328,0.0,1291.3991392701864
5,5,5,3839.7295837402344,210.86822319030762,226.84979248046875,218.27274894714355,1870.4701385498047,36.880401611328125,1276.3882789611816
6,5,6,3842.3807678222656,247.71891403198242,215.71788597106934,190.56329727172852,1873.31787109375,34.03266906738281,1281.0301303863525
