iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,110.11993408203125,1.2052479982376099,0.3354560136795044,9.911616325378418,64.12115478515625,25.34752082824707,16384,18561,"[0, 17, 1, 3, 820, 0, 2, 1, 0, 0, 18, 0, 0, 0, 504, 0, 0, 0, 0, 180, 210, 414, 1616, 0, 0, 0, 1, 1, 5, 0, 29, 0, 33, 0, 0, 0, 3, 179, 0, 0, 0, 848, 1340, 1, 0, 39, 0, 0, 0, 1, 2, 0, 4785, 0, 1238, 4038, 0, 40, 14, 1]"
1,105.06752014160156,2.8037118911743164,0.15936000645160675,8.886336326599121,62.480064392089844,22.819904327392578,16384,16987,"[0, 18, 0, 6, 95, 0, 0, 0, 0, 0, 2, 17, 0, 0, 424, 0, 0, 0, 0, 215, 369, 165, 2937, 0, 0, 0, 1, 5, 0, 1, 0, 0, 17, 0, 1, 0, 4, 314, 2, 0, 84, 1787, 632, 0, 0, 40, 0, 0, 0, 3, 1, 0, 6263, 0, 767, 1662, 0, 537, 15, 0]"
2,108.75392150878906,2.3060479164123535,0.26022401452064514,8.779583930969238,71.7647705078125,16.960351943969727,16384,12214,"[0, 15, 0, 0, 52, 0, 0, 0, 5, 0, 0, 1, 0, 0, 977, 0, 0, 0, 0, 338, 62, 31, 1865, 0, 0, 0, 1, 100, 0, 0, 0, 0, 0, 1, 2, 0, 8, 147, 35, 0, 0, 767, 2752, 0, 0, 27, 0, 0, 0, 4, 0, 0, 5945, 0, 664, 2524, 0, 57, 4, 0]"
3,111.5146255493164,4.471807956695557,0.1467839926481247,10.179903984069824,70.43494415283203,18.53606414794922,16384,13541,"[30, 13, 0, 0, 604, 2, 11, 0, 0, 0, 50, 15, 0, 0, 49, 0, 0, 0, 0, 691, 29, 49, 863, 0, 0, 0, 0, 5, 4, 0, 18, 0, 9, 0, 2, 0, 1, 0, 8, 0, 1, 615, 2823, 0, 0, 76, 0, 0, 0, 1, 12, 0, 4513, 0, 911, 4968, 0, 0, 11, 0]"
4,107.12064361572266,1.5994880199432373,0.16672000288963318,10.393440246582031,64.6269760131836,22.05561637878418,16384,16945,"[0, 18, 4, 0, 897, 0, 0, 0, 0, 0, 10, 0, 0, 0, 88, 0, 0, 0, 0, 111, 265, 38, 1972, 0, 0, 0, 5, 0, 0, 0, 15, 0, 20, 0, 2, 0, 1, 130, 0, 0, 8, 915, 896, 0, 0, 26, 0, 0, 0, 6, 1, 0, 7978, 0, 326, 2643, 0, 2, 7, 0]"
5,102.02726745605469,3.052544116973877,0.2683520019054413,8.063008308410645,60.97919845581055,21.32694435119629,16384,15977,"[0, 14, 0, 0, 222, 0, 0, 0, 0, 0, 4, 1, 0, 0, 755, 0, 0, 0, 0, 397, 82, 345, 3531, 0, 0, 0, 1, 2, 0, 0, 19, 0, 60, 0, 5, 3, 1, 165, 0, 0, 0, 1863, 493, 0, 0, 20, 0, 0, 0, 4, 2, 0, 6262, 0, 270, 1856, 0, 0, 7, 0]"
6,109.81171417236328,3.2368640899658203,0.21036800742149353,8.242976188659668,69.31110382080078,20.23209571838379,16384,14941,"[0, 9, 0, 0, 32, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1361, 0, 0, 0, 0, 403, 109, 84, 2601, 0, 0, 0, 7, 0, 0, 0, 0, 0, 193, 0, 2, 11, 278, 375, 0, 0, 522, 1242, 523, 0, 0, 72, 0, 0, 0, 1, 0, 6, 5405, 5, 1352, 1736, 0, 51, 0, 1]"
7,111.9109115600586,1.5411200523376465,0.13465599715709686,10.321632385253906,71.65245056152344,20.29324722290039,16384,14681,"[0, 8, 0, 0, 114, 0, 0, 0, 0, 0, 0, 4, 0, 0, 841, 0, 0, 0, 0, 111, 120, 113, 2889, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 0, 0, 73, 455, 1049, 3, 0, 42, 1, 0, 0, 5, 0, 0, 6595, 0, 467, 3410, 0, 2, 66, 0]"
8,97.80223846435547,2.953216075897217,0.1799039989709854,7.596960067749023,52.890689849853516,26.207231521606445,16384,19327,"[0, 15, 1, 8, 2180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 83, 123, 58, 3205, 0, 0, 0, 1, 207, 2, 0, 17, 0, 0, 0, 7, 0, 1, 0, 32, 0, 36, 1188, 1246, 0, 0, 19, 0, 0, 0, 3, 1, 0, 4212, 0, 638, 2751, 0, 90, 6, 0]"
9,111.70304107666016,3.5297279357910156,0.13254399597644806,9.926015853881836,70.17705535888672,20.5482234954834,16384,14651,"[0, 8, 0, 8, 848, 0, 0, 0, 1, 0, 0, 3, 0, 0, 120, 0, 0, 0, 0, 461, 477, 50, 1833, 0, 0, 0, 2, 0, 3, 0, 7, 0, 4, 0, 5, 0, 0, 733, 4, 0, 13, 984, 850, 12, 0, 15, 0, 0, 0, 0, 0, 0, 6832, 0, 223, 2877, 0, 9, 2, 0]"
10,102.94681549072266,4.35916805267334,0.16415999829769135,8.33903980255127,63.062591552734375,19.244384765625,16384,14035,"[0, 10, 0, 0, 918, 0, 0, 0, 0, 0, 2, 1, 0, 0, 851, 0, 0, 0, 0, 133, 177, 575, 2633, 0, 0, 0, 1, 5, 5, 0, 0, 1, 64, 0, 4, 0, 0, 63, 0, 0, 6, 761, 1379, 184, 0, 79, 1, 0, 0, 2, 0, 0, 4002, 57, 535, 3911, 0, 1, 23, 0]"
11,108.23782348632812,4.083712100982666,0.1385280042886734,9.033920288085938,69.1272964477539,18.566240310668945,16384,13444,"[0, 18, 0, 8, 751, 0, 0, 0, 0, 0, 1, 0, 0, 0, 644, 0, 0, 0, 0, 304, 267, 96, 1204, 0, 0, 0, 0, 6, 0, 0, 63, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 1850, 1947, 3, 0, 46, 0, 0, 0, 0, 0, 0, 6750, 0, 653, 1747, 0, 10, 11, 0]"
12,104.37836456298828,4.179967880249023,0.1420159935951233,7.885824203491211,63.53033447265625,21.268287658691406,16384,15394,"[0, 1, 0, 0, 687, 0, 0, 7, 0, 0, 0, 2, 0, 0, 1738, 0, 0, 0, 0, 74, 30, 59, 1478, 0, 0, 0, 3, 1, 0, 0, 8, 0, 3, 0, 1, 0, 0, 37, 0, 0, 0, 431, 3711, 0, 0, 63, 1, 0, 0, 2, 0, 0, 5535, 0, 749, 1761, 0, 1, 1, 0]"
13,108.0995864868164,2.3808000087738037,0.13305599987506866,10.584639549255371,65.12332916259766,22.380800247192383,16384,16973,"[0, 11, 8, 0, 366, 0, 0, 10, 0, 0, 0, 12, 0, 0, 1492, 0, 0, 0, 0, 404, 128, 49, 1761, 0, 0, 0, 7, 1, 0, 0, 26, 0, 35, 0, 2, 107, 3, 90, 2, 0, 16, 207, 768, 3, 0, 82, 0, 0, 0, 3, 0, 0, 5359, 1, 1517, 3845, 0, 66, 3, 0]"
