iteration,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),total number of tokens sent,total number of tokens recv,expert distribution
0,63.905792236328125,0.43212801218032837,0.1281919926404953,6.444799900054932,44.320350646972656,4.516831874847412,16384,2304,"[32, 64, 200, 648, 0, 13, 589, 1, 124, 0, 6, 1, 4, 277, 0, 40, 9, 1, 6, 188, 100, 3, 494, 189, 0, 356, 86, 3067, 0, 312, 0, 3069, 52, 63, 2, 62, 5, 0, 0, 67, 1, 29, 23, 219, 3, 2, 11, 0, 24, 11, 0, 4815, 214, 0, 0, 808, 0, 0, 77, 17]"
1,74.07001495361328,1.9169280529022217,0.1775359958410263,6.768703937530518,52.762081146240234,3.416991949081421,16384,1423,"[117, 43, 119, 289, 0, 4, 841, 11, 155, 2, 3, 23, 12, 406, 20, 16, 67, 0, 5, 421, 152, 22, 506, 31, 0, 144, 120, 1799, 0, 699, 0, 6321, 90, 543, 19, 37, 73, 0, 0, 2, 30, 31, 90, 61, 1, 1, 54, 21, 28, 0, 2, 1284, 1405, 0, 18, 187, 0, 17, 26, 16]"
2,72.46438598632812,7.411712169647217,0.1467519998550415,5.583648204803467,46.323486328125,4.738912105560303,16384,2670,"[110, 31, 506, 1198, 0, 11, 323, 0, 151, 0, 22, 2, 4, 400, 1, 25, 5, 2, 18, 182, 199, 18, 504, 83, 0, 508, 263, 1757, 1, 233, 0, 5133, 29, 381, 14, 23, 165, 2, 0, 78, 0, 349, 82, 110, 0, 0, 23, 4, 22, 9, 2, 2085, 1186, 0, 14, 99, 1, 2, 5, 9]"
3,62.83059310913086,2.6122241020202637,0.14444799721240997,5.31660795211792,43.02214431762695,3.6547200679779053,16384,1633,"[7, 47, 61, 385, 0, 7, 448, 3, 248, 0, 11, 3, 1, 416, 0, 16, 2, 0, 2, 91, 142, 9, 235, 13, 0, 3, 15, 4035, 0, 873, 0, 5413, 21, 206, 4, 16, 1, 0, 0, 46, 2, 55, 5, 19, 12, 0, 42, 0, 5, 0, 2, 2693, 490, 0, 1, 246, 0, 0, 5, 27]"
4,66.38899230957031,1.533951997756958,0.14716799557209015,5.509056091308594,44.633182525634766,6.4061760902404785,16384,3804,"[56, 34, 384, 547, 0, 16, 966, 1, 140, 0, 96, 0, 10, 368, 11, 16, 13, 1, 3, 178, 137, 63, 574, 126, 0, 162, 214, 1977, 6, 1095, 0, 5063, 47, 338, 14, 13, 167, 0, 5, 3, 0, 1162, 49, 8, 2, 0, 31, 75, 18, 12, 4, 1629, 382, 3, 0, 74, 0, 0, 89, 2]"
5,63.20537567138672,2.159615993499756,0.16518400609493256,5.840159893035889,42.719520568847656,4.136928081512451,16384,1976,"[41, 89, 70, 158, 0, 45, 546, 3, 315, 0, 7, 0, 0, 184, 1, 17, 45, 1, 21, 139, 190, 13, 646, 77, 0, 1375, 113, 1714, 0, 42, 0, 5405, 278, 65, 1, 62, 10, 4, 120, 104, 8, 8, 39, 135, 3, 0, 11, 37, 27, 12, 1, 1963, 2161, 0, 7, 52, 0, 0, 16, 3]"
6,62.867454528808594,0.10956799983978271,0.2200320065021515,5.867008209228516,44.0805778503418,4.575232028961182,16384,2352,"[130, 39, 172, 863, 0, 10, 1018, 4, 322, 0, 7, 15, 10, 427, 57, 20, 5, 0, 1, 257, 307, 6, 760, 4, 0, 202, 239, 505, 0, 371, 0, 5828, 140, 74, 95, 10, 29, 0, 0, 123, 0, 487, 28, 1, 2, 0, 83, 0, 28, 0, 18, 1687, 1697, 0, 0, 283, 0, 2, 3, 15]"
7,64.20480346679688,3.0218238830566406,0.14076800644397736,5.88969612121582,41.421119689941406,5.4202880859375,16384,3059,"[100, 52, 71, 826, 0, 11, 756, 4, 130, 0, 6, 5, 13, 507, 28, 18, 11, 4, 29, 435, 265, 53, 119, 116, 0, 264, 258, 1450, 0, 737, 0, 5859, 264, 113, 41, 112, 70, 0, 22, 61, 3, 115, 158, 7, 4, 0, 14, 34, 27, 8, 29, 1912, 665, 0, 6, 576, 5, 2, 2, 7]"
8,61.628414154052734,0.1382399946451187,0.2303999960422516,5.4929280281066895,43.01910400390625,4.053728103637695,16384,2098,"[40, 66, 223, 352, 0, 7, 559, 6, 140, 0, 95, 7, 9, 351, 171, 16, 3, 16, 1, 157, 283, 52, 655, 108, 0, 1, 75, 2577, 0, 1305, 0, 5602, 98, 145, 1, 51, 11, 0, 0, 48, 12, 41, 19, 112, 3, 0, 1, 0, 2, 56, 45, 2408, 356, 0, 1, 13, 0, 4, 10, 70]"
9,62.59609603881836,1.3967360258102417,0.13446399569511414,6.2292160987854,40.75155258178711,5.832064151763916,16384,3447,"[170, 38, 729, 452, 0, 5, 740, 10, 335, 0, 9, 0, 11, 560, 14, 17, 47, 7, 3, 131, 167, 10, 246, 97, 0, 57, 84, 1507, 0, 684, 0, 6359, 18, 120, 28, 96, 15, 2, 42, 23, 6, 87, 54, 10, 2, 0, 17, 0, 51, 4, 5, 2193, 325, 0, 85, 659, 1, 2, 26, 24]"
