,scheduling_policy,router_skew,MTTFT (ms),std div,num samples
0,deepspeed,0.0,4.701174162328243,0.010636317854715395,25
1,drop,0.0,5.876799691468477,0.006553026631016339,25
2,even_split,0.0,10.609137453138828,0.017697252391608204,25
3,exflow,0.0,4.8247068375349045,0.02200089010682448,25
4,harmony,0.0,4.720656890422106,0.0216242137091648,25
5,deepspeed,0.5,7.961023263633251,0.2104043451643512,50
6,drop,0.5,5.125885233283043,0.008116316900969981,25
7,even_split,0.5,10.210791621357203,0.027421470708792785,25
8,exflow,0.5,7.395876739174128,0.006991435578006207,50
9,harmony,0.5,4.842862579971552,0.014821915672958465,25
10,deepspeed,0.9,9.68835682383786,0.21364604187899014,89
11,drop,0.9,4.765561204403639,0.003923170594275783,25
12,even_split,0.9,10.021928530186415,0.01646963894331612,25
13,exflow,0.9,9.402818708086432,0.234237010843021,89
14,harmony,0.9,4.8805030807852745,0.021727237586919777,25
