,router_skew,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
79,0.0,deepspeed,4,3,62560,66160,64680,66744,65296,66984,65856,66008
80,0.0,deepspeed,5,3,62600,65864,65808,65376,67216,65696,65760,65968
81,0.0,deepspeed,6,3,62096,65760,67168,66208,66016,64392,66360,66288
82,0.0,deepspeed,7,3,62768,66544,65496,66016,65624,65952,66152,65736
83,0.0,deepspeed,8,3,62016,65888,66464,67104,65104,66736,65528,65448
84,0.0,deepspeed,9,3,61672,65880,66232,65672,65640,67032,65872,66288
85,0.0,deepspeed,10,3,60768,66448,66024,66496,65032,66488,66872,66160
86,0.0,deepspeed,11,3,61392,67136,65536,65616,65144,67448,65968,66048
87,0.0,deepspeed,12,3,61480,66272,65336,66360,67312,65824,65376,66328
88,0.0,deepspeed,13,3,61552,66488,66336,66016,65848,65784,66080,66184
89,0.0,deepspeed,14,3,61456,66216,64944,65512,66392,66816,65224,67728
90,0.0,deepspeed,15,3,62888,64448,65584,66832,65400,66424,65880,66832
91,0.0,deepspeed,16,3,61464,65720,65488,66088,67072,65968,65976,66512
92,0.0,deepspeed,17,3,62328,66208,65720,66232,66872,65216,65168,66544
93,0.0,deepspeed,18,3,61320,66712,65952,65248,66928,66128,65032,66968
94,0.0,deepspeed,19,3,61824,65976,65904,66512,65760,66536,65272,66504
95,0.0,deepspeed,20,3,62704,65936,66312,65392,65456,65744,65752,66992
96,0.0,deepspeed,21,3,62072,66856,66080,65976,66000,64256,67936,65112
97,0.0,deepspeed,22,3,61624,66224,65696,66792,65608,66704,65480,66160
98,0.0,deepspeed,23,3,62648,66520,66000,64184,66176,65896,65608,67256
99,0.0,deepspeed,24,3,62048,65464,66480,66584,65040,65976,66256,66440
100,0.0,deepspeed,0,4,62592,66160,64352,64952,65880,67104,66216,67032
101,0.0,deepspeed,1,4,61080,65528,66960,65152,66200,65240,67584,66544
102,0.0,deepspeed,2,4,61504,65432,66816,66096,66432,66096,65024,66888
103,0.0,deepspeed,3,4,63024,65424,65032,66592,65856,66344,66592,65424
104,0.0,deepspeed,4,4,62816,66112,65608,66712,65264,65648,66432,65696
105,0.0,deepspeed,5,4,62184,66432,65280,66896,65968,65920,65632,65976
106,0.0,deepspeed,6,4,61760,66408,65784,65584,65736,66200,66424,66392
107,0.0,deepspeed,7,4,61552,65640,66912,67360,65832,65592,65768,65632
108,0.0,deepspeed,8,4,61408,66232,66248,65752,66728,65336,66216,66368
109,0.0,deepspeed,9,4,62136,65344,65776,65920,66688,67232,66184,65008
110,0.0,deepspeed,10,4,62648,65704,66248,66568,65960,65744,65952,65464
111,0.0,deepspeed,11,4,61608,65600,65952,67016,66672,66512,64848,66080
112,0.0,deepspeed,12,4,62816,65336,66288,65216,67040,65664,65384,66544
113,0.0,deepspeed,13,4,61336,65856,65632,65536,66824,65776,66528,66800
114,0.0,deepspeed,14,4,62312,66296,66792,64656,66576,66040,66344,65272
115,0.0,deepspeed,15,4,62448,67280,66088,65352,65848,65528,65968,65776
116,0.0,deepspeed,16,4,62936,66136,66080,64976,66064,65896,65760,66440
117,0.0,deepspeed,17,4,61472,66848,66184,65792,66536,64328,67008,66120
118,0.0,deepspeed,18,4,61088,65872,66480,66048,66008,65368,66864,66560
119,0.0,deepspeed,19,4,62184,66304,65728,66824,66216,66256,65616,65160
120,0.0,deepspeed,20,4,61936,65584,65656,65560,66760,66816,66128,65848
121,0.0,deepspeed,21,4,60608,65824,67072,66000,67720,64704,66928,65432
122,0.0,deepspeed,22,4,62424,66384,66104,65856,66488,65672,66712,64648
123,0.0,deepspeed,23,4,61768,66392,66512,66848,65528,66536,64768,65936
124,0.0,deepspeed,24,4,62032,66152,65832,67584,64744,66416,66360,65168
125,0.0,deepspeed,0,5,62008,65392,66056,66320,65520,66576,66016,66400
126,0.0,deepspeed,1,5,61392,66928,66264,66304,66112,65960,65608,65720
127,0.0,deepspeed,2,5,61784,65496,66864,66296,65688,65296,66416,66448
128,0.0,deepspeed,3,5,61800,66024,66104,65856,66888,65136,66928,65552
129,0.0,deepspeed,4,5,63360,65064,65728,65904,67688,65408,65488,65648
130,0.0,deepspeed,5,5,62264,66456,65040,65544,66416,65784,66088,66696
131,0.0,deepspeed,6,5,61904,66344,64792,65792,67456,66104,65896,66000
132,0.0,deepspeed,7,5,62400,66368,66640,65656,66328,66632,65784,64480
133,0.0,deepspeed,8,5,61968,65800,66520,65872,65680,66264,65704,66480
134,0.0,deepspeed,9,5,62608,66840,65864,65176,65016,66264,66080,66440
135,0.0,deepspeed,10,5,62384,66488,66904,66304,65752,65080,66000,65376
136,0.0,deepspeed,11,5,60632,66168,66664,66120,66648,65400,66688,65968
137,0.0,deepspeed,12,5,60840,65744,65968,66832,65512,66120,67976,65296
138,0.0,deepspeed,13,5,61968,66944,66152,66360,65744,65040,65408,66672
139,0.0,deepspeed,14,5,60952,65328,67168,65992,65968,65768,66224,66888
140,0.0,deepspeed,15,5,63376,66304,65960,66440,65680,65376,65768,65384
141,0.0,deepspeed,16,5,60632,66256,65888,66568,66104,66544,65816,66480
142,0.0,deepspeed,17,5,61280,65816,64960,66752,66208,65784,67064,66424
143,0.0,deepspeed,18,5,61368,67184,64504,66240,66984,66176,66488,65344
144,0.0,deepspeed,19,5,61632,66184,65216,66672,65480,66320,66016,66768
145,0.0,deepspeed,20,5,61432,66088,65696,65984,65256,66512,66624,66696
146,0.0,deepspeed,21,5,62216,65136,66968,64904,66176,65440,66960,66488
147,0.0,deepspeed,22,5,61712,65456,67416,66984,65632,65640,65488,65960
148,0.0,deepspeed,23,5,62048,66744,66896,65232,66296,65784,66144,65144
149,0.0,deepspeed,24,5,61800,65640,65968,65432,66312,66424,65792,66920
150,0.0,deepspeed,0,6,112,48,56,48,72,56,32,88
151,0.0,deepspeed,1,6,56,48,112,72,32,80,40,72
152,0.0,deepspeed,2,6,80,96,64,64,64,56,72,16
153,0.0,deepspeed,3,6,72,40,64,48,64,48,96,80
154,0.0,deepspeed,4,6,48,40,56,96,56,56,64,96
155,0.0,deepspeed,5,6,64,56,48,56,88,32,96,72
156,0.0,deepspeed,6,6,96,24,72,72,80,56,72,40
157,0.0,deepspeed,7,6,64,80,56,80,48,80,48,56
158,0.0,deepspeed,8,6,56,56,72,96,48,24,48,112
159,0.0,deepspeed,9,6,56,72,96,72,56,80,40,40
160,0.0,deepspeed,10,6,64,40,48,72,80,96,56,56
161,0.0,deepspeed,11,6,40,56,40,80,64,56,88,88
162,0.0,deepspeed,12,6,64,72,56,56,56,80,80,48
163,0.0,deepspeed,13,6,48,104,72,56,88,48,32,64
164,0.0,deepspeed,14,6,72,48,80,40,64,48,96,64
165,0.0,deepspeed,15,6,80,40,64,40,64,152,24,48
166,0.0,deepspeed,16,6,64,24,64,80,80,56,80,64
167,0.0,deepspeed,17,6,48,32,80,40,72,64,96,80
168,0.0,deepspeed,18,6,56,72,72,96,96,56,40,24
169,0.0,deepspeed,19,6,112,40,56,56,72,64,56,56
170,0.0,deepspeed,20,6,80,72,80,32,72,72,56,48
171,0.0,deepspeed,21,6,80,120,40,56,40,104,48,24
172,0.0,deepspeed,22,6,40,80,64,64,48,48,56,112
173,0.0,deepspeed,23,6,56,80,16,88,80,72,80,40
174,0.0,deepspeed,24,6,104,48,80,72,48,48,48,64
175,0.0,deepspeed,0,7,32,88,80,48,40,72,88,64
176,0.0,deepspeed,1,7,72,136,40,80,40,96,32,16
177,0.0,deepspeed,2,7,32,48,80,72,96,48,64,72
178,0.0,deepspeed,3,7,24,64,32,104,56,128,32,72
179,0.0,deepspeed,4,7,40,88,40,56,48,80,104,56
180,0.0,deepspeed,5,7,32,40,40,64,64,96,72,104
181,0.0,deepspeed,6,7,48,80,80,56,48,64,80,56
182,0.0,deepspeed,7,7,64,80,32,80,72,48,56,80
183,0.0,deepspeed,8,7,56,56,40,72,64,104,56,64
184,0.0,deepspeed,9,7,48,80,72,88,88,24,64,48
185,0.0,deepspeed,10,7,104,56,72,40,56,56,56,72
186,0.0,deepspeed,11,7,40,80,40,48,64,80,104,56
187,0.0,deepspeed,12,7,56,80,56,80,56,64,64,56
188,0.0,deepspeed,13,7,96,64,64,80,40,48,80,40
189,0.0,deepspeed,14,7,72,64,80,72,64,80,24,56
190,0.0,deepspeed,15,7,32,72,48,48,48,80,120,64
191,0.0,deepspeed,16,7,112,56,40,16,104,56,64,64
192,0.0,deepspeed,17,7,40,56,128,32,80,40,48,88
193,0.0,deepspeed,18,7,64,40,56,104,40,64,64,80
194,0.0,deepspeed,19,7,16,72,72,88,72,72,72,48
195,0.0,deepspeed,20,7,80,32,88,88,48,88,48,40
196,0.0,deepspeed,21,7,72,56,112,48,72,80,40,32
197,0.0,deepspeed,22,7,48,80,72,64,56,80,80,32
198,0.0,deepspeed,23,7,32,88,96,64,48,48,64,72
199,0.0,deepspeed,24,7,40,72,48,88,80,80,40,64
200,0.0,deepspeed,0,8,64,56,96,72,56,80,40,48
201,0.0,deepspeed,1,8,32,48,96,64,80,120,48,24
202,0.0,deepspeed,2,8,56,48,56,72,88,64,104,24
203,0.0,deepspeed,3,8,72,32,80,96,48,80,40,64
204,0.0,deepspeed,4,8,56,56,32,120,56,80,48,64
205,0.0,deepspeed,5,8,80,48,104,40,48,72,64,56
206,0.0,deepspeed,6,8,8,32,96,32,56,88,104,96
207,0.0,deepspeed,7,8,64,32,56,56,88,80,88,48
208,0.0,deepspeed,8,8,64,80,48,32,64,64,72,88
209,0.0,deepspeed,9,8,24,64,64,104,88,32,40,96
210,0.0,deepspeed,10,8,72,64,72,48,72,24,80,80
211,0.0,deepspeed,11,8,96,56,56,48,56,48,56,96
212,0.0,deepspeed,12,8,88,80,40,40,64,56,56,88
213,0.0,deepspeed,13,8,48,88,80,40,40,48,80,88
214,0.0,deepspeed,14,8,72,72,64,48,80,56,56,64
215,0.0,deepspeed,15,8,80,88,64,56,80,32,56,56
216,0.0,deepspeed,16,8,72,64,32,96,88,40,80,40
217,0.0,deepspeed,17,8,64,72,40,104,40,80,40,72
218,0.0,deepspeed,18,8,80,48,72,56,72,72,64,48
219,0.0,deepspeed,19,8,64,48,80,48,96,32,72,72
220,0.0,deepspeed,20,8,72,88,48,40,72,56,96,40
221,0.0,deepspeed,21,8,56,80,16,32,128,56,48,96
222,0.0,deepspeed,22,8,56,72,64,32,104,64,72,48
223,0.0,deepspeed,23,8,88,48,88,48,40,56,48,96
224,0.0,deepspeed,24,8,56,32,24,56,96,72,80,96
225,0.0,deepspeed,0,9,56,64,72,72,56,72,64,56
226,0.0,deepspeed,1,9,56,56,64,80,80,88,16,72
227,0.0,deepspeed,2,9,40,72,80,56,24,72,112,56
228,0.0,deepspeed,3,9,56,72,112,32,64,48,80,48
229,0.0,deepspeed,4,9,24,40,104,96,48,72,56,72
230,0.0,deepspeed,5,9,40,40,72,64,96,72,40,88
231,0.0,deepspeed,6,9,88,72,80,64,72,24,56,56
232,0.0,deepspeed,7,9,56,64,56,48,48,96,72,72
233,0.0,deepspeed,8,9,64,80,72,40,80,64,80,32
234,0.0,deepspeed,9,9,64,104,24,56,96,40,40,88
235,0.0,deepspeed,10,9,48,56,80,88,72,56,48,64
236,0.0,deepspeed,11,9,96,80,40,40,64,64,88,40
237,0.0,deepspeed,12,9,56,88,48,96,56,56,72,40
238,0.0,deepspeed,13,9,48,48,64,80,88,80,56,48
239,0.0,deepspeed,14,9,48,80,40,72,72,48,48,104
240,0.0,deepspeed,15,9,80,48,80,64,80,56,64,40
241,0.0,deepspeed,16,9,40,32,40,48,104,120,64,64
242,0.0,deepspeed,17,9,48,32,96,88,56,96,56,40
243,0.0,deepspeed,18,9,80,56,88,80,32,40,80,56
244,0.0,deepspeed,19,9,40,72,56,112,40,72,40,80
245,0.0,deepspeed,20,9,72,56,56,56,64,104,56,48
246,0.0,deepspeed,21,9,40,72,56,88,72,64,56,64
247,0.0,deepspeed,22,9,56,88,64,56,96,64,64,24
248,0.0,deepspeed,23,9,64,48,64,56,112,40,88,40
249,0.0,deepspeed,24,9,48,64,48,56,56,80,88,72
250,0.0,deepspeed,0,10,88,64,64,88,72,16,80,40
251,0.0,deepspeed,1,10,72,40,80,24,56,120,40,80
252,0.0,deepspeed,2,10,96,64,48,64,64,64,72,40
253,0.0,deepspeed,3,10,32,72,96,80,40,80,32,80
254,0.0,deepspeed,4,10,24,104,56,96,64,48,88,32
255,0.0,deepspeed,5,10,56,48,56,72,80,64,56,80
256,0.0,deepspeed,6,10,72,88,64,16,88,32,56,96
257,0.0,deepspeed,7,10,72,88,56,80,32,64,72,48
258,0.0,deepspeed,8,10,80,64,64,88,56,40,72,48
259,0.0,deepspeed,9,10,32,64,40,56,72,80,64,104
260,0.0,deepspeed,10,10,48,64,88,64,40,32,104,72
261,0.0,deepspeed,11,10,88,104,88,72,40,24,56,40
262,0.0,deepspeed,12,10,72,40,80,64,40,88,64,64
263,0.0,deepspeed,13,10,80,48,48,64,24,104,88,56
264,0.0,deepspeed,14,10,80,64,48,56,56,104,72,32
265,0.0,deepspeed,15,10,80,64,72,32,72,56,96,40
266,0.0,deepspeed,16,10,72,64,72,64,48,72,56,64
267,0.0,deepspeed,17,10,56,56,64,56,80,56,96,48
