,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
191,bookcorpus,11,9,1334,1515,444,2692,5144,4170,880,357,6,265,1153,207,41,1,713,222,4585,10649,2237,5718,100,391,1,6,13,150,16193,53,1262,37,17,756,235,0,3011,3753,157,8926,190,249,4612,1007,5,4196,1416,0,111,1031,12,1546,66,0,4444,0,23,196,138,14,211,1443
192,bookcorpus,12,9,1460,1366,575,2378,4297,3986,944,230,11,387,1471,390,49,0,475,258,4536,9586,2480,4338,99,431,4,1,6,102,14894,70,1717,43,19,885,334,0,1420,4881,271,12138,64,308,3820,1107,9,5770,1205,0,80,836,60,1379,187,1,4407,0,26,386,82,35,224,1786
193,bookcorpus,13,9,1079,1728,616,2173,4106,3177,1023,551,42,253,635,271,37,22,455,468,4410,8759,1958,6135,134,392,5,0,30,164,18362,59,1782,21,151,626,310,0,2248,4069,52,12062,108,85,2858,1156,1,5815,1670,0,16,886,15,1160,54,0,4146,0,5,203,44,21,227,1469
194,bookcorpus,14,9,1319,1850,547,3058,4175,3078,1318,490,9,235,1358,132,24,0,392,552,4197,9614,2473,5573,198,293,7,2,25,206,14949,55,2150,85,17,589,609,0,1947,4167,159,13981,43,155,3524,681,5,5671,1263,0,16,763,53,1239,6,0,2808,4,3,167,97,34,299,1640
195,bookcorpus,15,9,1233,1149,472,1936,4209,2556,1708,481,27,306,841,110,69,0,382,710,4570,9298,2099,5384,115,744,1,4,11,221,15870,230,1374,19,26,576,225,0,1617,4036,124,14146,245,84,3734,1328,13,7000,2115,2,23,741,64,1426,144,0,2775,6,22,166,50,18,351,1118
196,bookcorpus,16,9,1657,1750,755,2832,4691,2855,1045,404,62,295,1357,581,65,0,443,433,4282,8465,2623,5413,54,399,6,0,5,154,13972,41,3170,32,1,745,389,1,1909,3628,140,12916,94,62,4347,686,4,5492,1053,0,65,528,16,1361,118,0,4642,2,27,206,129,29,195,1678
197,bookcorpus,17,9,1442,1180,735,4517,3813,4346,970,546,64,322,1220,233,48,0,154,363,4613,9560,3675,4470,193,815,10,3,17,118,14269,43,1555,18,18,572,460,0,1889,4699,77,12643,131,154,3096,698,4,5526,1296,0,118,213,101,1590,125,0,4126,3,67,161,95,57,258,815
198,bookcorpus,18,9,1708,965,792,3304,4555,3891,997,383,82,351,1925,259,82,1,628,587,4442,9952,2158,4886,140,420,5,9,20,207,13469,74,2185,38,40,764,292,8,1994,4125,51,12039,56,130,4432,969,28,5043,1380,0,18,435,36,698,136,1,4594,13,8,476,88,39,307,1589
199,bookcorpus,19,9,1272,1706,813,2645,4167,3152,943,482,5,157,1008,142,182,0,477,517,4429,10773,2250,5112,169,571,6,1,10,191,16199,159,1884,39,130,1085,304,1,2455,4404,274,10793,239,69,4477,1036,0,5179,1121,0,32,407,44,1221,19,0,3784,3,16,308,92,12,291,1047
200,bookcorpus,0,10,9286,1481,121,4872,0,818,152,28,231,404,811,146,3002,3290,17127,1004,2,42,9,2,0,1383,451,129,16,21,29911,353,0,142,51,4414,454,5560,237,94,8,401,1768,1352,387,291,632,310,572,344,667,347,2826,3,1,149,640,0,97,1,646,149,90,579
201,bookcorpus,1,10,7571,1598,181,4458,2,1392,134,67,271,571,629,186,2659,4619,13690,1118,9,165,10,10,0,1808,447,102,12,0,32645,411,0,115,10,4343,403,6475,405,421,12,348,1833,780,585,64,578,226,144,293,573,279,2986,28,2,169,744,0,80,3,532,374,102,632
202,bookcorpus,2,10,9619,951,341,5148,1,1039,129,44,675,318,621,45,3161,5790,11781,1781,7,15,9,6,0,1318,465,101,45,10,29699,204,2,131,64,3076,494,7340,706,267,23,318,1790,911,457,202,364,317,520,334,675,282,3596,26,2,84,588,0,214,0,766,660,107,665
203,bookcorpus,3,10,8427,1755,256,5347,1,778,108,148,169,530,460,39,3300,3509,13990,1333,3,64,14,4,0,1533,459,44,13,1,31168,122,0,87,18,4925,521,7180,500,443,6,257,1326,899,381,163,725,300,325,396,673,286,2449,53,1,142,494,0,203,7,1090,173,79,627
204,bookcorpus,4,10,9342,1952,16,4766,1,1880,82,42,446,556,857,133,3921,3484,13729,1179,1,48,23,0,0,1333,448,67,52,5,26182,863,20,230,55,3675,514,8438,521,308,25,450,2148,1091,628,177,414,191,212,345,924,250,3791,20,0,80,438,0,105,3,842,127,160,714
205,bookcorpus,5,10,8469,1425,183,4518,0,1254,108,12,380,815,729,127,3207,5078,14209,739,1,52,17,6,0,1797,396,59,47,10,30248,228,0,98,53,3905,438,6509,435,454,25,162,1641,1609,640,83,406,169,676,382,676,295,3035,1,1,122,569,1,76,0,900,148,141,540
206,bookcorpus,6,10,8983,1523,144,4357,1,1323,157,68,370,249,333,42,3290,6271,14464,1856,2,29,7,1,0,1887,573,52,12,2,30072,287,0,41,16,3465,430,5973,190,466,15,420,1544,1736,384,92,377,95,265,428,544,164,3078,2,38,139,449,0,233,14,572,214,130,435
207,bookcorpus,7,10,9587,1135,85,4464,19,802,231,39,352,580,370,66,4158,3555,16898,646,7,21,3,1,0,1914,484,117,20,12,26807,204,2,266,92,4402,536,7983,201,1259,14,141,1720,1120,760,82,398,198,171,396,818,203,2737,4,1,119,594,0,256,2,375,87,98,692
208,bookcorpus,8,10,8473,1194,79,4118,0,795,138,44,322,610,428,94,3391,5267,15456,1679,2,13,33,7,0,1319,527,100,38,18,32032,197,0,30,96,3657,537,6599,770,50,5,295,1231,1223,580,83,375,180,172,276,564,327,2433,4,0,129,746,0,165,8,668,70,120,537
209,bookcorpus,9,10,9640,1932,186,4051,1,1818,81,69,343,628,875,132,4199,6355,12836,1385,1,16,1,0,0,1924,399,100,100,5,26354,208,0,132,82,3191,414,6037,719,341,38,370,2269,1158,930,75,425,299,159,262,557,399,4108,29,6,103,523,0,295,1,941,124,90,588
210,bookcorpus,10,10,9193,1774,218,6346,1,1587,220,158,237,436,447,73,2622,3773,15728,1423,0,18,15,18,0,1430,401,24,3,3,26643,219,0,191,29,3602,706,8497,222,391,26,270,2040,1429,440,132,445,185,386,481,674,226,2167,19,0,138,743,0,107,10,636,332,120,650
211,bookcorpus,11,10,9883,2293,242,4993,1,837,167,91,222,360,473,65,3876,4082,13341,991,3,54,16,3,1,1621,417,97,26,0,28782,627,0,58,31,4569,765,6886,183,303,7,389,1811,990,511,81,464,306,298,313,585,194,3296,6,0,123,587,0,182,2,635,182,110,873
212,bookcorpus,12,10,8288,1319,73,4014,0,1221,123,66,258,415,733,86,3942,3671,16248,1450,7,54,12,1,0,1535,416,100,66,25,27115,321,0,155,50,4416,364,7572,218,287,12,265,1728,1227,769,124,722,225,301,195,628,449,3480,17,12,108,609,0,116,19,1575,218,138,746
213,bookcorpus,13,10,7990,1729,81,5307,0,1226,76,15,76,417,396,163,2936,5254,16014,1819,1,3,16,1,0,1574,481,79,55,1,28029,112,0,146,10,3612,653,8156,413,195,10,431,1954,1216,476,117,259,230,95,147,674,252,3504,6,0,123,558,0,173,0,343,86,82,532
214,bookcorpus,14,10,9084,2273,66,4556,2,1092,138,59,313,506,437,79,2910,4770,12789,1266,3,18,3,0,0,1646,398,75,29,0,29106,63,0,124,22,3641,480,8883,884,221,64,221,2073,1516,517,119,416,365,313,269,792,265,2705,3,0,150,478,0,121,1,993,187,171,629
215,bookcorpus,15,10,9502,1924,192,4614,1,707,56,55,129,660,766,69,2288,6482,14889,940,3,45,3,2,0,1343,431,102,33,1,30029,260,0,144,57,2665,421,6500,342,616,10,279,1787,991,662,215,320,217,176,264,649,217,3525,7,11,82,740,0,192,2,585,170,210,722
216,bookcorpus,16,10,11558,1333,151,3752,2,1308,184,59,258,538,480,85,3254,3746,15596,1898,13,61,4,1,0,1733,510,146,28,2,25941,173,0,139,32,3959,591,6304,1036,572,298,310,1599,1692,683,155,461,260,104,179,775,349,2920,0,1,94,938,0,147,6,727,109,148,902
217,bookcorpus,17,10,8323,1565,165,4723,0,1387,145,100,100,616,443,109,4360,2394,11908,719,0,30,8,5,0,995,395,57,56,7,32152,111,0,104,16,4942,688,7139,702,331,15,182,2439,979,539,105,748,397,633,809,839,467,2965,6,1,142,545,0,115,6,886,99,145,447
218,bookcorpus,18,10,7870,2079,160,4148,1,956,164,88,172,539,861,41,2809,3236,17643,2345,4,14,14,11,0,1759,472,54,31,0,26894,408,0,80,11,4172,450,8407,357,252,3,549,1974,1023,348,80,576,289,406,389,696,315,2877,15,0,125,594,0,169,6,485,123,94,666
219,bookcorpus,19,10,10130,2007,24,4479,13,983,114,84,207,523,962,46,3414,4331,15023,988,3,124,25,6,0,1425,431,74,108,8,29716,233,0,75,173,3804,445,5271,147,81,13,371,1603,2063,689,152,609,299,245,649,665,280,2515,5,0,126,518,0,380,97,800,70,163,515
220,bookcorpus,0,11,454,55,364,2,65,246,1657,1,1094,75,112,555,58,5,2837,306,0,31,1438,267,511,10299,565,49,1106,108,199,2058,0,0,1872,3633,196,16188,363,1551,103,297,8624,44,59,1,0,1,1394,1272,329,59,26913,5012,16,3248,34,990,289,586,306,0,292,115
221,bookcorpus,1,11,543,89,558,14,131,213,1114,0,1352,273,140,561,52,30,3152,203,0,27,1059,452,495,11838,269,41,804,110,219,2020,2,2,1851,4063,408,16594,50,1194,82,129,12063,32,218,4,0,1,1516,1136,142,356,21588,4501,28,3134,29,1667,277,717,303,0,275,183
222,bookcorpus,2,11,371,92,363,1,257,181,1604,1,1309,59,136,650,4,33,2310,540,0,43,1058,223,594,9399,528,33,472,83,239,3706,1,3,1602,3151,157,17512,107,628,115,322,10757,68,26,7,0,1,1781,1921,130,23,24362,4165,39,2892,15,2076,462,803,243,4,370,272
223,bookcorpus,3,11,685,51,496,0,78,132,1517,2,1232,29,133,564,45,27,3102,164,0,78,910,398,667,8309,551,64,606,138,263,1879,1,0,2092,3445,225,15189,244,1221,70,265,13114,21,30,2,0,27,1483,1446,174,24,25848,4280,26,3196,119,1898,391,616,206,1,233,297
224,bookcorpus,4,11,476,14,147,3,66,227,2395,0,1433,169,93,309,19,2,3472,133,0,43,763,327,664,10462,741,85,425,113,209,2574,2,0,1595,5224,304,17478,356,563,66,258,12686,13,288,26,0,12,1373,1790,128,69,20411,4146,33,2459,95,1270,376,677,460,1,315,466
225,bookcorpus,5,11,479,162,335,1,63,129,1090,0,1282,67,121,540,5,25,3062,265,0,44,843,175,742,10700,504,155,243,139,182,3472,5,1,1419,3329,280,17024,34,1007,139,256,8687,79,42,10,0,1,1016,1775,160,23,27498,4504,58,2589,27,1383,427,797,347,0,201,361
226,bookcorpus,6,11,578,11,398,0,82,219,1817,0,1446,145,210,316,17,23,1944,684,0,58,652,223,1105,11273,541,225,582,124,248,3347,0,0,2282,3629,289,14556,59,1081,97,145,11614,33,102,17,0,3,1331,2204,210,37,23290,4482,65,2655,218,1087,318,1138,627,0,189,278
227,bookcorpus,7,11,724,27,326,2,69,204,2145,0,1231,32,159,549,36,8,2917,75,0,55,1037,169,795,9944,700,69,1360,138,399,2678,0,12,2122,2803,278,15713,72,825,122,506,9763,41,38,8,0,31,1729,1469,113,132,24713,3856,40,3704,26,1809,715,891,266,2,163,494
228,bookcorpus,8,11,484,46,490,4,177,322,1161,0,1718,129,139,516,12,13,2445,294,0,80,799,251,690,6942,723,31,155,119,572,1597,7,0,2432,4030,253,18220,35,961,243,256,11668,29,63,10,0,2,1202,1711,288,83,26685,4050,45,2520,64,1673,388,697,232,0,252,296
229,bookcorpus,9,11,591,61,354,1,48,126,1802,1,1738,132,150,485,4,10,1934,464,0,32,869,408,569,10745,738,19,220,96,285,2719,2,1,2058,2822,225,16936,50,1201,73,333,11128,49,40,1,0,7,1668,2176,182,229,22890,4137,43,3806,44,1287,530,441,516,0,452,376
230,bookcorpus,10,11,498,19,465,0,46,216,2208,0,1135,125,135,736,93,150,1889,247,0,27,1206,491,944,9805,513,214,521,97,335,3414,7,0,2546,2622,236,16836,40,1032,203,304,12459,84,15,33,0,0,1341,1775,275,28,22487,4266,134,2831,103,1283,364,399,297,0,343,432
231,bookcorpus,11,11,516,82,484,1,66,299,1579,0,1565,144,137,696,3,51,2402,348,0,78,1079,290,447,9444,527,55,104,141,400,3963,1,5,2257,2250,130,17220,176,873,117,368,11316,19,57,3,0,0,1749,1194,193,27,23486,4118,24,3154,190,2116,396,791,360,0,291,522
232,bookcorpus,12,11,667,61,452,3,102,133,1791,0,1195,97,211,467,8,4,2475,411,0,65,835,449,797,8737,356,274,78,169,243,2535,0,0,2202,4227,487,16298,67,562,259,285,8704,14,67,8,0,4,1798,2525,210,20,25721,4143,51,4014,86,1587,431,705,372,0,208,634
233,bookcorpus,13,11,478,74,254,5,65,235,1746,0,1261,13,174,490,7,15,1978,136,0,60,1011,293,966,11324,1481,106,1328,90,223,2792,1,0,1288,3908,333,14853,86,1099,284,236,12535,39,57,1,0,1,1709,1928,231,43,21466,4768,38,3352,148,880,369,789,365,0,506,386
234,bookcorpus,14,11,542,60,505,1,75,170,1437,0,1287,64,115,386,11,6,2655,775,0,46,1089,261,778,9189,970,190,1110,96,245,3458,0,0,2183,3417,164,17103,8,1029,102,233,10429,16,63,10,0,1,1571,1846,159,69,23588,4084,37,3308,63,864,384,702,575,0,236,539
235,bookcorpus,15,11,419,52,533,1,233,224,1180,0,1476,23,96,738,7,67,2183,261,0,55,661,219,730,8162,377,129,1842,71,198,2886,6,0,1537,3945,247,20160,80,1019,153,521,13795,127,96,0,0,13,1322,1266,90,72,18844,4035,55,3562,116,1577,474,547,452,0,401,969
236,bookcorpus,16,11,469,180,548,1,232,286,2456,0,1187,197,140,694,24,5,2431,474,0,59,1160,354,669,8355,590,87,630,117,302,2517,2,1,2012,4472,400,15732,58,1252,151,251,9151,129,214,4,0,0,1791,1976,331,92,26107,4502,33,2349,39,1333,584,341,267,0,159,407
237,bookcorpus,17,11,294,13,395,1,59,228,1582,0,898,20,167,318,8,2,3306,162,0,70,1115,130,641,11601,326,30,258,88,260,2099,0,1,3004,2690,124,18048,42,612,159,185,10466,13,28,5,0,2,1215,1880,104,52,24641,4220,50,3599,79,1510,496,614,82,0,80,232
238,bookcorpus,18,11,450,22,323,0,116,187,2130,0,1254,135,164,587,12,28,3001,201,0,36,1394,331,783,10009,713,143,508,158,399,2151,0,0,2287,4324,210,16811,45,1112,175,168,11273,100,35,20,0,0,1301,1701,117,23,23183,4368,53,2960,32,959,449,512,316,0,359,176
239,bookcorpus,19,11,309,24,531,2,66,176,1340,1,1569,165,159,356,6,6,3260,532,0,58,1498,351,573,8002,594,41,126,82,241,2837,2,0,1404,3548,311,17789,62,1293,140,358,9742,19,55,5,0,3,1273,2657,234,214,23538,4246,17,4191,143,1894,601,740,305,0,145,470
240,random,0,0,2064,696,6972,1302,816,162,756,1602,948,1260,1014,816,1602,1344,1182,1674,1224,2268,246,2892,1176,4692,4170,1242,1092,5022,672,1302,666,1614,1296,210,2022,6618,1008,1482,1908,6,828,6798,1140,3246,810,1044,966,0,348,1116,2478,1098,498,522,1116,1536,786,924,1230,2472,2148,162
241,random,1,0,1938,648,7008,1386,864,174,840,1572,1014,1290,900,762,1560,1290,1212,1536,1260,2208,312,2772,1128,4458,4326,1224,1302,4590,540,1320,612,1830,1236,156,2046,7590,894,1476,1632,0,852,7104,1206,3276,918,996,768,24,324,1296,2460,852,426,510,1158,1464,852,954,1314,2394,2046,204
242,random,2,0,2136,792,7152,1512,828,144,792,1344,1266,1278,918,708,1668,1542,1092,1482,1272,2082,282,2886,1458,4668,4116,1326,1188,5004,750,1326,726,1686,1392,150,2142,5214,1026,1602,1752,18,726,6912,1074,3546,858,1092,930,0,354,1206,2346,954,540,558,1032,1302,906,1032,1176,2550,2274,216
243,random,3,0,2118,666,6822,1290,720,210,846,1392,1098,1308,906,720,1626,1446,1032,1614,1434,2070,168,2922,1266,4506,4440,1320,1368,4914,780,1260,690,1788,1518,198,1896,6342,1038,1536,1824,12,828,7074,1158,3414,798,1098,876,6,288,1176,2244,906,618,546,948,1224,870,1050,1170,2652,2118,138
244,random,4,0,1908,804,7044,1332,954,138,774,1410,1014,1224,930,798,1692,1416,1278,1596,1572,2070,228,2958,1146,4794,4338,1050,1302,5106,588,1206,774,1746,1422,192,2190,6018,954,1470,1662,6,816,6726,1128,3414,744,1146,1002,6,396,1290,2358,1062,474,396,1104,1518,828,918,1188,2388,2142,156
245,random,5,0,2100,642,7164,1434,768,240,702,1458,1134,1350,984,834,1566,1206,1368,1584,1314,2016,240,3138,1350,5034,4182,1242,1134,4806,720,1236,750,1614,1296,204,1776,6714,888,1596,1650,18,678,6936,1068,3378,804,1218,894,6,288,1152,2352,888,516,498,990,1308,882,1056,1002,2598,2160,180
246,random,6,0,2010,612,7374,1416,858,186,774,1428,1086,1434,894,654,1722,1386,1080,1530,1332,2106,258,3030,1116,4968,4278,1278,1392,4602,594,1362,672,1686,1338,114,1848,6354,858,1470,1914,0,714,7272,1362,3516,822,912,936,0,306,1152,2286,936,438,462,1086,1284,984,870,1212,2436,2154,150
247,random,7,0,2172,606,7098,1350,738,192,852,1542,1362,1374,1098,804,1494,1218,1098,1524,1542,2238,192,2838,1158,4686,4230,1296,1278,4854,588,1326,726,1674,1344,204,1878,6234,978,1590,1758,30,762,7080,1074,3420,768,1038,996,6,378,1200,2040,1038,426,546,1140,1320,1008,1038,1092,2490,2142,138
248,random,8,0,2100,654,7002,1134,816,162,840,1428,1236,1284,1020,798,1518,1536,1158,1620,1434,2088,306,2802,1422,4620,4170,1362,1260,5052,654,1218,630,1692,1302,186,1890,6972,804,1392,1626,6,816,6678,1056,3036,882,1098,1044,0,384,1260,2328,900,462,486,1152,1404,864,1086,1350,2640,2010,174
249,random,9,0,2046,672,6786,1440,750,204,786,1626,1158,1362,978,768,1356,1374,1104,1608,1272,2130,216,2886,1248,4524,4314,1224,1266,4710,642,1122,636,1872,1362,156,1968,7350,1020,1380,1896,6,852,6972,1182,3378,858,1134,858,0,336,1170,2304,1182,498,414,1038,1380,750,984,1032,2346,2196,222
250,random,10,0,2292,654,7278,1296,876,186,756,1554,1188,1254,1026,714,1512,1320,1302,1518,1338,2340,270,2916,1260,4590,4578,1242,1230,5076,648,1326,714,1692,1278,144,1890,4854,984,1380,1794,18,834,7212,1098,3366,846,1014,864,6,336,1440,2250,978,552,384,1200,1476,942,894,1272,2580,2316,156
251,random,11,0,2130,810,6684,1164,870,180,918,1626,1098,1344,1038,732,1602,1434,1224,1452,1392,2118,204,3102,1218,4422,4176,1008,1368,4788,642,1494,570,1734,1302,162,1818,6762,1062,1476,1842,12,774,6924,1050,3438,780,990,828,0,306,1290,2346,1020,474,504,1134,1296,840,948,1380,2556,2310,138
252,random,12,0,2124,618,6720,1428,1008,210,804,1380,1086,1464,972,666,1434,1230,1140,1506,1266,1878,240,2964,1248,4602,4332,1458,1134,4974,744,1176,666,1704,1212,168,2064,7170,1134,1452,1932,6,858,6894,1014,3300,798,1086,888,6,384,1272,2112,954,570,492,1080,1290,792,912,1488,2358,2190,252
253,random,13,0,2100,666,7314,1332,816,210,828,1440,1068,1332,1062,978,1338,1422,1200,1440,1374,2154,312,2874,1122,4914,4404,1272,1278,5094,642,1410,600,1716,1266,186,1974,5982,852,1506,1884,12,744,6750,1098,3240,804,1038,960,12,402,1236,2304,1038,474,414,1164,1500,888,984,1080,2424,2172,204
254,random,14,0,2172,660,7146,1446,804,222,726,1296,1218,1374,1014,792,1614,1428,1230,1542,1410,2076,180,2958,1278,4320,4386,1194,1164,5232,654,1314,750,1722,1062,150,2052,5886,1026,1650,1812,0,900,6840,1068,3378,720,1032,864,0,336,1194,2334,1182,456,552,1170,1530,882,960,1296,2364,2136,150
255,random,15,0,1938,624,6852,1392,846,216,840,1416,1212,1158,966,798,1614,1512,1134,1518,1266,1902,246,2886,1218,4704,4344,1290,1176,4818,606,1200,672,1602,1272,102,1986,7788,1002,1338,1854,18,756,6762,1230,3252,816,1056,834,6,312,1254,2256,1050,468,492,1170,1542,822,960,1224,2514,2058,144
256,random,16,0,2082,630,7092,1422,834,198,798,1506,1158,1338,1002,792,1776,1356,1152,1656,1296,1998,198,2838,1242,4986,4182,1236,1296,4920,558,1164,588,1866,1302,168,2010,5778,1026,1518,1926,0,744,7188,1146,3360,852,1056,882,6,342,1236,2322,1086,366,486,978,1320,948,1086,1236,2172,2352,252
257,random,17,0,2022,588,7104,1278,906,216,846,1410,996,1338,1128,768,1560,1272,1356,1710,1374,2082,240,2772,1200,4818,4428,1212,1356,5130,684,1272,630,1608,1398,144,1764,6024,942,1566,1902,18,810,7104,1140,3414,696,1152,984,6,258,1236,2334,942,516,438,1050,1368,954,930,1122,2502,2172,114
258,random,18,0,1914,690,6744,1368,888,210,804,1632,960,1296,1008,762,1596,1332,1122,1416,1686,2238,240,2826,1134,4698,4314,1182,1284,4830,660,1290,720,1758,1314,180,2052,6588,906,1434,1956,12,774,7158,1068,3366,822,1062,918,18,300,1140,2214,978,474,486,1182,1482,1014,1020,1242,2298,2082,162
259,random,19,0,2304,720,7014,1314,936,174,756,1596,1074,1392,1098,696,1548,1554,1218,1476,1368,2184,192,2838,1350,4476,4104,1290,1164,4638,612,1206,600,1602,1302,186,1974,8058,1110,1350,1644,6,696,6684,972,3204,816,894,858,0,258,1278,2154,978,492,438,1038,1506,894,948,1254,2508,2118,192
260,random,0,1,1584,876,606,354,1092,3726,264,2478,2592,666,180,3054,2184,306,504,2238,432,1518,4332,1446,2460,120,1362,378,738,4788,504,1290,2634,1008,2562,6132,3330,1188,2346,2586,1974,840,822,2292,1038,4806,186,726,1092,798,3522,420,576,1020,636,450,4494,2034,1290,1776,180,894,2442,138
261,random,1,1,1854,774,582,414,1218,3390,372,2514,2346,684,210,3072,2184,210,624,2262,546,1482,4434,1446,2220,90,1446,264,894,4872,456,1398,2598,1080,2520,5910,3468,1272,2130,2928,2016,876,624,2250,1020,4968,228,702,1164,708,3132,498,594,912,636,498,4512,2022,1260,1818,252,918,2370,162
262,random,2,1,1830,660,768,390,1266,3366,378,2448,2442,876,252,3198,2016,234,528,2166,456,1350,4080,1506,2202,144,1404,336,822,4536,432,1410,2982,978,2736,5694,3588,1386,2214,2874,2256,978,762,2190,900,4680,174,714,1332,774,3534,486,606,1038,606,360,4296,1914,1224,1788,174,786,2568,216
263,random,3,1,1608,798,678,432,1374,3354,276,2334,2466,744,198,2772,2214,228,594,2196,510,1572,4332,1470,2550,108,1368,336,780,4710,528,1224,2784,1020,2538,6474,3300,1464,2106,3012,1842,858,738,2088,972,4800,198,810,1272,780,3114,438,456,1152,642,462,4518,1896,1254,1752,240,900,2520,150
264,random,4,1,1668,744,564,390,1338,3522,276,2298,2274,744,168,2790,2130,198,660,2400,516,1524,4662,1254,2580,78,1530,420,684,4902,414,1242,2952,984,2520,6216,3564,1218,2154,2562,1932,858,810,2256,966,4704,210,702,1230,774,3408,456,660,900,528,462,4188,2304,1314,1800,222,936,2436,108
265,random,5,1,1656,738,618,384,1230,3642,348,2400,2268,672,204,3090,2370,210,612,2358,498,1398,4098,1536,2328,120,1464,294,804,4830,456,1500,2754,900,2418,6546,3594,1266,2208,2760,1710,930,582,2070,1032,5004,234,726,1146,678,3342,462,498,1032,660,468,4074,2046,1272,2058,186,834,2568,120
266,random,6,1,1722,726,672,450,1212,3366,402,2094,2442,774,180,2838,2172,246,612,2196,498,1488,4134,1452,2520,114,1320,294,744,4788,390,1638,2586,1032,2526,6504,3510,1254,2238,3060,2082,888,642,2268,1086,5118,138,768,1176,756,3318,474,648,942,594,414,4410,2070,1254,1632,234,678,2424,96
267,random,7,1,1620,672,618,426,1296,3690,324,2274,2436,546,144,3120,2010,216,570,2316,522,1596,4206,1440,2736,108,1566,276,738,5040,492,1242,2778,936,2568,6414,3330,1272,2430,2850,1674,852,750,2010,1158,4452,156,738,1284,732,3126,402,600,1086,678,390,4248,2172,1314,2022,204,924,2370,144
268,random,8,1,1614,684,642,408,1254,3654,318,2352,2604,582,204,2880,2046,234,642,2262,516,1500,4356,1566,2328,108,1422,330,798,4746,474,1302,2766,1014,2568,6048,3504,1272,2430,2904,1968,978,744,2262,1038,4650,168,780,1206,768,3294,390,600,1038,564,420,4266,2286,1152,1728,216,822,2532,102
269,random,9,1,1548,714,576,324,1254,3516,330,2352,2148,714,114,2880,2202,234,546,2196,438,1608,4242,1464,2382,120,1380,336,864,4830,426,1530,2628,1032,2814,6516,3360,1170,2316,2706,2076,924,732,1968,1038,5022,198,840,1200,678,3372,372,492,1092,606,492,4404,1998,1506,1914,132,918,2382,138
270,random,10,1,1566,684,690,366,1236,3432,438,2592,2304,690,240,2952,2172,306,570,2208,456,1452,4236,1464,2670,108,1494,288,708,4938,414,1314,2712,1008,2934,5964,3606,1194,2610,2502,1998,930,624,1932,882,4980,240,864,1164,882,3300,462,450,1122,708,396,4320,1932,1128,1746,204,816,2574,132
271,random,11,1,1920,738,750,348,1404,3324,294,2328,2382,738,216,3012,2034,306,528,2262,468,1398,4098,1476,2334,102,1398,348,732,4974,456,1284,2706,972,2772,6486,3540,1284,2382,2760,2118,804,624,2142,888,4560,150,810,1140,750,3120,438,558,1122,720,462,4446,2148,1290,1656,156,984,2514,150
272,random,12,1,1608,648,732,240,1182,3780,318,2394,2490,702,162,2730,1986,240,552,2334,444,1632,4116,1656,2484,114,1608,228,804,4914,420,1572,2646,966,2718,6012,3600,1122,2268,2820,1782,846,660,2106,1122,4914,186,762,1146,828,3444,474,552,1068,726,468,4578,1992,1296,1596,216,810,2340,150
273,random,13,1,1596,726,654,426,1206,3516,246,2370,2244,570,150,3114,2196,282,606,2358,552,1632,4020,1476,2214,60,1380,384,882,4740,438,1350,2976,1068,2604,6516,3474,1302,2112,2814,1932,906,828,2316,924,4452,216,840,972,702,3480,408,594,1110,600,582,4242,2292,1248,1722,216,750,2568,150
274,random,14,1,1602,612,600,402,1224,3720,282,2382,2460,708,162,2946,2382,264,564,2184,546,1320,4626,1368,2610,84,1344,354,876,4890,444,1362,2826,972,2526,6270,3468,1140,2130,2628,2046,906,768,2244,1038,4968,174,756,1140,672,3348,510,612,1008,684,414,4404,2034,1128,1596,168,840,2478,90
275,random,15,1,1554,672,672,330,1104,3708,312,2448,2286,660,156,2796,2328,192,492,2154,396,1434,4254,1560,2382,96,1422,342,822,4932,408,1146,2826,1050,2484,6288,3384,1332,2292,2766,2082,942,660,2124,1170,5052,168,936,1146,708,3402,588,480,984,684,450,4326,2262,1338,1506,192,960,2550,114
276,random,16,1,1680,732,720,354,1302,3552,330,2490,2358,690,210,2916,2028,276,612,2286,444,1668,4476,1662,2244,84,1458,414,756,4656,468,1278,3060,1002,2550,5922,3792,1140,2358,2946,1986,906,648,2058,1176,4698,162,822,1338,720,3432,360,510,996,594,480,4200,1986,1104,1638,216,750,2508,102
277,random,17,1,1380,696,834,384,1248,3702,318,2376,2334,690,120,2754,2226,240,474,2106,534,1422,4218,1542,2472,186,1494,348,840,4758,558,1344,2802,1038,2526,6360,3396,1368,2394,2808,1944,984,666,2100,894,4644,210,672,1104,846,3456,336,558,1218,630,402,4374,2118,1242,1830,180,780,2664,162
278,random,18,1,1752,600,582,402,1254,3378,384,2262,2322,558,180,2976,2046,228,648,2274,582,1734,4332,1524,2280,90,1434,390,768,5244,552,1368,2844,978,2454,6456,3222,1344,2256,2718,1836,780,558,2154,978,5214,204,744,1062,786,3108,360,600,1038,684,480,4404,1896,1308,1722,228,948,2604,192
