,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
73,bookcorpus,deepspeed,13,2,37835,186091,52773,79774,52089,15562,57190,42974
74,bookcorpus,deepspeed,14,2,36303,190043,52431,81138,49321,15925,57347,41780
75,bookcorpus,deepspeed,15,2,36347,187633,52822,84299,49286,16736,57154,40011
76,bookcorpus,deepspeed,16,2,35004,189878,53100,80807,48143,17837,58313,41206
77,bookcorpus,deepspeed,17,2,37525,188129,51789,82674,48262,15194,58735,41980
78,bookcorpus,deepspeed,18,2,36777,191441,51821,81223,49369,15759,56354,41544
79,bookcorpus,deepspeed,19,2,36682,190702,51487,82321,45710,15832,57016,44538
80,bookcorpus,deepspeed,20,2,36756,187571,52366,81395,50635,16592,56973,42000
81,bookcorpus,deepspeed,21,2,36207,190369,52947,81427,49725,15778,55919,41916
82,bookcorpus,deepspeed,22,2,37358,189766,51827,82084,46495,16311,58478,41969
83,bookcorpus,deepspeed,23,2,36961,192839,51917,81219,48246,17002,55440,40664
84,bookcorpus,deepspeed,24,2,35390,188713,53237,83713,46866,16179,58752,41438
85,bookcorpus,deepspeed,25,2,37646,190071,53300,82176,45784,16327,57907,41077
86,bookcorpus,deepspeed,26,2,36845,187127,53899,83253,48330,15311,56630,42893
87,bookcorpus,deepspeed,27,2,35474,188650,52200,82737,50266,14942,57652,42367
88,bookcorpus,deepspeed,28,2,37481,190281,50741,82928,49397,15646,55946,41868
89,bookcorpus,deepspeed,29,2,35858,190706,52546,81292,48494,16331,57631,41430
90,bookcorpus,deepspeed,0,3,25396,13601,54599,147370,37326,81579,131958,32459
91,bookcorpus,deepspeed,1,3,26457,14173,59027,146114,36181,80530,130496,31310
92,bookcorpus,deepspeed,2,3,26856,15415,56598,143317,36761,80967,131866,32508
93,bookcorpus,deepspeed,3,3,24903,16114,56115,146079,38099,79040,132369,31569
94,bookcorpus,deepspeed,4,3,26263,14209,56710,145247,35732,82037,132270,31820
95,bookcorpus,deepspeed,5,3,25954,14758,58195,144697,35901,80786,133081,30916
96,bookcorpus,deepspeed,6,3,25970,14959,57850,143731,37458,79401,132646,32273
97,bookcorpus,deepspeed,7,3,25672,14701,56484,146308,38517,79153,131493,31960
98,bookcorpus,deepspeed,8,3,24938,15303,57745,144212,36828,79762,132962,32538
99,bookcorpus,deepspeed,9,3,26291,14669,59495,143903,37058,79598,130886,32388
100,bookcorpus,deepspeed,10,3,26037,13209,56442,143990,37791,81306,133120,32393
101,bookcorpus,deepspeed,11,3,25761,14174,54601,146000,37924,81270,132590,31968
102,bookcorpus,deepspeed,12,3,26343,14806,56219,145895,36604,80697,132865,30859
103,bookcorpus,deepspeed,13,3,25897,15999,57411,144458,36155,82441,130131,31796
104,bookcorpus,deepspeed,14,3,24626,15104,55083,145168,36867,80921,133369,33150
105,bookcorpus,deepspeed,15,3,25902,14367,58049,147230,37054,81304,128961,31421
106,bookcorpus,deepspeed,16,3,25463,15116,56845,143067,37649,81916,132267,31965
107,bookcorpus,deepspeed,17,3,26132,14393,57244,146803,36568,83020,128640,31488
108,bookcorpus,deepspeed,18,3,25156,13957,56693,146023,36084,79764,134924,31687
109,bookcorpus,deepspeed,19,3,25774,13415,53377,147974,36631,82080,132402,32635
110,bookcorpus,deepspeed,20,3,28266,14611,57808,143048,38430,82040,128414,31671
111,bookcorpus,deepspeed,21,3,26064,15287,55317,145482,35316,80479,134801,31542
112,bookcorpus,deepspeed,22,3,24948,13238,57457,144868,38102,79440,132624,33611
113,bookcorpus,deepspeed,23,3,25168,14905,56313,144432,36721,81693,132587,32469
114,bookcorpus,deepspeed,24,3,24781,14067,57870,145561,36958,80994,130747,33310
115,bookcorpus,deepspeed,25,3,25758,13964,55524,144374,38844,77899,135952,31973
116,bookcorpus,deepspeed,26,3,24908,14122,55220,144493,38521,80971,133406,32647
117,bookcorpus,deepspeed,27,3,24884,13991,54880,149711,36079,82676,131044,31023
118,bookcorpus,deepspeed,28,3,26467,13956,58349,142345,38508,80274,132369,32020
119,bookcorpus,deepspeed,29,3,24620,13359,55975,149305,35647,80063,132534,32785
120,bookcorpus,deepspeed,0,4,58131,47720,54717,11520,272833,40864,23376,15127
121,bookcorpus,deepspeed,1,4,56718,44577,56247,10823,279285,40177,22185,14276
122,bookcorpus,deepspeed,2,4,57435,43017,51724,11571,283005,40139,22790,14607
123,bookcorpus,deepspeed,3,4,55542,45520,53028,11107,282738,39189,22099,15065
124,bookcorpus,deepspeed,4,4,58387,46180,52919,11134,279336,40419,22211,13702
125,bookcorpus,deepspeed,5,4,57309,43024,54207,11975,283584,39052,21461,13676
126,bookcorpus,deepspeed,6,4,55743,44950,54864,11801,279005,40539,21748,15638
127,bookcorpus,deepspeed,7,4,57126,47913,52965,11001,275040,42889,23027,14327
128,bookcorpus,deepspeed,8,4,57640,44439,48319,11633,286029,40680,21593,13955
129,bookcorpus,deepspeed,9,4,56500,46220,53025,10708,280649,39931,23631,13624
130,bookcorpus,deepspeed,10,4,58643,48263,52283,11007,277023,39992,22923,14154
131,bookcorpus,deepspeed,11,4,55336,46838,53324,11078,281283,38714,23189,14526
132,bookcorpus,deepspeed,12,4,57962,43879,49073,10956,284913,41097,21529,14879
133,bookcorpus,deepspeed,13,4,55785,45191,52419,10748,284453,39851,21712,14129
134,bookcorpus,deepspeed,14,4,58568,44377,51859,12018,279380,39923,22937,15226
135,bookcorpus,deepspeed,15,4,58699,46339,55334,11109,277591,38653,22436,14127
136,bookcorpus,deepspeed,16,4,58269,43808,48772,10997,286059,40547,21938,13898
137,bookcorpus,deepspeed,17,4,57660,46275,50851,10296,286643,37811,21471,13281
138,bookcorpus,deepspeed,18,4,57819,44416,50260,10835,284696,38696,22702,14864
139,bookcorpus,deepspeed,19,4,57815,44953,52519,11432,282349,39087,23089,13044
140,bookcorpus,deepspeed,20,4,55914,43352,49326,11054,288327,39383,22373,14559
141,bookcorpus,deepspeed,21,4,56844,43598,55350,11614,281918,39084,22012,13868
142,bookcorpus,deepspeed,22,4,58013,45184,50311,11840,282920,39647,22496,13877
143,bookcorpus,deepspeed,23,4,53309,42028,51228,11013,293445,39021,21058,13186
144,bookcorpus,deepspeed,24,4,58158,47231,55944,11524,273588,40563,23052,14228
145,bookcorpus,deepspeed,25,4,60925,46844,48617,11440,277673,41116,23051,14622
146,bookcorpus,deepspeed,26,4,58270,48284,53411,10519,275978,41503,23075,13248
147,bookcorpus,deepspeed,27,4,58132,46830,59575,10967,273191,38343,23125,14125
148,bookcorpus,deepspeed,28,4,57956,42586,48577,11673,287984,40538,21803,13171
149,bookcorpus,deepspeed,29,4,58031,45444,55459,10535,278720,38698,23194,14207
150,bookcorpus,deepspeed,0,5,7620,165746,61289,149045,12051,53058,41385,34094
151,bookcorpus,deepspeed,1,5,8042,162762,61197,149928,12389,51919,42019,36032
152,bookcorpus,deepspeed,2,5,8149,161270,63850,149741,12884,48882,44011,35501
153,bookcorpus,deepspeed,3,5,8219,162272,60790,147174,13984,52068,43576,36205
154,bookcorpus,deepspeed,4,5,7683,161682,61025,148618,14646,53683,41500,35451
155,bookcorpus,deepspeed,5,5,7799,165728,61335,145862,12809,52323,42330,36102
156,bookcorpus,deepspeed,6,5,8490,161708,61031,148075,13808,53390,42117,35669
157,bookcorpus,deepspeed,7,5,8557,158657,63213,150137,13080,53575,41662,35407
158,bookcorpus,deepspeed,8,5,8174,162438,61967,147818,12976,50451,44326,36138
159,bookcorpus,deepspeed,9,5,7602,160556,62525,149459,13138,52193,42735,36080
160,bookcorpus,deepspeed,10,5,7993,161449,60822,148633,13067,53120,43393,35811
