,router_skew,system_name,MTTFT (ms),std div,num samples
0,0.0,deepspeed-inference,12.301813699305058,0.27812454030256323,50
1,0.0,exflow,4.669776726514101,0.00859189900298769,25
2,0.0,fastermoe,4.308528117835522,0.01416794164168297,25
3,0.0,fastmoe,4.303473345935345,0.014162516379402159,25
4,0.0,harmony,4.680313561111689,0.01469116392270428,25
5,0.5,deepspeed-inference,42.240142282772894,0.6113749254597869,267
6,0.5,exflow,7.343324478715658,0.25768170085362985,50
7,0.5,fastermoe,6.263938210904598,0.01939574293590174,25
8,0.5,fastmoe,6.253463849425316,0.020422201369316318,25
9,0.5,harmony,4.827842246741056,0.18099533073826457,25
10,0.9,deepspeed-inference,49.02936289086938,0.11343140837491116,400
11,0.9,exflow,9.381783849439966,0.5454085397135291,89
12,0.9,fastermoe,8.188317511230707,0.21715787590184643,25
13,0.9,fastmoe,8.179413415491581,0.2172963273284566,25
14,0.9,harmony,5.3614092990756035,0.4822033578630732,25
