,router_skew,scheduling_policy,MTTFT (ms),std div,num samples
0,0.0,deepspeed,21.76716141402721,0.07109987807993001,10
1,0.0,drop,22.096523518363632,0.13269277020178588,10
2,0.0,even_split,55.144610752662025,0.0454540191571525,10
3,0.0,exflow,31.114680940906208,0.06197553472094926,10
4,0.0,harmony,21.950378144780796,0.027205193344045624,10
5,0.5,deepspeed,40.675776451826096,0.18836426705134823,40
6,0.5,drop,24.88096704085668,0.20492231922709814,10
7,0.5,even_split,57.06073281665643,0.23967171286168507,10
8,0.5,exflow,51.716628919045135,0.05905071856508205,40
9,0.5,harmony,27.42904623349508,0.4189851660841269,10
10,0.9,deepspeed,54.611048102378845,0.5441084659681735,40
11,0.9,drop,24.5141863822937,0.15255047714703354,10
12,0.9,even_split,64.82429914176464,0.7517190586044298,10
13,0.9,exflow,67.31633879244328,0.11769707891210084,40
14,0.9,harmony,30.522182087103523,0.6180816927409057,10
