,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5
85,bookcorpus,deepspeed,5,4,15285,15901,20116,10881,14216,21905
86,bookcorpus,deepspeed,6,4,16090,16192,17757,12298,14638,21329
87,bookcorpus,deepspeed,7,4,15556,16982,19496,10919,15353,19998
88,bookcorpus,deepspeed,8,4,13574,16906,19572,10418,13859,23975
89,bookcorpus,deepspeed,9,4,14963,15741,19624,11388,14926,21662
90,bookcorpus,deepspeed,10,4,14477,16676,18066,11736,15103,22246
91,bookcorpus,deepspeed,11,4,16766,16412,20601,10849,14197,19479
92,bookcorpus,deepspeed,12,4,15558,16661,16964,10551,15698,22872
93,bookcorpus,deepspeed,13,4,15198,16784,19505,11160,13405,22252
94,bookcorpus,deepspeed,14,4,15050,16844,19548,11873,14238,20751
95,bookcorpus,deepspeed,15,4,15537,15927,19536,10070,13579,23655
96,bookcorpus,deepspeed,16,4,14231,15371,19434,10408,14272,24588
97,bookcorpus,deepspeed,17,4,13527,15137,18670,11241,15228,24501
98,bookcorpus,deepspeed,18,4,13643,16094,18291,11940,14353,23983
99,bookcorpus,deepspeed,19,4,15361,15744,19775,11568,13945,21911
100,bookcorpus,deepspeed,0,5,24867,29140,12846,16619,6888,7944
101,bookcorpus,deepspeed,1,5,26995,27630,11983,16154,7180,8362
102,bookcorpus,deepspeed,2,5,26671,28286,13521,15736,6389,7701
103,bookcorpus,deepspeed,3,5,25873,29435,11673,18624,6051,6648
104,bookcorpus,deepspeed,4,5,24080,28499,12892,17525,7761,7547
105,bookcorpus,deepspeed,5,5,26876,28381,13099,15780,6621,7547
106,bookcorpus,deepspeed,6,5,26493,28490,11565,16037,7729,7990
107,bookcorpus,deepspeed,7,5,27888,27455,12555,15687,6359,8360
108,bookcorpus,deepspeed,8,5,24268,28649,13615,17450,7508,6814
109,bookcorpus,deepspeed,9,5,23812,29317,12241,16871,7234,8829
110,bookcorpus,deepspeed,10,5,26090,29441,11500,17116,6701,7456
111,bookcorpus,deepspeed,11,5,26971,30259,11359,15863,6185,7667
112,bookcorpus,deepspeed,12,5,23992,29152,13716,16912,6825,7707
113,bookcorpus,deepspeed,13,5,24957,27402,13075,15799,8049,9022
114,bookcorpus,deepspeed,14,5,24461,29208,12188,16829,7081,8537
115,bookcorpus,deepspeed,15,5,22879,30410,12560,17433,6703,8319
116,bookcorpus,deepspeed,16,5,22851,28334,12520,18825,8090,7684
117,bookcorpus,deepspeed,17,5,26987,24718,12394,17758,7486,8961
118,bookcorpus,deepspeed,18,5,25456,27949,11685,18184,7321,7709
119,bookcorpus,deepspeed,19,5,26985,28062,11540,17796,6218,7703
120,bookcorpus,deepspeed,0,6,16867,31858,14896,5261,21571,7851
121,bookcorpus,deepspeed,1,6,16493,32733,13816,5899,21077,8286
122,bookcorpus,deepspeed,2,6,16643,32430,12526,6137,20185,10383
123,bookcorpus,deepspeed,3,6,15455,33981,13442,5729,20931,8766
124,bookcorpus,deepspeed,4,6,16397,32410,14353,6385,20527,8232
125,bookcorpus,deepspeed,5,6,13761,33071,13343,6579,22593,8957
126,bookcorpus,deepspeed,6,6,14416,32733,13122,7009,20408,10616
127,bookcorpus,deepspeed,7,6,14810,36078,12979,6121,18736,9580
128,bookcorpus,deepspeed,8,6,15023,35096,13437,5973,19843,8932
129,bookcorpus,deepspeed,9,6,15090,34973,12700,6502,20385,8654
130,bookcorpus,deepspeed,10,6,14861,35573,13484,6044,19813,8529
131,bookcorpus,deepspeed,11,6,17319,32853,13502,5951,19087,9592
132,bookcorpus,deepspeed,12,6,16476,30680,13677,6142,22313,9016
133,bookcorpus,deepspeed,13,6,17160,33650,13594,6376,18958,8566
134,bookcorpus,deepspeed,14,6,17755,31087,12936,7582,19315,9629
135,bookcorpus,deepspeed,15,6,15385,35146,12149,5392,21402,8830
136,bookcorpus,deepspeed,16,6,14190,35447,13083,7768,19032,8784
137,bookcorpus,deepspeed,17,6,16370,32975,14760,5722,20689,7788
138,bookcorpus,deepspeed,18,6,15422,35026,13728,5830,19037,9261
139,bookcorpus,deepspeed,19,6,16003,36009,12426,6133,19216,8517
140,bookcorpus,deepspeed,0,7,15270,17116,18702,6699,25518,14999
141,bookcorpus,deepspeed,1,7,19762,17899,16696,5629,23261,15057
142,bookcorpus,deepspeed,2,7,16816,19288,16488,5852,26162,13698
143,bookcorpus,deepspeed,3,7,17624,16621,16553,6168,25908,15430
144,bookcorpus,deepspeed,4,7,19384,18815,14890,5394,24596,15225
145,bookcorpus,deepspeed,5,7,18314,17115,17533,5716,24318,15308
146,bookcorpus,deepspeed,6,7,16529,18737,16175,6056,25485,15322
147,bookcorpus,deepspeed,7,7,17628,19283,16088,5493,24378,15434
148,bookcorpus,deepspeed,8,7,17332,16559,16608,6577,25755,15473
149,bookcorpus,deepspeed,9,7,18856,17475,17281,6080,24287,14325
150,bookcorpus,deepspeed,10,7,17663,17556,17402,6012,25746,13925
151,bookcorpus,deepspeed,11,7,17536,18019,15755,7021,23672,16301
152,bookcorpus,deepspeed,12,7,15542,17921,18090,5691,26333,14727
153,bookcorpus,deepspeed,13,7,17698,17805,14706,6253,26571,15271
154,bookcorpus,deepspeed,14,7,15268,16902,18211,5341,27051,15531
155,bookcorpus,deepspeed,15,7,16420,20554,15840,5737,25770,13983
156,bookcorpus,deepspeed,16,7,18029,18982,15729,6176,23558,15830
