,router_skew,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,0.0,10,0,0,4192,4312,4088,4016,4256,4112,4088,4160,4256,3960,4320,4160,3944,4296,3976,4304,4192,4256,4128,3960,4456,4248,4208,4168,4288,4256,4304,4352,4312,3944,3984,4280,4312,3928,4088,4080,4376,4104,4408,4104,3912,4264,4232,3912,4128,3872,4296,3896,3984,4192,4288,3840,3744,4160,4280,3976,4184,3992,4192,4304,4160,3896,4080,4048,4208,4296,3872,4336,3976,4032,4472,3928,4040,4128,3952,4120,4192,4376,4016,4336,3976,4048,4224,4048,4224,4216,4216,4064,3984,3920,4328,3904,4208,4168,3984,3840,4024,3976,4080,4072,4136,3944,4248,4008,4080,4256,4456,4392,4248,3816,4160,4216,4056,4168,4432,3928,4056,3736,4024,4328,3992,4096,3992,4024,4104,4336,4264
11,0.0,11,0,0,4160,4048,4320,4184,4152,4272,4272,4144,4216,4152,3952,4504,3928,4120,4160,4040,3992,4304,3952,4336,3928,4352,4488,4088,4368,3976,4088,4048,4128,4176,4152,3984,3952,4000,4296,4048,4112,4256,4112,4312,4296,4144,4112,4088,4040,4032,4064,4192,4064,4208,3944,3920,4232,3792,4360,3944,3896,3872,4304,3920,4072,3944,4152,4128,4232,3976,4184,4344,4304,4200,4280,3832,4168,3952,4096,3992,4072,3936,4392,3840,4120,4016,4344,4000,3976,4128,4216,4000,3928,4184,4088,4216,4296,3896,4008,4040,4224,3912,4272,3912,4200,4376,4136,4088,4384,4240,4208,4376,4104,3848,4464,4128,3672,4224,4056,4352,4392,4248,3968,4064,4296,4336,4168,4536,3920,3960,4176
12,0.0,12,0,0,3984,4128,4280,4184,4320,4104,3808,4056,3848,4064,4328,3544,4056,4080,4392,4176,4096,4208,4080,4176,4560,4216,4104,4024,3848,3912,4048,4160,4040,3968,4040,4368,4096,4104,4072,3672,4248,4336,4216,4136,4016,4160,4000,4216,4128,4480,4184,3928,3800,4280,4552,4176,4080,4216,3896,4168,3824,4408,3864,4144,4008,4640,4096,4168,4192,4136,4272,4144,4152,4128,3992,4096,4184,4008,3968,4208,4384,4128,4464,3856,4232,4048,4544,4056,3936,3912,3760,3976,4208,4256,4216,4168,4104,4312,4552,4176,3968,4520,3832,3992,4296,3840,3864,4224,4016,3960,4160,4040,3992,4256,4376,4312,4040,4400,4344,3984,4184,4224,4296,4544,3784,3864,4168,4264,4184,4120,3960
13,0.0,13,0,0,3936,3904,4000,4168,4096,4384,4040,4168,4272,4152,3984,4216,3752,3744,4232,4288,3848,4280,4408,4000,4072,4128,4216,3984,4296,4112,4200,3880,4032,4008,4448,4344,4168,4088,4440,3928,4160,4288,4144,4128,3992,3896,4504,4296,4648,3912,3904,4248,4376,4120,4040,4080,4192,3992,4288,4088,4280,4056,3944,4280,4136,4056,4176,4176,4680,4008,4120,4224,4328,4144,4104,4328,3960,3776,4304,4152,4024,4096,4488,4104,4120,4368,3744,4336,4016,4104,4120,3992,4000,4456,4088,3976,3856,4000,4224,4008,4368,4176,3904,3848,4360,4248,4024,4168,4192,4032,4464,3744,3736,4352,4144,4264,4152,3992,3960,4192,4048,3976,3856,4136,4368,4208,4272,3992,4296,3928,4024
14,0.0,14,0,0,4288,4168,4200,3976,4304,4160,4280,4144,4136,4000,4128,3880,4256,4400,4024,4184,4104,4088,4184,4184,3888,3992,4032,4168,3792,4184,4288,4456,4496,4488,4320,3872,4264,4080,3880,3768,4360,4320,4056,3928,4184,4464,3912,3920,4448,4280,3976,4008,4112,4088,4392,4136,4064,4000,3976,4080,4160,4120,3872,4080,4168,4032,4304,4024,3800,4184,4208,4344,4176,4560,4240,3888,4280,4024,4152,4192,4360,4088,4032,4296,4224,4216,3840,4112,4320,4136,4232,4000,3872,4336,4040,4416,4408,3712,4352,4400,4240,4024,4152,4176,3984,4176,4080,3792,4176,4216,4296,4128,4016,4104,4160,4488,4224,3824,4480,4080,3752,3960,4112,4040,3856,4008,4120,4040,3920,3856,3848
15,0.0,15,0,0,4128,3824,4376,3848,3960,3688,4312,4008,4192,4240,3984,3992,4320,4032,4344,3880,3728,4072,4384,4480,4152,4280,4168,3976,4280,4496,4272,4016,3808,3888,4056,4200,4296,4096,4248,3936,4016,4184,4008,4312,4128,4352,3872,3936,4064,4072,4184,4456,4104,4288,4304,4032,3896,4232,4120,4272,3984,4080,4080,4072,3928,4256,4288,4120,3720,4424,3928,3920,4000,4120,4256,4176,4080,4000,4424,4048,4248,3968,3864,4200,4272,4000,4376,3944,3960,4392,4040,4096,4520,4160,4040,4032,3896,4064,4232,4232,4200,4088,4288,4120,4008,4232,3728,4208,4128,4208,4160,4192,4376,4496,4408,4456,4232,3992,4080,4040,4200,4400,4128,4248,3888,3968,4224,4264,4080,4120,3896
16,0.0,16,0,0,3952,3880,4272,3992,4184,3672,4288,4184,4144,4152,4152,3992,4448,4256,4064,4232,4120,4000,4184,4288,3952,4216,4016,4160,4072,4000,3920,3800,3928,4088,4112,4208,4072,4072,4168,4224,4464,3976,3880,4376,4024,4248,4352,4312,4144,4120,4208,4144,3912,4176,4064,4320,3800,4056,4056,4248,4384,4272,4464,4296,4248,3992,4304,4328,4040,4104,3976,4408,4080,4040,4176,4176,3816,4088,3848,4200,4120,4176,4088,4400,4104,4088,4184,4144,4072,4208,4048,4376,3936,3920,4240,4096,3736,4024,3992,4280,4016,4288,4240,4272,4312,3776,4344,4112,4256,3920,4216,4216,4064,4024,4096,3944,3888,4240,4352,4112,4104,3856,4112,4240,4344,4384,4320,4136,4184,4016,4088
17,0.0,17,0,0,4224,4328,4032,4376,4072,4048,4000,3832,4568,3840,4016,4200,4184,4368,4088,3944,4400,4224,4232,3864,4176,4056,3992,3912,4096,4352,4072,4272,4424,4088,4192,4240,4040,4088,4048,4128,3776,4104,4240,4136,4184,3816,4016,3840,4192,4168,4464,4256,4144,4248,4088,4200,4112,4184,4008,3808,4272,4288,4480,4360,4000,4264,4328,4136,4104,4288,4424,4472,3976,4152,4256,3960,4016,4432,4080,4160,4128,4176,4208,4080,3936,3736,3712,4056,4280,3984,3960,3968,4096,4112,4080,4096,4000,4008,4096,4344,4264,4088,3832,4168,3792,4312,4088,4208,4160,4384,4384,4160,4264,4288,4112,3872,4184,4288,3784,4264,4048,4288,4184,4016,4328,4008,3792,3904,4104,4216,4000
18,0.0,18,0,0,4552,4200,4368,4168,3992,3864,3896,4112,4096,4280,4360,4200,3968,4144,4280,4376,4200,4120,4368,4176,3912,4032,3992,4064,4176,3968,4160,4128,4192,4256,4200,3888,4088,4128,4240,3936,4288,3856,4192,4088,3888,4016,4112,4248,4112,4264,4072,4352,3848,3904,4304,4312,4000,4240,3784,4176,3784,4040,3936,4136,4112,4232,4000,4144,4216,4168,4504,4024,4024,4520,4240,3904,4248,4240,4344,4408,3944,4152,3992,4160,4104,4168,4144,4272,4248,3872,4112,4152,3976,4112,4024,3816,4568,3888,4400,4224,4120,4104,4256,4240,4128,4224,4040,4064,4264,4112,4328,4344,4192,4160,3816,3976,4088,4312,4040,4112,4080,4264,4032,4104,4032,3720,4024,4176,3816,4016,4416
19,0.0,19,0,0,4272,4136,4224,4384,4320,4144,3952,4224,4032,4216,4040,3896,3992,4064,4040,4224,4008,4160,4104,4272,4120,4192,4216,3920,4160,4528,3936,4048,4344,4216,3912,4320,3792,4120,3792,4272,4152,4144,3960,4000,4336,4312,4216,4232,4160,3936,4104,4000,4032,3696,3920,3928,4320,3920,4152,4096,3904,4176,3912,3960,4056,4144,4080,4232,4264,4320,4264,4128,4408,3960,3912,3800,4272,4208,4200,3856,3896,3856,4208,3896,4008,4336,4384,4040,4040,4072,4288,4320,4392,4064,4224,4120,4592,3920,4056,4040,4152,4176,3912,4168,4368,3856,4296,4592,4112,4312,3744,4480,4104,4032,3944,4136,4224,4184,4376,4216,4200,4144,4392,4184,4000,4168,4144,4144,4168,4064,4280
