iteration,throughput (toks/s),scheduling_policy
21,80.29049895756154,even_split
22,82.49784113318745,even_split
23,82.41345458341264,even_split
24,79.3577794108914,even_split
25,80.98771017696487,even_split
26,77.78537318138405,even_split
27,81.7089420473917,even_split
28,78.40082163956552,even_split
29,81.3436277208467,even_split
30,79.29637777665442,even_split
31,82.1588317724758,even_split
32,79.31751799542589,even_split
33,82.77792289240406,even_split
34,81.4918030765088,even_split
35,75.72453408604974,even_split
36,83.02897449098502,even_split
37,80.17424125189699,even_split
38,78.29288521340743,even_split
39,78.14873846960715,even_split
40,81.30099728594571,even_split
41,79.73132133385445,even_split
42,80.11381463667222,even_split
43,81.17070433046264,even_split
44,81.98338963793073,even_split
45,81.96539388994194,even_split
46,80.02111336356062,even_split
47,82.03797277296533,even_split
48,79.52490618674412,even_split
49,81.37664364545887,even_split
50,80.68993284818056,even_split
51,82.98133066204188,even_split
52,81.72752516855883,even_split
53,79.313328888306,even_split
54,81.54650132087352,even_split
55,82.14383807316132,even_split
56,81.6315163685646,even_split
57,79.08075346137896,even_split
58,82.5947561565004,even_split
59,81.18802128257636,even_split
60,81.16094589447016,even_split
61,79.1366010580248,even_split
62,77.99718016708557,even_split
63,78.802167404526,even_split
64,81.21384317988559,even_split
65,81.42970522904785,even_split
66,81.42250224951516,even_split
67,79.25454939339821,even_split
68,79.9578775342791,even_split
69,78.90017455533581,even_split
70,76.95060604214667,even_split
71,81.08125759328456,even_split
72,81.92090938509487,even_split
73,79.19271449505437,even_split
74,79.25288805627925,even_split
75,81.5662529260573,even_split
76,80.99065155221886,even_split
77,82.19508626951918,even_split
78,81.69319530254654,even_split
79,82.09319979098663,even_split
80,81.88102168008629,even_split
81,82.44924727391341,even_split
82,79.8658870655402,even_split
83,78.50219694503313,even_split
84,70.98169867984934,even_split
85,77.30219748693052,even_split
86,81.24882256412188,even_split
87,75.88261331462903,even_split
88,74.81500600823944,even_split
89,81.59487673741417,even_split
90,79.9418490930598,even_split
91,82.36221810141656,even_split
92,78.01680278568064,even_split
93,81.42396250199864,even_split
94,105.36575826707997,even_split
95,81.78968263761871,even_split
96,82.46003990597141,even_split
97,81.17049876863699,even_split
98,81.63789669524617,even_split
99,81.2502827417864,even_split
100,82.2673509676802,even_split
101,82.02574569991793,even_split
102,82.24697804684097,even_split
103,79.37150330291456,even_split
104,80.43835992445366,even_split
105,81.65859307047698,even_split
106,78.83567568543874,even_split
107,72.34098935334647,even_split
108,79.60525457249948,even_split
109,81.94286888232205,even_split
110,79.36374765011301,even_split
111,81.97249924811847,even_split
112,78.95772102640451,even_split
113,79.4178252974271,even_split
114,78.64767769493126,even_split
115,79.23407710377485,even_split
116,80.32115721395706,even_split
117,78.48882937378083,even_split
118,72.91027289631721,even_split
119,79.94581616625788,even_split
120,79.46284586906428,even_split
121,79.13510213333278,even_split
122,79.84448918992193,even_split
123,79.5591499646751,even_split
124,82.55647888381407,even_split
125,78.1729560792413,even_split
126,76.0385510422442,even_split
127,81.54677381988009,even_split
128,80.480132498852,even_split
