iteration,throughput (toks/s),system_name
160,1.659958823287685,deepspeed-inference
161,1.6625298456120892,deepspeed-inference
162,1.6604259392464336,deepspeed-inference
163,1.660413669299709,deepspeed-inference
164,1.659876270218877,deepspeed-inference
165,1.6600509113984672,deepspeed-inference
166,1.661610074844285,deepspeed-inference
167,1.6594248917716519,deepspeed-inference
168,1.66008978637887,deepspeed-inference
169,1.6597745682452028,deepspeed-inference
170,1.661841156696023,deepspeed-inference
171,1.6611727753225336,deepspeed-inference
172,1.6604986862266324,deepspeed-inference
173,1.65955883492431,deepspeed-inference
174,1.6613644699744199,deepspeed-inference
175,1.6612564443780504,deepspeed-inference
176,1.6583205759182174,deepspeed-inference
177,1.6600122572373406,deepspeed-inference
178,1.6582581815213024,deepspeed-inference
179,1.661400335385243,deepspeed-inference
0,17.180221034926795,exflow
1,18.13139880440435,exflow
2,17.620072151360322,exflow
3,13.127207025812128,exflow
4,16.16172109469036,exflow
5,12.451660602051353,exflow
6,12.463477609933411,exflow
7,13.286042588911679,exflow
8,17.958976518149285,exflow
9,17.172615471224958,exflow
10,16.061061306857862,exflow
11,15.205814213269896,exflow
12,11.156777403976278,exflow
13,12.558308703461332,exflow
14,14.0928656678597,exflow
15,17.47205941902531,exflow
16,14.673432220029557,exflow
17,11.234263896338348,exflow
18,11.474903886862474,exflow
19,15.003566844842473,exflow
20,15.572383299513831,exflow
21,15.225729399881477,exflow
22,12.99961632629131,exflow
23,11.699277285875134,exflow
24,16.756845261776768,exflow
25,13.307588368760685,exflow
26,19.24023183089487,exflow
27,13.337965914172614,exflow
28,18.393075250356713,exflow
29,13.235729619701525,exflow
30,16.171571770366057,exflow
31,12.193361534050537,exflow
32,14.68939084509971,exflow
33,12.388474886653967,exflow
34,13.548423462527708,exflow
35,15.278205092790884,exflow
36,11.732982109128546,exflow
37,15.001628277605386,exflow
38,17.987077817384424,exflow
39,18.7370279274205,exflow
40,14.492975686547329,exflow
41,15.897325527590416,exflow
42,15.49874517546912,exflow
43,11.617656135562736,exflow
44,12.26089940118929,exflow
45,11.370819587171207,exflow
46,14.85946354162669,exflow
47,11.766609359022494,exflow
48,14.710350466350775,exflow
49,13.030752916224815,exflow
50,14.384864405728493,exflow
51,12.040271991675189,exflow
52,11.486986045240993,exflow
53,15.660911452004907,exflow
54,12.520290203510864,exflow
55,11.167120706676105,exflow
56,13.593526095987732,exflow
57,16.5967320709722,exflow
58,12.108187794658305,exflow
59,13.447243672481504,exflow
60,12.306256584016792,exflow
61,17.100384771540835,exflow
62,17.615665914592544,exflow
63,18.345375653279742,exflow
64,13.828131812700748,exflow
65,11.645087943216959,exflow
66,12.431310613158702,exflow
67,16.305843945580502,exflow
68,16.113836219247286,exflow
69,17.462923901373273,exflow
70,18.37206092695748,exflow
71,11.71017872735255,exflow
72,13.99629651155192,exflow
73,16.724383671980213,exflow
74,17.179728447664555,exflow
75,12.490665313989858,exflow
76,11.657242435605282,exflow
77,12.828222899450466,exflow
78,13.552242953360594,exflow
79,13.528392769091766,exflow
80,11.457349177632608,exflow
81,12.451905502211236,exflow
82,16.214058510442953,exflow
83,18.591858894147524,exflow
84,12.76728759193706,exflow
85,18.131313893632512,exflow
86,13.390246802927189,exflow
87,13.46498462867033,exflow
88,11.816122457316155,exflow
89,12.151003076761139,exflow
90,15.33338136599717,exflow
91,11.841452077273944,exflow
92,17.082108867133172,exflow
93,12.472882467314584,exflow
94,13.032998456055852,exflow
95,11.541299611431176,exflow
96,12.310220609393447,exflow
97,14.282462558713172,exflow
98,12.232807519685657,exflow
99,12.436839762385809,exflow
100,11.947653756319756,exflow
101,11.525640504533104,exflow
102,12.951452043627441,exflow
103,16.325047553698905,exflow
104,13.62064880118942,exflow
105,13.2594925229106,exflow
106,17.969588012574373,exflow
107,13.285604213877233,exflow
108,15.908269216120653,exflow
109,12.392011513631072,exflow
110,16.31201103852383,exflow
111,12.451922445345877,exflow
112,17.15140535199696,exflow
113,16.626807131553445,exflow
114,16.193382486720846,exflow
115,14.751100691209901,exflow
116,16.61347908793567,exflow
117,17.863057687659776,exflow
118,12.916191724105012,exflow
119,14.296115605859368,exflow
120,15.204787553810137,exflow
121,17.567489515871475,exflow
122,16.532100063064956,exflow
123,16.866928380903296,exflow
124,12.060327458439298,exflow
125,13.482777875627924,exflow
126,11.701249200549311,exflow
127,13.274347892308025,exflow
128,14.094535025088879,exflow
129,16.02496412171633,exflow
130,12.446027478286931,exflow
131,15.508379812528222,exflow
132,12.647453536327571,exflow
133,15.29130625192825,exflow
134,12.853264349000796,exflow
135,15.624919829059722,exflow
136,11.585335006741394,exflow
137,13.23693749953154,exflow
138,12.216718905002283,exflow
139,18.609009342097114,exflow
140,16.870320487047938,exflow
141,12.487005553843703,exflow
142,13.301504146574446,exflow
143,17.86440181058817,exflow
144,15.491351227571672,exflow
145,10.871192466832124,exflow
146,12.375462128342592,exflow
147,12.02610341202332,exflow
148,13.966259531944448,exflow
149,13.149567976507639,exflow
150,14.519838489755454,exflow
151,15.710881793922308,exflow
152,15.788505572614161,exflow
153,15.558363436168285,exflow
154,14.530309484303492,exflow
155,14.256665969860588,exflow
156,16.476047580272272,exflow
157,14.477122193064066,exflow
158,15.313973490015739,exflow
159,14.685284924734178,exflow
160,13.257101918042027,exflow
161,15.559383085869031,exflow
162,16.587750711374678,exflow
163,12.24011830673126,exflow
164,12.421137551882094,exflow
165,17.08576208218821,exflow
166,14.813876200607988,exflow
167,15.373147963613292,exflow
168,17.436374904775153,exflow
169,16.63926264660742,exflow
170,14.048526257923669,exflow
171,13.065789273865214,exflow
172,12.823371045073069,exflow
173,12.42481094009144,exflow
174,12.758122485625718,exflow
175,11.084168876417436,exflow
176,11.738463104639036,exflow
177,14.446333756500708,exflow
178,12.134327159968494,exflow
179,13.153275856819793,exflow
0,29.300463709918024,fastermoe
1,34.32917277109814,fastermoe
2,29.942462738976367,fastermoe
3,20.483946593714244,fastermoe
4,27.757293496055347,fastermoe
5,20.097179639065196,fastermoe
6,19.8805853066627,fastermoe
7,21.66754473385696,fastermoe
8,31.983366398039756,fastermoe
9,30.8071339469667,fastermoe
