iteration,imbalance (%)
0,346.00337881598847
1,110.38495018308727
2,114.11608918920173
3,381.5874098947709
4,170.02536217526898
5,202.96488065914727
6,50.029952708744275
7,109.49140572192908
8,146.64784405309157
9,30.09814166811555
10,93.85976800240121
11,181.02361570744927
12,326.1298377609792
13,263.354309777423
14,70.57845870423219
15,249.83368658936362
16,399.2292307932782
17,279.2554598047348
18,241.03409851395884
19,27.558213203185257
20,30.37386532016013
21,70.24793791334224
22,187.80062231510271
23,145.91854030357237
24,388.0486652070287
25,65.42517802735448
26,225.0258863500094
27,105.14441605278283
28,84.09635823119852
29,400.5562255892283
30,319.7463067535934
31,4.879241576870132
32,9.115678437806578
33,135.04177351627894
34,84.17076000780612
35,349.3317608854224
36,13.679981365348022
37,148.96378541475607
38,227.048678043642
39,47.61529490357217
40,195.50442112368856
41,195.6961053042053
42,130.1297987597533
43,326.44131358499976
44,170.7643023190856
45,323.6546221717852
46,99.81944013131306
47,176.0728810360672
48,278.2511438841715
49,32.07678826026725
50,60.0546842391137
51,116.97082836675666
52,332.89948873503243
53,33.450473110089185
54,178.4043881896176
55,59.80902653251423
56,200.97570439975723
57,286.95835603562085
58,76.85584253149297
59,44.557450362733924
60,111.3054782278406
61,353.23352565126385
62,217.40387501201258
63,128.50150779753082
64,131.84429817069787
65,43.430414733383564
66,51.234296038026656
67,164.4418105016063
68,128.45534426782788
69,37.05890846687678
70,209.75336813456204
71,386.93000639066287
72,140.11220994735655
73,177.7614091020822
74,242.4522032143889
75,309.5853314451445
76,264.1380633813253
77,201.1976721625276
78,259.15292734963117
79,18.200649426205192
80,373.26304523287286
81,67.3082924501449
82,86.23723334303202
83,252.63360610073266
84,210.68246590327627
85,233.63699901102714
86,162.3296405315425
87,267.4422703140411
88,264.8151039844898
89,40.06229831334472
90,245.98531981889042
91,299.4948978599734
92,318.9386327010995
93,126.58561826421662
94,339.3847777514534
95,236.66451326607958
96,59.848665462088455
97,148.49865128547214
98,357.4091257317072
99,31.838702214501016
100,270.1130073147978
101,283.0740893157367
102,376.8501093687798
103,233.1603978958277
104,202.66403099215714
105,24.912673573708165
106,7.911272948943046
107,7.506786948255311
108,141.62034435989935
109,250.48283944722073
110,173.63080324260923
111,140.5131134620814
112,279.4634713169096
113,392.67993798529795
114,352.420411824982
115,202.27884386543644
116,141.4732549179554
117,173.65606837066483
118,27.78373770728555
119,163.58064706028873
120,281.14294669234164
121,96.92540037115482
122,94.32862812019773
123,81.33012803327362
124,38.27834098426727
125,255.4045335753888
126,310.4656862958105
127,178.43246827465535
128,345.93703957089673
129,77.28692202289412
130,395.61903163146826
131,172.37905710162354
132,49.389748857745246
133,14.775331500648086
134,44.122307761241196
135,273.1792365413492
136,113.59104573150704
137,240.94332198560076
138,245.91462086551937
139,322.84755572060175
140,342.4650716198477
141,120.59153834389065
142,51.374270334839586
143,240.16028170265645
144,374.4825116038867
145,237.5063275618088
146,262.9134179107911
147,268.57656161028814
148,266.86055686679794
149,195.9263125926718
150,334.9901639435149
151,299.5103289928064
152,248.87090092909853
153,109.65093806240016
154,7.866657059914657
155,194.40969895583592
156,337.3142289426066
157,282.4656897131622
158,133.76889870641986
159,393.64782106159106
160,158.8790388989335
161,236.63488089628524
162,369.69917748520265
163,250.08939721411764
164,108.12779758392897
165,401.30355399803165
166,121.79543141740352
167,113.78820927983195
168,202.50928697900454
169,88.55730012796629
170,185.4318751011928
171,139.6735519633273
172,300.82430095389856
173,327.5606673244578
174,7.446521753797427
175,373.16619170515224
176,306.060027153902
177,38.914220143114264
178,109.51939639311365
179,239.94365917631055
180,303.1764567747736
181,189.42047245978893
182,266.263408213603
183,214.45182758493263
184,373.4907085315813
185,316.48075777324163
186,393.5594210266513
187,400.9946757008326
188,312.01605061495087
189,212.80834417970217
190,376.74723951725394
191,114.68805538883862
192,3.334586265199151
193,347.33391406908623
194,330.8744621685463
195,111.25622718553541
196,397.8107837115142
197,164.1474178025098
198,272.54437361422225
199,68.28270137421094
200,214.22155923817093
201,131.2273741892612
202,309.4753787787152
203,179.10961582672974
204,209.64985776453003
205,162.77541384926903
206,305.95452075713393
207,199.94271858617049
208,109.35374143598402
209,226.03865073135458
210,118.63572502150248
211,101.66198732337331
212,252.01800251003783
213,319.9739898300832
214,39.069660340449424
215,237.15533331556324
216,308.6159842434681
217,358.36633746999746
218,364.288758556155
219,7.328047615744933
220,145.56671274155605
221,127.19519832448935
222,43.14911755634793
223,218.00072478558195
224,315.3101241984866
225,100.1106134493757
226,206.8349731505075
227,352.6506846099722
228,145.8435177933259
229,161.73301062097923
230,165.76635984213686
231,153.47955211673158
232,378.783372464563
233,72.7913551925504
234,234.0389689520279
235,260.45412572931883
236,357.5056405958273
237,13.91848554914238
238,155.33079701266777
239,8.0588258420863
240,94.79667641137598
241,122.59322671695126
242,339.07092002463406
243,235.1261139994917
244,53.2320940029486
245,241.4098662257679
246,309.71748336436957
247,285.84720143436095
248,325.4173746084247
249,182.10835961844506
