,scheduling_policy,router_skew,MTTFT (ms),std div,num samples
0,deepspeed,0.0,42.84534951051076,0.3852347085193417,80
1,drop,0.0,30.405701448520023,0.01589704366558944,10
2,even_split,0.0,45.53740657866001,0.061243722582840096,10
3,exflow,0.0,42.344804356495544,0.26595025991663757,80
4,harmony,0.0,30.26909405986468,0.021513139390564887,10
5,deepspeed,0.5,63.81808606286844,0.3054162336267643,80
6,drop,0.5,31.29870109260083,0.01749361962655618,10
7,even_split,0.5,50.3734476864338,0.026591839778019204,10
8,exflow,0.5,61.7184585581223,0.06235781354792702,80
9,harmony,0.5,31.65504199763139,0.016511021578995744,10
10,deepspeed,0.9,79.03521433472633,0.12041973686806128,80
11,drop,0.9,31.611953799923263,0.028302627711222154,10
12,even_split,0.9,50.95719347397487,0.017234268811653547,10
13,exflow,0.9,79.15618581076463,0.3640141794055132,80
14,harmony,0.9,33.51393540700277,0.00812010634150254,10
