,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,127.14843978881837,5.621862411499023,21.320707511901855,11.150851154327393,0.4935968011617661,73.03216323852538,0,0.0,15.529258671402928
1,0,123.6468734741211,4.4022783756256105,21.472748947143554,11.242771339416503,0.1693948745727596,29.994697761535644,1,43.03746547698974,13.327516698837286
2,0,123.92959976196289,3.796275186538696,23.737068748474123,8.507347202301025,0.2299230575561566,25.13315830230713,2,47.899004936218255,14.6268223285675
3,0,124.16419677734375,4.097638416290283,23.114284896850585,9.20576639175415,0.14586830139160867,26.666387176513673,3,46.36577606201171,14.568475532531735
4,0,123.35677490234374,3.227340817451477,23.83415699005127,8.519001579284668,0.15931129455567117,25.678092575073244,4,47.35407066345214,14.584800982475272
5,0,123.23256378173828,3.9724032163619993,21.647084999084473,10.834246253967285,0.19313983917236754,32.52829456329346,5,40.50386867523193,13.553526234626773
6,0,123.39169235229492,4.048793625831604,21.901007843017577,10.581145668029786,0.04700183868408914,31.504185676574707,6,41.52797756195068,13.781580138206479
7,0,122.20702743530273,0.14735359996557232,30.05992946624756,0.6350207984447479,-0.30276470184325177,24.45890865325928,7,48.573254585266106,18.635325033962715
0,1,123.16641235351562,0.9053184032440186,21.485357093811036,11.63504638671875,0.5267680019140244,72.98005065917968,0,0.0,15.63387180864811
1,1,122.96744842529297,2.9134848356246947,21.5878625869751,11.685238361358643,0.27518806457519673,30.793811225891112,1,42.18623943328857,13.525623917579665
2,1,123.14316864013672,2.308505594730377,23.36943359375,9.502771282196045,0.21689968109131286,25.2482271194458,2,47.73182353973388,14.765507829189303
3,1,123.30946578979493,2.3888895988464354,23.678015899658202,9.351744127273559,0.14568347930909198,23.3948766708374,3,49.58517398834228,14.76508202552796
4,1,123.12156143188477,2.195046401023865,23.481699180603027,9.437817478179932,0.21346931457519958,25.403468704223634,4,47.57658195495605,14.81347839832307
5,1,122.72404403686524,2.707968020439148,21.790681648254395,11.359526443481446,0.10261821746826882,30.761881828308105,5,42.218168830871576,13.783199048042306
6,1,123.22519073486328,3.284377598762512,22.093734550476075,10.936982345581054,0.16259555816650817,31.956323051452635,6,41.02372760772705,13.76745002269746
7,1,123.0479362487793,0.18974720090627667,30.637043380737303,0.6354847997426987,-0.24129219055175355,24.78667221069336,7,48.19337844848632,18.846902398765096
0,2,122.29785614013672,0.9627647995948792,21.447625350952148,11.25699520111084,0.5215680003166199,72.48194274902343,0,0.0,15.626960039138794
1,2,122.0870147705078,3.031347227096558,21.572829055786134,11.196377658843994,0.23576278686523722,30.73381118774414,1,41.748131561279294,13.568755292892448
2,2,122.44152297973633,2.4673279762268066,23.751929664611815,8.84068784713745,0.1927328109741282,26.19691867828369,2,46.28502407073974,14.706901931762701
3,2,122.24573364257813,2.283008003234863,23.252127838134765,9.282905769348144,0.22985801696778196,25.44405746459961,3,47.03788528442382,14.715891265869146
4,2,122.22586822509766,2.2116351962089538,23.87117404937744,8.590633535385132,0.2366529464721694,25.928432273864747,4,46.55351047515869,14.833829748630535
5,2,121.92399368286132,2.822758412361145,21.758310317993164,11.014700794219971,0.14261646270752237,31.461984062194823,5,41.01995868682861,13.703664946556074
6,2,122.31044998168946,3.196723198890686,22.082387351989745,10.603772830963134,0.05451755523682067,30.776924705505373,6,41.70501804351806,13.891106295585644
7,2,122.1594123840332,0.19138559997081753,30.247443008422852,0.5628448039293289,-0.18734798431395916,24.654274940490723,7,47.82766780853271,18.86314420700073
0,3,121.42008438110352,0.8516607940196991,21.43021430969238,11.116908740997314,0.5253984063863755,71.81737594604492,0,0.0,15.67852618396283
1,3,121.22173461914062,2.9616127729415895,21.510924911499025,11.155827236175536,0.30857620239257955,29.979471588134764,1,41.837904357910155,13.467417550086964
2,3,121.43964157104492,2.312396788597107,23.315215873718262,8.979984092712403,0.2659643173217816,26.808825492858887,2,45.00855045318603,14.748704552650452
3,3,121.42848052978516,2.284543991088867,23.2604736328125,9.032598495483398,-0.048709869384765625,25.481270217895506,3,46.33610572814941,15.082198333740251
4,3,121.42694396972657,2.2491136312484743,23.394745445251466,8.899830436706543,0.28451843261719034,25.48862075805664,4,46.32875518798828,14.781360077857968
5,3,120.96358489990234,2.6554367780685424,21.81841278076172,10.846345520019531,0.04563217163086364,30.88562889099121,5,40.931747055053705,13.780381703376776
6,3,121.45827865600586,3.2098303556442263,21.98799057006836,10.469641494750977,0.22807617187500284,31.20872917175293,6,40.60864677429199,13.745364117622358
7,3,121.30549697875976,0.18421760052442546,30.127696228027343,0.578547203540802,-0.5378141403198242,23.47060489654541,7,48.34677104949951,19.135474140942094
0,4,123.04332809448242,0.7881728053092957,21.535593605041505,11.153190517425537,0.5087488025426865,73.33392333984375,0,0.0,15.723699024319643
1,4,122.82501068115235,2.9564928293228148,21.59101791381836,11.205590534210206,0.30725688934325746,31.60226230621338,1,41.731661033630374,13.430729174613973
2,4,123.12637557983399,2.330521619319916,23.860153579711913,8.646537494659423,0.26201944351196715,29.225417709350587,2,44.10850563049316,14.693220102787024
3,4,123.1048698425293,2.2426623940467834,23.323836898803712,9.227325057983398,0.21100177764893147,24.01918430328369,3,49.314739036560056,14.766120374202728
4,4,123.01782989501953,2.183577597141266,23.51944637298584,8.936767959594727,0.2832130432128892,28.640140533447266,4,44.693782806396484,14.760901582241061
5,4,122.56829528808593,2.592972791194916,22.202051162719727,10.55631685256958,0.1292247772216797,30.483993530273438,5,42.84992980957031,13.753806364536288
6,4,123.10333480834962,3.1772672176361083,22.16947212219238,10.51083517074585,0.15558423995971538,36.470083236694336,6,36.863840103149414,13.756252717971819
7,4,122.90549774169922,0.19404799938201903,30.27551727294922,0.5833248108625412,-0.20317478179931925,24.634246635437012,7,48.69967670440674,18.721859100461003
