iteration,total number of tokens sent,total number of tokens recv,latency (ms),comp latency (ms),expert distribution
0,5100,2531,28.58905601501465,2.1923840045928955,"[39, 61, 97, 573, 266, 16, 98, 868, 91, 430, 22, 278, 403, 779, 483, 596]"
1,5100,2565,24.635391235351562,2.2456319332122803,"[40, 60, 109, 606, 256, 10, 69, 892, 94, 339, 27, 259, 440, 785, 550, 564]"
